Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2032,S1,D1,LNG,1535802.51,LNG,11,11,1069740,102000,95.34,1.0
BEV_S1_2032,S1,D2,BEV,1289762.72,Electricity,9,34,3430934,102000,373.74,0.26
Diesel_S1_2032,S1,D2,Diesel,799549.14,B20,2,34,3430934,102000,1681.83,0.06
LNG_S1_2032,S1,D2,LNG,3203179.93,LNG,23,34,3430934,102000,146.25,0.68
BEV_S1_2032,S1,D3,BEV,911948.26,Electricity,6,42,4237026,102000,692.32,0.14
Diesel_S1_2032,S1,D3,Diesel,932161.12,B20,2,42,4237026,102000,2076.97,0.05
LNG_S1_2032,S1,D3,LNG,4720895.89,LNG,34,42,4237026,102000,122.17,0.81
LNG_S1_2032,S1,D4,LNG,843270.27,LNG,6,6,542921,102000,88.71,1.0
LNG_S2_2032,S2,D1,LNG,2223021.82,LNG,12,12,1257890,106000,98.89,1.0
LNG_S2_2032,S2,D2,LNG,3142551.57,LNG,17,17,1759215,106000,97.63,1.0
LNG_S2_2032,S2,D3,LNG,1854116.07,LNG,10,10,980430,106000,92.49,1.0
LNG_S2_2032,S2,D4,LNG,380084.29,LNG,2,2,163126,106000,76.95,1.0
Diesel_S3_2032,S3,D1,Diesel,2036032.42,B20,12,38,2708133,73000,309.15,0.32
LNG_S3_2032,S3,D1,LNG,5450164.66,LNG,26,38,2708133,73000,142.68,0.68
BEV_S3_2032,S3,D2,BEV,996903.83,Electricity,4,40,2863674,73000,980.71,0.1
Diesel_S3_2032,S3,D2,Diesel,1279410.06,B20,7,40,2863674,73000,560.41,0.17
LNG_S3_2032,S3,D2,LNG,6076454.83,LNG,29,40,2863674,73000,135.27,0.72
LNG_S3_2032,S3,D3,LNG,3772832.09,LNG,18,18,1254261,73000,95.45,1.0
LNG_S3_2032,S3,D4,LNG,845370.56,LNG,4,4,250479,73000,85.78,1.0
LNG_S4_2032,S4,D1,LNG,270415.97,LNG,1,1,19298,118000,16.35,1.0
LNG_S4_2032,S4,D2,LNG,2423944.64,LNG,9,9,967461,118000,91.1,1.0
LNG_S4_2032,S4,D3,LNG,545584.37,LNG,2,2,141391,118000,59.91,1.0
LNG_S4_2032,S4,D4,LNG,267889.0,LNG,1,1,2230,118000,1.89,1.0
