Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2023,S1,D1,LNG,970169.68,LNG,9,9,869181,102000,94.68,1.0
Diesel_S1_2023,S1,D2,Diesel,533751.31,B20,2,26,2597094,102000,1273.09,0.08
LNG_S1_2023,S1,D2,LNG,2562118.0,LNG,24,26,2597094,102000,106.09,0.92
Diesel_S1_2023,S1,D3,Diesel,569068.49,B20,3,33,3292011,102000,1075.82,0.09
LNG_S1_2023,S1,D3,LNG,3198372.73,LNG,30,33,3292011,102000,107.58,0.91
LNG_S1_2023,S1,D4,LNG,543873.77,LNG,5,5,414315,102000,81.24,1.0
LNG_S2_2023,S2,D1,LNG,1426443.93,LNG,10,10,995694,106000,93.93,1.0
LNG_S2_2023,S2,D2,LNG,1990235.27,LNG,14,14,1383196,106000,93.21,1.0
LNG_S2_2023,S2,D3,LNG,1144096.39,LNG,8,8,778008,106000,91.75,1.0
LNG_S2_2023,S2,D4,LNG,293132.66,LNG,2,2,133677,106000,63.06,1.0
Diesel_S3_2023,S3,D1,Diesel,851186.07,B20,6,30,2183475,73000,498.51,0.2
LNG_S3_2023,S3,D1,LNG,3860069.37,LNG,24,30,2183475,73000,124.63,0.8
Diesel_S3_2023,S3,D2,Diesel,862512.98,B20,6,34,2431901,73000,555.23,0.18
LNG_S3_2023,S3,D2,LNG,4500198.3,LNG,28,34,2431901,73000,118.98,0.82
LNG_S3_2023,S3,D3,LNG,2254797.48,LNG,14,14,1002466,73000,98.09,1.0
LNG_S3_2023,S3,D4,LNG,492029.94,LNG,3,3,205426,73000,93.8,1.0
LNG_S4_2023,S4,D1,LNG,207527.76,LNG,1,1,14576,118000,12.35,1.0
LNG_S4_2023,S4,D2,LNG,1453673.18,LNG,7,7,754717,118000,91.37,1.0
LNG_S4_2023,S4,D3,LNG,420182.39,LNG,2,2,118899,118000,50.38,1.0
LNG_S4_2023,S4,D4,LNG,205367.35,LNG,1,1,1809,118000,1.53,1.0
