Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2037,S1,D1,LNG,1938377.31,LNG,12,12,1196265,102000,97.73,1.0
Diesel_S1_2037,S1,D2,Diesel,1058525.78,B20,6,39,3953052,102000,645.92,0.15
LNG_S1_2037,S1,D2,LNG,5308279.0,LNG,33,39,3953052,102000,117.44,0.85
BEV_S1_2037,S1,D3,BEV,1162180.2,Electricity,8,46,4663966,102000,571.56,0.17
Diesel_S1_2037,S1,D3,Diesel,1101834.78,B20,6,46,4663966,102000,762.09,0.13
LNG_S1_2037,S1,D3,LNG,5151688.99,LNG,32,46,4663966,102000,142.89,0.7
LNG_S1_2037,S1,D4,LNG,1135314.65,LNG,7,7,630092,102000,88.25,1.0
LNG_S2_2037,S2,D1,LNG,2999959.83,LNG,14,14,1402031,106000,94.48,1.0
Diesel_S2_2037,S2,D2,Diesel,714897.73,B20,2,20,2079105,106000,980.71,0.1
LNG_S2_2037,S2,D2,LNG,3855167.45,LNG,18,20,2079105,106000,108.97,0.9
LNG_S2_2037,S2,D3,LNG,2360625.54,LNG,11,11,1131832,106000,97.07,1.0
LNG_S2_2037,S2,D4,LNG,440042.53,LNG,2,2,186733,106000,88.08,1.0
Diesel_S3_2037,S3,D1,Diesel,1833049.95,B20,9,43,3128820,73000,476.23,0.21
LNG_S3_2037,S3,D1,LNG,8252198.81,LNG,34,43,3128820,73000,126.06,0.79
Diesel_S3_2037,S3,D2,Diesel,2738712.68,B20,14,45,3274991,73000,320.45,0.31
LNG_S3_2037,S3,D2,LNG,7527182.69,LNG,31,45,3274991,73000,144.72,0.69
LNG_S3_2037,S3,D3,LNG,4614602.96,LNG,19,19,1384988,73000,99.85,1.0
LNG_S3_2037,S3,D4,LNG,1220020.2,LNG,5,5,292856,73000,80.23,1.0
LNG_S4_2037,S4,D1,LNG,313517.44,LNG,1,1,23254,118000,19.71,1.0
LNG_S4_2037,S4,D2,LNG,3118224.69,LNG,10,10,1146520,118000,97.16,1.0
LNG_S4_2037,S4,D3,LNG,631600.0,LNG,2,2,156518,118000,66.32,1.0
LNG_S4_2037,S4,D4,LNG,310521.1,LNG,1,1,2414,118000,2.05,1.0
