Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2026,S1,D1,LNG,1058534.74,LNG,9,9,884095,102000,96.31,1.0
Diesel_S1_2026,S1,D2,Diesel,809701.25,B20,7,29,2909150,102000,407.44,0.24
LNG_S1_2026,S1,D2,LNG,2569868.63,LNG,22,29,2909150,102000,129.64,0.76
Diesel_S1_2026,S1,D3,Diesel,1000057.89,B20,9,35,3537030,102000,385.3,0.26
LNG_S1_2026,S1,D3,LNG,3033804.84,LNG,26,35,3537030,102000,133.37,0.74
LNG_S1_2026,S1,D4,LNG,593758.52,LNG,5,5,446478,102000,87.54,1.0
LNG_S2_2026,S2,D1,LNG,1710661.57,LNG,11,11,1090703,106000,93.54,1.0
LNG_S2_2026,S2,D2,LNG,2173565.14,LNG,14,14,1452683,106000,97.89,1.0
LNG_S2_2026,S2,D3,LNG,1249169.12,LNG,8,8,825939,106000,97.4,1.0
LNG_S2_2026,S2,D4,LNG,319554.68,LNG,2,2,141128,106000,66.57,1.0
Diesel_S3_2026,S3,D1,Diesel,1436771.66,B20,10,32,2329773,73000,319.15,0.31
LNG_S3_2026,S3,D1,LNG,3868565.99,LNG,22,32,2329773,73000,145.07,0.69
Diesel_S3_2026,S3,D2,Diesel,1187073.82,B20,8,35,2524893,73000,432.34,0.23
LNG_S3_2026,S3,D2,LNG,4741841.6,LNG,27,35,2524893,73000,128.1,0.77
LNG_S3_2026,S3,D3,LNG,2812194.48,LNG,16,16,1103927,73000,94.51,1.0
LNG_S3_2026,S3,D4,LNG,709170.98,LNG,4,4,219181,73000,75.06,1.0
LNG_S4_2026,S4,D1,LNG,226679.24,LNG,1,1,15916,118000,13.49,1.0
LNG_S4_2026,S4,D2,LNG,1587094.45,LNG,7,7,794430,118000,96.18,1.0
LNG_S4_2026,S4,D3,LNG,458513.66,LNG,2,2,126715,118000,53.69,1.0
LNG_S4_2026,S4,D4,LNG,224401.83,LNG,1,1,1989,118000,1.69,1.0
