Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2038,S1,D1,LNG,2160701.73,LNG,13,13,1254358,102000,94.6,1.0
BEV_S1_2038,S1,D2,BEV,890598.2,Electricity,6,40,3994169,102000,652.64,0.15
Diesel_S1_2038,S1,D2,Diesel,1195606.46,B20,7,40,3994169,102000,559.41,0.17
LNG_S1_2038,S1,D2,LNG,4480089.35,LNG,27,40,3994169,102000,145.03,0.68
BEV_S1_2038,S1,D3,BEV,1162060.37,Electricity,8,48,4847871,102000,594.1,0.17
Diesel_S1_2038,S1,D3,Diesel,1241132.05,B20,7,48,4847871,102000,678.97,0.15
LNG_S1_2038,S1,D3,LNG,5470804.67,LNG,33,48,4847871,102000,144.02,0.69
LNG_S1_2038,S1,D4,LNG,1169159.07,LNG,7,7,642216,102000,89.95,1.0
LNG_S2_2038,S2,D1,LNG,3089523.58,LNG,14,14,1410693,106000,95.06,1.0
Diesel_S2_2038,S2,D2,Diesel,784002.33,B20,3,21,2151804,106000,676.67,0.14
LNG_S2_2038,S2,D2,LNG,3970800.16,LNG,18,21,2151804,106000,112.78,0.86
LNG_S2_2038,S2,D3,LNG,2649985.21,LNG,12,12,1187938,106000,93.39,1.0
LNG_S2_2038,S2,D4,LNG,453057.44,LNG,2,2,190889,106000,90.04,1.0
Diesel_S3_2038,S3,D1,Diesel,2442979.73,B20,12,45,3229278,73000,368.64,0.27
LNG_S3_2038,S3,D1,LNG,8250523.02,LNG,33,45,3229278,73000,134.05,0.73
BEV_S3_2038,S3,D2,BEV,523314.98,Electricity,1,46,3297618,73000,4517.28,0.02
Diesel_S3_2038,S3,D2,Diesel,2820732.08,B20,14,46,3297618,73000,322.66,0.3
LNG_S3_2038,S3,D2,LNG,7752552.12,LNG,31,46,3297618,73000,145.72,0.67
Diesel_S3_2038,S3,D3,Diesel,738485.52,B20,1,20,1448550,73000,1984.32,0.05
LNG_S3_2038,S3,D3,LNG,4753139.13,LNG,19,20,1448550,73000,104.44,0.95
LNG_S3_2038,S3,D4,LNG,1256719.41,LNG,5,5,306910,73000,84.08,1.0
LNG_S4_2038,S4,D1,LNG,322828.75,LNG,1,1,23437,118000,19.86,1.0
LNG_S4_2038,S4,D2,LNG,3211204.26,LNG,10,10,1148555,118000,97.34,1.0
LNG_S4_2038,S4,D3,LNG,650491.53,LNG,2,2,161386,118000,68.38,1.0
LNG_S4_2038,S4,D4,LNG,319828.33,LNG,1,1,2446,118000,2.07,1.0
