Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2025,S1,D1,LNG,1028236.63,LNG,9,9,877707,102000,95.61,1.0
LNG_S1_2025,S1,D2,LNG,3165513.2,LNG,28,28,2836223,102000,99.31,1.0
Diesel_S1_2025,S1,D3,Diesel,626993.13,B20,4,34,3446113,102000,844.64,0.12
LNG_S1_2025,S1,D3,LNG,3392670.67,LNG,30,34,3446113,102000,112.62,0.88
LNG_S1_2025,S1,D4,LNG,576831.46,LNG,5,5,439767,102000,86.23,1.0
LNG_S2_2025,S2,D1,LNG,1661466.09,LNG,11,11,1082065,106000,92.8,1.0
LNG_S2_2025,S2,D2,LNG,2110555.18,LNG,14,14,1410584,106000,95.05,1.0
LNG_S2_2025,S2,D3,LNG,1213488.33,LNG,8,8,821678,106000,96.9,1.0
LNG_S2_2025,S2,D4,LNG,310465.93,LNG,2,2,137231,106000,64.73,1.0
Diesel_S3_2025,S3,D1,Diesel,1022233.41,B20,7,31,2255136,73000,441.32,0.23
LNG_S3_2025,S3,D1,LNG,4094534.43,LNG,24,31,2255136,73000,128.72,0.77
Diesel_S3_2025,S3,D2,Diesel,916354.56,B20,6,35,2501227,73000,571.06,0.17
LNG_S3_2025,S3,D2,LNG,4943065.06,LNG,29,35,2501227,73000,118.15,0.83
LNG_S3_2025,S3,D3,LNG,2560981.9,LNG,15,15,1053662,73000,96.22,1.0
LNG_S3_2025,S3,D4,LNG,521885.82,LNG,3,3,218537,73000,99.79,1.0
LNG_S4_2025,S4,D1,LNG,220160.64,LNG,1,1,15615,118000,13.23,1.0
LNG_S4_2025,S4,D2,LNG,1541744.37,LNG,7,7,791079,118000,95.77,1.0
LNG_S4_2025,S4,D3,LNG,445404.9,LNG,2,2,123252,118000,52.23,1.0
LNG_S4_2025,S4,D4,LNG,217871.38,LNG,1,1,1927,118000,1.63,1.0
