Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2030,S1,D1,LNG,1318833.63,LNG,10,10,1009798,102000,99.0,1.0
Diesel_S1_2030,S1,D2,Diesel,837631.28,B20,6,33,3285854,102000,536.9,0.18
LNG_S1_2030,S1,D2,LNG,3538172.17,LNG,27,33,3285854,102000,119.31,0.82
Diesel_S1_2030,S1,D3,Diesel,1136090.63,B20,9,39,3959514,102000,431.32,0.23
LNG_S1_2030,S1,D3,LNG,3930816.15,LNG,30,39,3959514,102000,129.4,0.77
LNG_S1_2030,S1,D4,LNG,666743.34,LNG,5,5,496273,102000,97.31,1.0
LNG_S2_2030,S2,D1,LNG,2096167.4,LNG,12,12,1231293,106000,96.8,1.0
LNG_S2_2030,S2,D2,LNG,2789551.63,LNG,16,16,1624238,106000,95.77,1.0
LNG_S2_2030,S2,D3,LNG,1576139.84,LNG,9,9,931478,106000,97.64,1.0
LNG_S2_2030,S2,D4,LNG,358538.92,LNG,2,2,155565,106000,73.38,1.0
Diesel_S3_2030,S3,D1,Diesel,1620509.11,B20,10,35,2518188,73000,344.96,0.29
LNG_S3_2030,S3,D1,LNG,4940823.27,LNG,25,35,2518188,73000,137.98,0.71
Diesel_S3_2030,S3,D2,Diesel,1922800.59,B20,12,39,2800498,73000,319.69,0.31
LNG_S3_2030,S3,D2,LNG,5335332.25,LNG,27,39,2800498,73000,142.09,0.69
Diesel_S3_2030,S3,D3,Diesel,500948.86,B20,2,17,1216569,73000,833.27,0.12
LNG_S3_2030,S3,D3,LNG,2967583.33,LNG,15,17,1216569,73000,111.1,0.88
LNG_S3_2030,S3,D4,LNG,797119.89,LNG,4,4,240767,73000,82.45,1.0
LNG_S4_2030,S4,D1,LNG,254920.98,LNG,1,1,18168,118000,15.4,1.0
LNG_S4_2030,S4,D2,LNG,2034809.06,LNG,8,8,919290,118000,97.38,1.0
LNG_S4_2030,S4,D3,LNG,514610.95,LNG,2,2,136344,118000,57.77,1.0
LNG_S4_2030,S4,D4,LNG,252516.11,LNG,1,1,2114,118000,1.79,1.0
