Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2033,S1,D1,LNG,1581371.14,LNG,11,11,1070915,102000,95.45,1.0
BEV_S1_2033,S1,D2,BEV,769402.4,Electricity,5,35,3491886,102000,684.68,0.14
Diesel_S1_2033,S1,D2,Diesel,828844.37,B20,2,35,3491886,102000,1711.71,0.06
LNG_S1_2033,S1,D2,LNG,4007135.12,LNG,28,35,3491886,102000,122.26,0.8
BEV_S1_2033,S1,D3,BEV,672379.86,Electricity,4,43,4290083,102000,1051.49,0.09
Diesel_S1_2033,S1,D3,Diesel,1249946.12,B20,9,43,4290083,102000,467.33,0.21
LNG_S1_2033,S1,D3,LNG,4294744.46,LNG,30,43,4290083,102000,140.2,0.7
LNG_S1_2033,S1,D4,LNG,868586.53,LNG,6,6,563313,102000,92.04,1.0
LNG_S2_2033,S2,D1,LNG,2477704.04,LNG,13,13,1283026,106000,93.11,1.0
LNG_S2_2033,S2,D2,LNG,3236545.17,LNG,17,17,1790314,106000,99.35,1.0
LNG_S2_2033,S2,D3,LNG,1909612.75,LNG,10,10,1007259,106000,95.02,1.0
LNG_S2_2033,S2,D4,LNG,391422.41,LNG,2,2,168141,106000,79.31,1.0
Diesel_S3_2033,S3,D1,Diesel,2261887.02,B20,13,39,2820991,73000,297.26,0.33
LNG_S3_2033,S3,D1,LNG,5613757.23,LNG,26,39,2820991,73000,148.63,0.67
Diesel_S3_2033,S3,D2,Diesel,2103946.63,B20,12,41,2974170,73000,339.52,0.29
LNG_S3_2033,S3,D2,LNG,6258787.04,LNG,29,41,2974170,73000,140.49,0.71
Diesel_S3_2033,S3,D3,Diesel,597188.26,B20,1,18,1270139,73000,1739.92,0.06
LNG_S3_2033,S3,D3,LNG,3671087.57,LNG,17,18,1270139,73000,102.35,0.94
LNG_S3_2033,S3,D4,LNG,870834.87,LNG,4,4,262313,73000,89.83,1.0
LNG_S4_2033,S4,D1,LNG,278521.71,LNG,1,1,19951,118000,16.91,1.0
LNG_S4_2033,S4,D2,LNG,2496836.13,LNG,9,9,1013174,118000,95.4,1.0
LNG_S4_2033,S4,D3,LNG,561934.93,LNG,2,2,146270,118000,61.98,1.0
LNG_S4_2033,S4,D4,LNG,275914.27,LNG,1,1,2236,118000,1.89,1.0
