Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2029,S1,D1,LNG,1280951.04,LNG,10,10,1009629,102000,98.98,1.0
Diesel_S1_2029,S1,D2,Diesel,676554.38,B20,4,32,3188349,102000,781.46,0.12
LNG_S1_2029,S1,D2,LNG,3561148.97,LNG,28,32,3188349,102000,111.64,0.88
Diesel_S1_2029,S1,D3,Diesel,924846.73,B20,7,39,3892298,102000,545.14,0.18
LNG_S1_2029,S1,D3,LNG,4068599.61,LNG,32,39,3892298,102000,119.25,0.82
LNG_S1_2029,S1,D4,LNG,647495.7,LNG,5,5,484671,102000,95.03,1.0
LNG_S2_2029,S2,D1,LNG,2034916.58,LNG,12,12,1173616,106000,92.27,1.0
Diesel_S2_2029,S2,D2,Diesel,630376.25,B20,1,16,1608555,106000,1517.5,0.06
LNG_S2_2029,S2,D2,LNG,2541361.5,LNG,15,16,1608555,106000,101.17,0.94
LNG_S2_2029,S2,D3,LNG,1530522.52,LNG,9,9,916617,106000,96.08,1.0
LNG_S2_2029,S2,D4,LNG,347955.3,LNG,2,2,148322,106000,69.96,1.0
Diesel_S3_2029,S3,D1,Diesel,1157795.63,B20,7,35,2497153,73000,488.68,0.2
LNG_S3_2029,S3,D1,LNG,5369580.66,LNG,28,35,2497153,73000,122.17,0.8
Diesel_S3_2029,S3,D2,Diesel,1171006.78,B20,7,39,2795108,73000,546.99,0.18
LNG_S3_2029,S3,D2,LNG,6134471.84,LNG,32,39,2795108,73000,119.65,0.82
LNG_S3_2029,S3,D3,LNG,3262358.04,LNG,17,17,1175528,73000,94.72,1.0
LNG_S3_2029,S3,D4,LNG,773968.87,LNG,4,4,234155,73000,80.19,1.0
LNG_S4_2029,S4,D1,LNG,247497.15,LNG,1,1,17544,118000,14.87,1.0
LNG_S4_2029,S4,D2,LNG,1975514.22,LNG,8,8,885863,118000,93.84,1.0
LNG_S4_2029,S4,D3,LNG,499938.6,LNG,2,2,135803,118000,57.54,1.0
LNG_S4_2029,S4,D4,LNG,245172.02,LNG,1,1,2113,118000,1.79,1.0
