Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2024,S1,D1,LNG,998844.3,LNG,9,9,877242,102000,95.56,1.0
LNG_S1_2024,S1,D2,LNG,2964605.04,LNG,27,27,2716195,102000,98.63,1.0
Diesel_S1_2024,S1,D3,Diesel,587663.64,B20,3,33,3336604,102000,1090.39,0.09
LNG_S1_2024,S1,D3,LNG,3293912.82,LNG,30,33,3336604,102000,109.04,0.91
LNG_S1_2024,S1,D4,LNG,559881.34,LNG,5,5,419981,102000,82.35,1.0
LNG_S2_2024,S2,D1,LNG,1469430.31,LNG,10,10,1043209,106000,98.42,1.0
LNG_S2_2024,S2,D2,LNG,2049454.74,LNG,14,14,1391987,106000,93.8,1.0
LNG_S2_2024,S2,D3,LNG,1178440.44,LNG,8,8,807076,106000,95.17,1.0
LNG_S2_2024,S2,D4,LNG,301529.1,LNG,2,2,133712,106000,63.07,1.0
Diesel_S3_2024,S3,D1,Diesel,1725526.28,B20,13,31,2239440,73000,235.98,0.42
LNG_S3_2024,S3,D1,LNG,2990806.87,LNG,18,31,2239440,73000,170.43,0.58
Diesel_S3_2024,S3,D2,Diesel,888428.94,B20,6,34,2453497,73000,560.16,0.18
LNG_S3_2024,S3,D2,LNG,4634810.66,LNG,28,34,2453497,73000,120.03,0.82
LNG_S3_2024,S3,D3,LNG,2486528.56,LNG,15,15,1029375,73000,94.01,1.0
LNG_S3_2024,S3,D4,LNG,506547.89,LNG,3,3,208440,73000,95.18,1.0
LNG_S4_2024,S4,D1,LNG,213770.56,LNG,1,1,15200,118000,12.88,1.0
LNG_S4_2024,S4,D2,LNG,1497263.42,LNG,7,7,780979,118000,94.55,1.0
LNG_S4_2024,S4,D3,LNG,432704.58,LNG,2,2,122186,118000,51.77,1.0
LNG_S4_2024,S4,D4,LNG,211531.94,LNG,1,1,1893,118000,1.6,1.0
