Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2035,S1,D1,LNG,1677115.71,LNG,11,11,1106719,102000,98.64,1.0
Diesel_S1_2035,S1,D2,Diesel,1086776.24,B20,7,37,3746146,102000,524.67,0.19
LNG_S1_2035,S1,D2,LNG,4552136.09,LNG,30,37,3746146,102000,122.42,0.81
BEV_S1_2035,S1,D3,BEV,505089.71,Electricity,2,44,4476447,102000,2194.34,0.05
Diesel_S1_2035,S1,D3,Diesel,1223785.08,B20,8,44,4476447,102000,548.58,0.18
LNG_S1_2035,S1,D3,LNG,5157648.83,LNG,34,44,4476447,102000,129.08,0.77
LNG_S1_2035,S1,D4,LNG,921086.75,LNG,6,6,588196,102000,96.11,1.0
LNG_S2_2035,S2,D1,LNG,2628304.95,LNG,13,13,1350533,106000,98.01,1.0
Diesel_S2_2035,S2,D2,Diesel,837726.01,B20,1,19,1934621,106000,1825.11,0.05
LNG_S2_2035,S2,D2,LNG,3633850.31,LNG,18,19,1934621,106000,101.4,0.95
LNG_S2_2035,S2,D3,LNG,2025514.57,LNG,10,10,1053870,106000,99.42,1.0
LNG_S2_2035,S2,D4,LNG,415000.55,LNG,2,2,176929,106000,83.46,1.0
BEV_S3_2035,S3,D1,BEV,604421.31,Electricity,2,40,2908543,73000,1992.15,0.05
Diesel_S3_2035,S3,D1,Diesel,1242354.04,B20,6,40,2908543,73000,664.05,0.15
LNG_S3_2035,S3,D1,LNG,7322411.1,LNG,32,40,2908543,73000,124.51,0.8
Diesel_S3_2035,S3,D2,Diesel,2238601.15,B20,12,45,3247401,73000,370.71,0.27
LNG_S3_2035,S3,D2,LNG,7551914.89,LNG,33,45,3247401,73000,134.8,0.73
LNG_S3_2035,S3,D3,LNG,4350240.69,LNG,19,19,1360337,73000,98.08,1.0
LNG_S3_2035,S3,D4,LNG,923622.47,LNG,4,4,274741,73000,94.09,1.0
LNG_S4_2035,S4,D1,LNG,295519.97,LNG,1,1,21666,118000,18.36,1.0
LNG_S4_2035,S4,D2,LNG,2939796.75,LNG,10,10,1107787,118000,93.88,1.0
LNG_S4_2035,S4,D3,LNG,595471.49,LNG,2,2,147590,118000,62.54,1.0
LNG_S4_2035,S4,D4,LNG,292712.77,LNG,1,1,2369,118000,2.01,1.0
