Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2028,S1,D1,LNG,1243802.07,LNG,10,10,968137,102000,94.92,1.0
Diesel_S1_2028,S1,D2,Diesel,627327.92,B20,3,31,3114155,102000,1017.7,0.1
LNG_S1_2028,S1,D2,LNG,3457917.67,LNG,28,31,3114155,102000,109.04,0.9
Diesel_S1_2028,S1,D3,Diesel,1233038.56,B20,1,37,3731269,102000,3658.11,0.03
LNG_S1_2028,S1,D3,LNG,4439807.12,LNG,36,37,3731269,102000,101.61,0.97
LNG_S1_2028,S1,D4,LNG,628927.98,LNG,5,5,469168,102000,91.99,1.0
LNG_S2_2028,S2,D1,LNG,1813669.59,LNG,11,11,1142178,106000,97.96,1.0
LNG_S2_2028,S2,D2,LNG,2467295.16,LNG,15,15,1546703,106000,97.28,1.0
LNG_S2_2028,S2,D3,LNG,1486255.71,LNG,9,9,902415,106000,94.59,1.0
LNG_S2_2028,S2,D4,LNG,338199.24,LNG,2,2,148036,106000,69.83,1.0
Diesel_S3_2028,S3,D1,Diesel,995372.4,B20,6,34,2448472,73000,559.01,0.18
LNG_S3_2028,S3,D1,LNG,5213608.32,LNG,28,34,2448472,73000,119.79,0.82
Diesel_S3_2028,S3,D2,Diesel,1263154.65,B20,8,37,2667924,73000,456.84,0.22
LNG_S3_2028,S3,D2,LNG,5400028.15,LNG,29,37,2667924,73000,126.02,0.78
LNG_S3_2028,S3,D3,LNG,2982621.53,LNG,16,16,1155329,73000,98.92,1.0
LNG_S3_2028,S3,D4,LNG,751849.04,LNG,4,4,233462,73000,79.95,1.0
LNG_S4_2028,S4,D1,LNG,240335.62,LNG,1,1,16863,118000,14.29,1.0
LNG_S4_2028,S4,D2,LNG,1918281.63,LNG,8,8,851953,118000,90.25,1.0
LNG_S4_2028,S4,D3,LNG,485823.02,LNG,2,2,133929,118000,56.75,1.0
LNG_S4_2028,S4,D4,LNG,238042.18,LNG,1,1,2066,118000,1.75,1.0
