Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2036,S1,D1,LNG,1881794.83,LNG,12,12,1143702,102000,93.44,1.0
BEV_S1_2036,S1,D2,BEV,892892.85,Electricity,6,38,3821393,102000,624.41,0.16
Diesel_S1_2036,S1,D2,Diesel,852850.57,B20,3,38,3821393,102000,1248.82,0.08
LNG_S1_2036,S1,D2,LNG,4533375.02,LNG,29,38,3821393,102000,129.19,0.76
BEV_S1_2036,S1,D3,BEV,501960.18,Electricity,2,46,4599217,102000,2254.52,0.04
Diesel_S1_2036,S1,D3,Diesel,1373732.0,B20,9,46,4599217,102000,501.0,0.2
LNG_S1_2036,S1,D3,LNG,5467307.01,LNG,35,46,4599217,102000,128.83,0.76
LNG_S1_2036,S1,D4,LNG,948552.08,LNG,6,6,602557,102000,98.46,1.0
LNG_S2_2036,S2,D1,LNG,2912944.13,LNG,14,14,1388729,106000,93.58,1.0
Diesel_S2_2036,S2,D2,Diesel,874038.91,B20,1,19,1982301,106000,1870.1,0.05
LNG_S2_2036,S2,D2,LNG,3742671.9,LNG,18,19,1982301,106000,103.89,0.95
LNG_S2_2036,S2,D3,LNG,2292005.6,LNG,11,11,1103197,106000,94.61,1.0
LNG_S2_2036,S2,D4,LNG,427217.63,LNG,2,2,180140,106000,84.97,1.0
Diesel_S3_2036,S3,D1,Diesel,2297000.83,B20,12,41,2983351,73000,340.57,0.29
LNG_S3_2036,S3,D1,LNG,6837527.42,LNG,29,41,2983351,73000,140.92,0.71
BEV_S3_2036,S3,D2,BEV,994425.85,Electricity,4,45,3269872,73000,1119.82,0.09
Diesel_S3_2036,S3,D2,Diesel,1786353.34,B20,9,45,3269872,73000,497.7,0.2
LNG_S3_2036,S3,D2,LNG,7543222.39,LNG,32,45,3269872,73000,139.98,0.71
LNG_S3_2036,S3,D3,LNG,4480493.97,LNG,19,19,1377326,73000,99.3,1.0
LNG_S3_2036,S3,D4,LNG,951194.28,LNG,4,4,280914,73000,96.2,1.0
LNG_S4_2036,S4,D1,LNG,304428.38,LNG,1,1,22740,118000,19.27,1.0
LNG_S4_2036,S4,D2,LNG,3027800.14,LNG,10,10,1134238,118000,96.12,1.0
LNG_S4_2036,S4,D3,LNG,613204.86,LNG,2,2,151090,118000,64.02,1.0
LNG_S4_2036,S4,D4,LNG,301488.47,LNG,1,1,2412,118000,2.04,1.0
