Allocation,Size,Distance,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
LNG_S1_2034,S1,D1,LNG,1628424.15,LNG,11,11,1080198,102000,96.27,1.0
Diesel_S1_2034,S1,D2,Diesel,871139.97,B20,5,36,3606840,102000,707.22,0.14
LNG_S1_2034,S1,D2,LNG,4565655.45,LNG,31,36,3606840,102000,114.07,0.86
BEV_S1_2034,S1,D3,BEV,613766.38,Electricity,1,44,4474763,102000,4387.02,0.02
Diesel_S1_2034,S1,D3,Diesel,1739462.25,B20,13,44,4474763,102000,337.46,0.3
LNG_S1_2034,S1,D3,LNG,4423742.19,LNG,30,44,4474763,102000,146.23,0.68
LNG_S1_2034,S1,D4,LNG,894445.82,LNG,6,6,575445,102000,94.03,1.0
LNG_S2_2034,S2,D1,LNG,2552222.47,LNG,13,13,1344795,106000,97.59,1.0
LNG_S2_2034,S2,D2,LNG,3528029.2,LNG,18,18,1869435,106000,97.98,1.0
LNG_S2_2034,S2,D3,LNG,1966914.96,LNG,10,10,1043936,106000,98.48,1.0
LNG_S2_2034,S2,D4,LNG,402817.3,LNG,2,2,169472,106000,79.94,1.0
Diesel_S3_2034,S3,D1,Diesel,1996247.2,B20,11,39,2832153,73000,352.7,0.28
LNG_S3_2034,S3,D1,LNG,6224062.35,LNG,28,39,2832153,73000,138.56,0.72
Diesel_S3_2034,S3,D2,Diesel,2336422.64,B20,13,43,3096840,73000,326.33,0.3
LNG_S3_2034,S3,D2,LNG,6667886.96,LNG,30,43,3096840,73000,141.41,0.7
Diesel_S3_2034,S3,D3,Diesel,672021.38,B20,3,19,1320768,73000,603.09,0.16
LNG_S3_2034,S3,D3,LNG,3560220.71,LNG,16,19,1320768,73000,113.08,0.84
LNG_S3_2034,S3,D4,LNG,897009.2,LNG,4,4,273053,73000,93.51,1.0
LNG_S4_2034,S4,D1,LNG,286897.81,LNG,1,1,20807,118000,17.63,1.0
LNG_S4_2034,S4,D2,LNG,2571866.04,LNG,9,9,1057133,118000,99.54,1.0
LNG_S4_2034,S4,D3,LNG,578412.64,LNG,2,2,146333,118000,62.01,1.0
LNG_S4_2034,S4,D4,LNG,284186.79,LNG,1,1,2280,118000,1.93,1.0
