Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",BEV,250840.17,Electricity,1,12,1196265,102000,1172.81,0.08
"Size S1, Distance D1",LNG,1779350.7,LNG,11,12,1196265,102000,106.62,0.92
"Size S1, Distance D2",BEV,1964474.87,Electricity,14,39,3953052,102000,276.82,0.36
"Size S1, Distance D2",Diesel,1270889.04,B20,8,39,3953052,102000,484.44,0.21
"Size S1, Distance D2",LNG,2759201.35,LNG,17,39,3953052,102000,227.97,0.44
"Size S1, Distance D3",BEV,2242182.18,Electricity,16,46,4663966,102000,285.78,0.35
"Size S1, Distance D3",Diesel,1533319.75,B20,10,46,4663966,102000,457.25,0.22
"Size S1, Distance D3",LNG,3240297.81,LNG,20,46,4663966,102000,228.63,0.43
"Size S1, Distance D4",LNG,1135314.65,LNG,7,7,630092,102000,88.25,1.0
"Size S2, Distance D1",Diesel,590691.49,B20,2,14,1402031,106000,661.34,0.14
"Size S2, Distance D1",LNG,2575893.9,LNG,12,14,1402031,106000,110.22,0.86
"Size S2, Distance D2",BEV,853456.34,Electricity,4,20,2079105,106000,490.35,0.2
"Size S2, Distance D2",Diesel,929552.85,B20,1,20,2079105,106000,1961.42,0.05
"Size S2, Distance D2",LNG,3218787.64,LNG,15,20,2079105,106000,130.76,0.75
"Size S2, Distance D3",LNG,2360625.54,LNG,11,11,1131832,106000,97.07,1.0
"Size S2, Distance D4",LNG,440042.53,LNG,2,2,186733,106000,88.08,1.0
"Size S3, Distance D1",BEV,2543262.5,Electricity,11,43,3128820,73000,389.64,0.26
"Size S3, Distance D1",Diesel,2188806.69,B20,11,43,3128820,73000,389.64,0.26
"Size S3, Distance D1",LNG,5110167.34,LNG,21,43,3128820,73000,204.1,0.49
"Size S3, Distance D2",BEV,2770990.45,Electricity,12,45,3274991,73000,373.86,0.27
"Size S3, Distance D2",Diesel,2193687.05,B20,11,45,3274991,73000,407.84,0.24
"Size S3, Distance D2",LNG,5352472.37,LNG,22,45,3274991,73000,203.92,0.49
"Size S3, Distance D3",BEV,522027.16,Electricity,2,19,1384988,73000,948.62,0.11
"Size S3, Distance D3",Diesel,633302.2,B20,2,19,1384988,73000,948.62,0.11
"Size S3, Distance D3",LNG,3648098.07,LNG,15,19,1384988,73000,126.48,0.79
"Size S3, Distance D4",LNG,1220020.2,LNG,5,5,292856,73000,80.23,1.0
"Size S4, Distance D1",LNG,313517.44,LNG,1,1,23254,118000,19.71,1.0
"Size S4, Distance D2",LNG,3118224.69,LNG,10,10,1146520,118000,97.16,1.0
"Size S4, Distance D3",LNG,631600.0,LNG,2,2,156518,118000,66.32,1.0
"Size S4, Distance D4",LNG,310521.1,LNG,1,1,2414,118000,2.05,1.0
