Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,998844.3,LNG,9,9,877242,102000,95.56,1.0
"Size S1, Distance D2",Diesel,1264535.56,B20,13,27,2716195,102000,204.84,0.48
"Size S1, Distance D2",LNG,1560814.02,LNG,14,27,2716195,102000,190.21,0.52
"Size S1, Distance D3",Diesel,1190949.66,B20,12,33,3336604,102000,272.6,0.36
"Size S1, Distance D3",LNG,2319226.88,LNG,21,33,3336604,102000,155.77,0.64
"Size S1, Distance D4",LNG,559881.34,LNG,5,5,419981,102000,82.35,1.0
"Size S2, Distance D1",LNG,1469430.31,LNG,10,10,1043209,106000,98.42,1.0
"Size S2, Distance D2",Diesel,470142.18,B20,3,14,1391987,106000,437.73,0.21
"Size S2, Distance D2",LNG,1618332.85,LNG,11,14,1391987,106000,119.38,0.79
"Size S2, Distance D3",LNG,1178440.44,LNG,8,8,807076,106000,95.17,1.0
"Size S2, Distance D4",LNG,301529.1,LNG,2,2,133712,106000,63.07,1.0
"Size S3, Distance D1",Diesel,1600506.35,B20,12,31,2239440,73000,255.64,0.39
"Size S3, Distance D1",LNG,3154731.63,LNG,19,31,2239440,73000,161.46,0.61
"Size S3, Distance D2",Diesel,1358853.33,B20,10,34,2453497,73000,336.1,0.29
"Size S3, Distance D2",LNG,3977190.71,LNG,24,34,2453497,73000,140.04,0.71
"Size S3, Distance D3",Diesel,482955.99,B20,3,15,1029375,73000,470.03,0.2
"Size S3, Distance D3",LNG,1994341.86,LNG,12,15,1029375,73000,117.51,0.8
"Size S3, Distance D4",LNG,506547.89,LNG,3,3,208440,73000,95.18,1.0
"Size S4, Distance D1",LNG,213770.56,LNG,1,1,15200,118000,12.88,1.0
"Size S4, Distance D2",LNG,1497263.42,LNG,7,7,780979,118000,94.55,1.0
"Size S4, Distance D3",LNG,432704.58,LNG,2,2,122186,118000,51.77,1.0
"Size S4, Distance D4",LNG,211531.94,LNG,1,1,1893,118000,1.6,1.0
