Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",Diesel,298524.59,B20,2,9,869181,102000,426.07,0.22
"Size S1, Distance D1",LNG,762789.59,LNG,7,9,869181,102000,121.73,0.78
"Size S1, Distance D2",Diesel,971710.26,B20,10,26,2597094,102000,254.62,0.38
"Size S1, Distance D2",LNG,1723177.0,LNG,16,26,2597094,102000,159.14,0.62
"Size S1, Distance D3",Diesel,1072582.32,B20,11,33,3292011,102000,293.41,0.33
"Size S1, Distance D3",LNG,2357053.73,LNG,22,33,3292011,102000,146.7,0.67
"Size S1, Distance D4",LNG,543873.77,LNG,5,5,414315,102000,81.24,1.0
"Size S2, Distance D1",LNG,1426443.93,LNG,10,10,995694,106000,93.93,1.0
"Size S2, Distance D2",LNG,1990235.27,LNG,14,14,1383196,106000,93.21,1.0
"Size S2, Distance D3",Diesel,322859.84,B20,1,8,778008,106000,733.97,0.12
"Size S2, Distance D3",LNG,1005438.73,LNG,7,8,778008,106000,104.85,0.88
"Size S2, Distance D4",LNG,293132.66,LNG,2,2,133677,106000,63.06,1.0
"Size S3, Distance D1",Diesel,1076841.06,B20,8,30,2183475,73000,373.88,0.27
"Size S3, Distance D1",LNG,3541040.1,LNG,22,30,2183475,73000,135.96,0.73
"Size S3, Distance D2",Diesel,2291854.09,B20,18,34,2431901,73000,185.08,0.53
"Size S3, Distance D2",LNG,2588609.74,LNG,16,34,2431901,73000,208.21,0.47
"Size S3, Distance D3",Diesel,797338.31,B20,6,14,1002466,73000,228.87,0.43
"Size S3, Distance D3",LNG,1302526.96,LNG,8,14,1002466,73000,171.66,0.57
"Size S3, Distance D4",LNG,492029.94,LNG,3,3,205426,73000,93.8,1.0
"Size S4, Distance D1",LNG,207527.76,LNG,1,1,14576,118000,12.35,1.0
"Size S4, Distance D2",LNG,1453673.18,LNG,7,7,754717,118000,91.37,1.0
"Size S4, Distance D3",LNG,420182.39,LNG,2,2,118899,118000,50.38,1.0
"Size S4, Distance D4",LNG,205367.35,LNG,1,1,1809,118000,1.53,1.0
