Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1581371.14,LNG,11,11,1070915,102000,95.45,1.0
"Size S1, Distance D2",BEV,1693292.37,Electricity,12,35,3491886,102000,285.28,0.34
"Size S1, Distance D2",Diesel,1015222.16,B20,7,35,3491886,102000,489.06,0.2
"Size S1, Distance D2",LNG,2311489.28,LNG,16,35,3491886,102000,213.96,0.46
"Size S1, Distance D3",BEV,1971850.05,Electricity,14,43,4290083,102000,300.43,0.33
"Size S1, Distance D3",Diesel,1249946.12,B20,9,43,4290083,102000,467.33,0.21
"Size S1, Distance D3",LNG,2880755.19,LNG,20,43,4290083,102000,210.3,0.47
"Size S1, Distance D4",LNG,868586.53,LNG,6,6,563313,102000,92.04,1.0
"Size S2, Distance D1",Diesel,580892.09,B20,1,13,1283026,106000,1210.4,0.08
"Size S2, Distance D1",LNG,2289461.87,LNG,12,13,1283026,106000,100.87,0.92
"Size S2, Distance D2",Diesel,645738.12,B20,3,17,1790314,106000,562.99,0.18
"Size S2, Distance D2",LNG,2671505.62,LNG,14,17,1790314,106000,120.64,0.82
"Size S2, Distance D3",LNG,1909612.75,LNG,10,10,1007259,106000,95.02,1.0
"Size S2, Distance D4",LNG,391422.41,LNG,2,2,168141,106000,79.31,1.0
"Size S3, Distance D1",BEV,1645750.36,Electricity,7,39,2820991,73000,552.05,0.18
"Size S3, Distance D1",Diesel,1465899.68,B20,8,39,2820991,73000,483.05,0.21
"Size S3, Distance D1",LNG,5184483.5,LNG,24,39,2820991,73000,161.02,0.62
"Size S3, Distance D2",BEV,2999463.61,Electricity,13,41,2974170,73000,313.4,0.32
"Size S3, Distance D2",Diesel,1321940.19,B20,7,41,2974170,73000,582.03,0.17
"Size S3, Distance D2",LNG,4542118.48,LNG,21,41,2974170,73000,194.01,0.51
"Size S3, Distance D3",Diesel,597188.26,B20,1,18,1270139,73000,1739.92,0.06
"Size S3, Distance D3",LNG,3671087.57,LNG,17,18,1270139,73000,102.35,0.94
"Size S3, Distance D4",LNG,870834.87,LNG,4,4,262313,73000,89.83,1.0
"Size S4, Distance D1",LNG,278521.71,LNG,1,1,19951,118000,16.91,1.0
"Size S4, Distance D2",LNG,2496836.13,LNG,9,9,1013174,118000,95.4,1.0
"Size S4, Distance D3",LNG,561934.93,LNG,2,2,146270,118000,61.98,1.0
"Size S4, Distance D4",LNG,275914.27,LNG,1,1,2236,118000,1.89,1.0
