Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1280951.04,LNG,10,10,1009629,102000,98.98,1.0
"Size S1, Distance D2",BEV,811639.54,Electricity,5,32,3188349,102000,625.17,0.16
"Size S1, Distance D2",Diesel,1077683.79,B20,9,32,3188349,102000,347.31,0.28
"Size S1, Distance D2",LNG,2305016.28,LNG,18,32,3188349,102000,173.66,0.56
"Size S1, Distance D3",BEV,1092422.62,Electricity,7,39,3892298,102000,545.14,0.18
"Size S1, Distance D3",Diesel,1391197.74,B20,12,39,3892298,102000,318.0,0.31
"Size S1, Distance D3",LNG,2560797.21,LNG,20,39,3892298,102000,190.8,0.51
"Size S1, Distance D4",LNG,647495.7,LNG,5,5,484671,102000,95.03,1.0
"Size S2, Distance D1",Diesel,445207.89,B20,2,12,1173616,106000,553.59,0.17
"Size S2, Distance D1",LNG,1701219.39,LNG,10,12,1173616,106000,110.72,0.83
"Size S2, Distance D2",Diesel,630376.25,B20,1,16,1608555,106000,1517.5,0.06
"Size S2, Distance D2",LNG,2541361.5,LNG,15,16,1608555,106000,101.17,0.94
"Size S2, Distance D3",LNG,1530522.52,LNG,9,9,916617,106000,96.08,1.0
"Size S2, Distance D4",LNG,347955.3,LNG,2,2,148322,106000,69.96,1.0
"Size S3, Distance D1",BEV,1498747.08,Electricity,6,35,2497153,73000,570.13,0.17
"Size S3, Distance D1",Diesel,1859570.83,B20,12,35,2497153,73000,285.06,0.34
"Size S3, Distance D1",LNG,3274046.93,LNG,17,35,2497153,73000,201.22,0.49
"Size S3, Distance D2",BEV,1971814.18,Electricity,8,39,2795108,73000,478.61,0.21
"Size S3, Distance D2",Diesel,1867277.33,B20,12,39,2795108,73000,319.08,0.31
"Size S3, Distance D2",LNG,3656663.62,LNG,19,39,2795108,73000,201.52,0.49
"Size S3, Distance D3",Diesel,958300.68,B20,6,17,1175528,73000,268.39,0.35
"Size S3, Distance D3",LNG,2120277.96,LNG,11,17,1175528,73000,146.39,0.65
"Size S3, Distance D4",LNG,773968.87,LNG,4,4,234155,73000,80.19,1.0
"Size S4, Distance D1",LNG,247497.15,LNG,1,1,17544,118000,14.87,1.0
"Size S4, Distance D2",LNG,1975514.22,LNG,8,8,885863,118000,93.84,1.0
"Size S4, Distance D3",LNG,499938.6,LNG,2,2,135803,118000,57.54,1.0
"Size S4, Distance D4",LNG,245172.02,LNG,1,1,2113,118000,1.79,1.0
