Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1677115.71,LNG,11,11,1106719,102000,98.64,1.0
"Size S1, Distance D2",BEV,1692926.26,Electricity,12,37,3746146,102000,306.06,0.32
"Size S1, Distance D2",Diesel,1415891.1,B20,10,37,3746146,102000,367.27,0.27
"Size S1, Distance D2",LNG,2303396.98,LNG,15,37,3746146,102000,244.85,0.41
"Size S1, Distance D3",BEV,1564166.11,Electricity,11,44,4476447,102000,398.97,0.25
"Size S1, Distance D3",Diesel,1441485.29,B20,10,44,4476447,102000,438.87,0.23
"Size S1, Distance D3",LNG,3504399.96,LNG,23,44,4476447,102000,190.81,0.52
"Size S1, Distance D4",LNG,921086.75,LNG,6,6,588196,102000,96.11,1.0
"Size S2, Distance D1",LNG,2628304.95,LNG,13,13,1350533,106000,98.01,1.0
"Size S2, Distance D2",Diesel,837726.01,B20,1,19,1934621,106000,1825.11,0.05
"Size S2, Distance D2",LNG,3633850.31,LNG,18,19,1934621,106000,101.4,0.95
"Size S2, Distance D3",LNG,2025514.57,LNG,10,10,1053870,106000,99.42,1.0
"Size S2, Distance D4",LNG,415000.55,LNG,2,2,176929,106000,83.46,1.0
"Size S3, Distance D1",BEV,1421740.12,Electricity,6,40,2908543,73000,664.05,0.15
"Size S3, Distance D1",Diesel,2921755.69,B20,16,40,2908543,73000,249.02,0.4
"Size S3, Distance D1",LNG,4134890.4,LNG,18,40,2908543,73000,221.35,0.45
"Size S3, Distance D2",BEV,3453856.0,Electricity,15,45,3247401,73000,296.57,0.33
"Size S3, Distance D2",Diesel,1734538.96,B20,9,45,3247401,73000,494.28,0.2
"Size S3, Distance D2",LNG,4819121.01,LNG,21,45,3247401,73000,211.83,0.47
"Size S3, Distance D3",Diesel,1488749.46,B20,8,19,1360337,73000,232.93,0.42
"Size S3, Distance D3",LNG,2530494.86,LNG,11,19,1360337,73000,169.41,0.58
"Size S3, Distance D4",LNG,923622.47,LNG,4,4,274741,73000,94.09,1.0
"Size S4, Distance D1",LNG,295519.97,LNG,1,1,21666,118000,18.36,1.0
"Size S4, Distance D2",LNG,2939796.75,LNG,10,10,1107787,118000,93.88,1.0
"Size S4, Distance D3",LNG,595471.49,LNG,2,2,147590,118000,62.54,1.0
"Size S4, Distance D4",LNG,292712.77,LNG,1,1,2369,118000,2.01,1.0
