Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1058534.74,LNG,9,9,884095,102000,96.31,1.0
"Size S1, Distance D2",BEV,656776.75,Electricity,3,29,2909150,102000,950.7,0.1
"Size S1, Distance D2",Diesel,1533052.54,B20,15,29,2909150,102000,190.14,0.52
"Size S1, Distance D2",LNG,1317402.7,LNG,11,29,2909150,102000,259.28,0.38
"Size S1, Distance D3",Diesel,1087114.43,B20,10,35,3537030,102000,346.77,0.29
"Size S1, Distance D3",LNG,2918867.26,LNG,25,35,3537030,102000,138.71,0.71
"Size S1, Distance D4",LNG,593758.52,LNG,5,5,446478,102000,87.54,1.0
"Size S2, Distance D1",Diesel,399670.98,B20,2,11,1090703,106000,514.48,0.18
"Size S2, Distance D1",LNG,1406133.38,LNG,9,11,1090703,106000,114.33,0.82
"Size S2, Distance D2",LNG,2173565.14,LNG,14,14,1452683,106000,97.89,1.0
"Size S2, Distance D3",LNG,1249169.12,LNG,8,8,825939,106000,97.4,1.0
"Size S2, Distance D4",LNG,319554.68,LNG,2,2,141128,106000,66.57,1.0
"Size S3, Distance D1",BEV,1212366.83,Electricity,4,32,2329773,73000,797.87,0.12
"Size S3, Distance D1",Diesel,1964928.79,B20,14,32,2329773,73000,227.96,0.44
"Size S3, Distance D1",LNG,2477961.41,LNG,14,32,2329773,73000,227.96,0.44
"Size S3, Distance D2",BEV,1481470.63,Electricity,5,35,2524893,73000,691.75,0.14
"Size S3, Distance D2",Diesel,1836144.05,B20,13,35,2524893,73000,266.06,0.37
"Size S3, Distance D2",LNG,3000221.36,LNG,17,35,2524893,73000,203.46,0.49
"Size S3, Distance D3",Diesel,1004172.4,B20,7,16,1103927,73000,216.03,0.44
"Size S3, Distance D3",LNG,1595531.86,LNG,9,16,1103927,73000,168.03,0.56
"Size S3, Distance D4",LNG,709170.98,LNG,4,4,219181,73000,75.06,1.0
"Size S4, Distance D1",LNG,226679.24,LNG,1,1,15916,118000,13.49,1.0
"Size S4, Distance D2",LNG,1587094.45,LNG,7,7,794430,118000,96.18,1.0
"Size S4, Distance D3",LNG,458513.66,LNG,2,2,126715,118000,53.69,1.0
"Size S4, Distance D4",LNG,224401.83,LNG,1,1,1989,118000,1.69,1.0
