Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",Diesel,410960.89,B20,3,10,968137,102000,316.38,0.3
"Size S1, Distance D1",LNG,881572.44,LNG,7,10,968137,102000,135.59,0.7
"Size S1, Distance D2",BEV,1134039.08,Electricity,7,31,3114155,102000,436.16,0.23
"Size S1, Distance D2",Diesel,783690.22,B20,6,31,3114155,102000,508.85,0.19
"Size S1, Distance D2",LNG,2238649.43,LNG,18,31,3114155,102000,169.62,0.58
"Size S1, Distance D3",Diesel,1741741.25,B20,16,37,3731269,102000,228.63,0.43
"Size S1, Distance D3",LNG,2608019.81,LNG,21,37,3731269,102000,174.2,0.57
"Size S1, Distance D4",LNG,628927.98,LNG,5,5,469168,102000,91.99,1.0
"Size S2, Distance D1",LNG,1813669.59,LNG,11,11,1142178,106000,97.96,1.0
"Size S2, Distance D2",Diesel,845050.6,B20,6,15,1546703,106000,243.19,0.4
"Size S2, Distance D2",LNG,1497214.92,LNG,9,15,1546703,106000,162.13,0.6
"Size S2, Distance D3",LNG,1486255.71,LNG,9,9,902415,106000,94.59,1.0
"Size S2, Distance D4",LNG,338199.24,LNG,2,2,148036,106000,69.83,1.0
"Size S3, Distance D1",BEV,1333398.98,Electricity,5,34,2448472,73000,670.81,0.15
"Size S3, Distance D1",Diesel,2227987.74,B20,15,34,2448472,73000,223.6,0.44
"Size S3, Distance D1",LNG,2626956.48,LNG,14,34,2448472,73000,239.58,0.41
"Size S3, Distance D2",BEV,1339297.28,Electricity,5,37,2667924,73000,730.94,0.14
"Size S3, Distance D2",Diesel,2374280.92,B20,16,37,2667924,73000,228.42,0.43
"Size S3, Distance D2",LNG,2997145.97,LNG,16,37,2667924,73000,228.42,0.43
"Size S3, Distance D3",Diesel,496345.33,B20,1,16,1155329,73000,1582.64,0.06
"Size S3, Distance D3",LNG,2797640.64,LNG,15,16,1155329,73000,105.51,0.94
"Size S3, Distance D4",LNG,751849.04,LNG,4,4,233462,73000,79.95,1.0
"Size S4, Distance D1",LNG,240335.62,LNG,1,1,16863,118000,14.29,1.0
"Size S4, Distance D2",LNG,1918281.63,LNG,8,8,851953,118000,90.25,1.0
"Size S4, Distance D3",LNG,485823.02,LNG,2,2,133929,118000,56.75,1.0
"Size S4, Distance D4",LNG,238042.18,LNG,1,1,2066,118000,1.75,1.0
