Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1028236.63,LNG,9,9,877707,102000,95.61,1.0
"Size S1, Distance D2",Diesel,865367.23,B20,8,28,2836223,102000,347.58,0.29
"Size S1, Distance D2",LNG,2272574.79,LNG,20,28,2836223,102000,139.03,0.71
"Size S1, Distance D3",Diesel,1317901.25,B20,13,34,3446113,102000,259.89,0.38
"Size S1, Distance D3",LNG,2388718.64,LNG,21,34,3446113,102000,160.88,0.62
"Size S1, Distance D4",LNG,576831.46,LNG,5,5,439767,102000,86.23,1.0
"Size S2, Distance D1",LNG,1661466.09,LNG,11,11,1082065,106000,92.8,1.0
"Size S2, Distance D2",Diesel,434937.45,B20,2,14,1410584,106000,665.37,0.14
"Size S2, Distance D2",LNG,1814199.64,LNG,12,14,1410584,106000,110.89,0.86
"Size S2, Distance D3",LNG,1213488.33,LNG,8,8,821678,106000,96.9,1.0
"Size S2, Distance D4",LNG,310465.93,LNG,2,2,137231,106000,64.73,1.0
"Size S3, Distance D1",BEV,1006381.57,Electricity,3,31,2255136,73000,1029.74,0.1
"Size S3, Distance D1",Diesel,1393362.26,B20,10,31,2255136,73000,308.92,0.32
"Size S3, Distance D1",LNG,3079933.64,LNG,18,31,2255136,73000,171.62,0.58
"Size S3, Distance D2",Diesel,1654292.94,B20,12,35,2501227,73000,285.53,0.34
"Size S3, Distance D2",LNG,3927010.53,LNG,23,35,2501227,73000,148.97,0.66
"Size S3, Distance D3",Diesel,498917.56,B20,3,15,1053662,73000,481.12,0.2
"Size S3, Distance D3",LNG,2053994.68,LNG,12,15,1053662,73000,120.28,0.8
"Size S3, Distance D4",LNG,521885.82,LNG,3,3,218537,73000,99.79,1.0
"Size S4, Distance D1",LNG,220160.64,LNG,1,1,15615,118000,13.23,1.0
"Size S4, Distance D2",LNG,1541744.37,LNG,7,7,791079,118000,95.77,1.0
"Size S4, Distance D3",LNG,445404.9,LNG,2,2,123252,118000,52.23,1.0
"Size S4, Distance D4",LNG,217871.38,LNG,1,1,1927,118000,1.63,1.0
