Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1491206.12,LNG,11,11,1042251,102000,92.89,1.0
"Size S1, Distance D2",BEV,653084.86,Electricity,4,33,3310718,102000,811.45,0.12
"Size S1, Distance D2",Diesel,1458512.05,B20,12,33,3310718,102000,270.48,0.36
"Size S1, Distance D2",LNG,2311807.99,LNG,17,33,3310718,102000,190.93,0.52
"Size S1, Distance D3",BEV,1168356.91,Electricity,8,40,4061449,102000,497.73,0.2
"Size S1, Distance D3",Diesel,1691361.27,B20,14,40,4061449,102000,284.42,0.35
"Size S1, Distance D3",LNG,2450699.17,LNG,18,40,4061449,102000,221.21,0.45
"Size S1, Distance D4",LNG,818577.06,LNG,6,6,518651,102000,84.75,1.0
"Size S2, Distance D1",Diesel,540773.95,B20,1,12,1240402,106000,1170.19,0.08
"Size S2, Distance D1",LNG,1981432.04,LNG,11,12,1240402,106000,106.38,0.92
"Size S2, Distance D2",Diesel,695159.01,B20,4,16,1689196,106000,398.4,0.25
"Size S2, Distance D2",LNG,2164231.32,LNG,12,16,1689196,106000,132.8,0.75
"Size S2, Distance D3",Diesel,444751.74,B20,1,9,943472,106000,890.07,0.11
"Size S2, Distance D3",LNG,1446443.03,LNG,8,9,943472,106000,111.26,0.89
"Size S2, Distance D4",LNG,369355.08,LNG,2,2,161977,106000,76.4,1.0
"Size S3, Distance D1",BEV,1206275.02,Electricity,5,36,2619164,73000,717.58,0.14
"Size S3, Distance D1",Diesel,2128210.34,B20,13,36,2619164,73000,275.99,0.36
"Size S3, Distance D1",LNG,3674584.33,LNG,18,36,2619164,73000,199.33,0.5
"Size S3, Distance D2",BEV,2096372.68,Electricity,9,39,2814164,73000,428.34,0.23
"Size S3, Distance D2",Diesel,1678014.27,B20,10,39,2814164,73000,385.5,0.26
"Size S3, Distance D2",LNG,4079755.5,LNG,20,39,2814164,73000,192.75,0.51
"Size S3, Distance D3",Diesel,558204.48,B20,1,17,1234148,73000,1690.61,0.06
"Size S3, Distance D3",LNG,3258539.09,LNG,16,17,1234148,73000,105.66,0.94
"Size S3, Distance D4",LNG,820789.82,LNG,4,4,242813,73000,83.16,1.0
"Size S4, Distance D1",LNG,262557.59,LNG,1,1,18747,118000,15.89,1.0
"Size S4, Distance D2",LNG,2095660.74,LNG,8,8,941960,118000,99.78,1.0
"Size S4, Distance D3",LNG,529933.44,LNG,2,2,139696,118000,59.19,1.0
"Size S4, Distance D4",LNG,260093.05,LNG,1,1,2198,118000,1.86,1.0
