Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1628424.15,LNG,11,11,1080198,102000,96.27,1.0
"Size S1, Distance D2",BEV,1557499.1,Electricity,11,36,3606840,102000,321.47,0.31
"Size S1, Distance D2",Diesel,954600.63,B20,6,36,3606840,102000,589.35,0.17
"Size S1, Distance D2",LNG,2815699.53,LNG,19,36,3606840,102000,186.11,0.53
"Size S1, Distance D3",BEV,1836081.19,Electricity,13,44,4474763,102000,337.46,0.3
"Size S1, Distance D3",Diesel,1293086.41,B20,9,44,4474763,102000,487.45,0.2
"Size S1, Distance D3",LNG,3257875.43,LNG,22,44,4474763,102000,199.41,0.5
"Size S1, Distance D4",LNG,894445.82,LNG,6,6,575445,102000,94.03,1.0
"Size S2, Distance D1",Diesel,726194.07,B20,4,13,1344795,106000,317.17,0.31
"Size S2, Distance D1",LNG,1778418.25,LNG,9,13,1344795,106000,140.96,0.69
"Size S2, Distance D2",Diesel,672435.11,B20,3,18,1869435,106000,587.87,0.17
"Size S2, Distance D2",LNG,2945650.45,LNG,15,18,1869435,106000,117.57,0.83
"Size S2, Distance D3",LNG,1966914.96,LNG,10,10,1043936,106000,98.48,1.0
"Size S2, Distance D4",LNG,402817.3,LNG,2,2,169472,106000,79.94,1.0
"Size S3, Distance D1",BEV,1203570.93,Electricity,5,39,2832153,73000,775.93,0.13
"Size S3, Distance D1",Diesel,2835536.95,B20,16,39,2832153,73000,242.48,0.41
"Size S3, Distance D1",LNG,4014662.49,LNG,18,39,2832153,73000,215.54,0.46
"Size S3, Distance D2",BEV,2095387.59,Electricity,9,43,3096840,73000,471.36,0.21
"Size S3, Distance D2",Diesel,3010721.74,B20,17,43,3096840,73000,249.54,0.4
"Size S3, Distance D2",LNG,3796526.8,LNG,17,43,3096840,73000,249.54,0.4
"Size S3, Distance D3",Diesel,628812.47,B20,1,19,1320768,73000,1809.27,0.05
"Size S3, Distance D3",LNG,4002402.44,LNG,18,19,1320768,73000,100.52,0.95
"Size S3, Distance D4",LNG,897009.2,LNG,4,4,273053,73000,93.51,1.0
"Size S4, Distance D1",LNG,286897.81,LNG,1,1,20807,118000,17.63,1.0
"Size S4, Distance D2",LNG,2571866.04,LNG,9,9,1057133,118000,99.54,1.0
"Size S4, Distance D3",LNG,578412.64,LNG,2,2,146333,118000,62.01,1.0
"Size S4, Distance D4",LNG,284186.79,LNG,1,1,2280,118000,1.93,1.0
