Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,2160701.73,LNG,13,13,1254358,102000,94.6,1.0
"Size S1, Distance D2",BEV,1420274.7,Electricity,10,40,3994169,102000,391.59,0.25
"Size S1, Distance D2",Diesel,1679643.08,B20,11,40,3994169,102000,355.99,0.28
"Size S1, Distance D2",LNG,3167868.88,LNG,19,40,3994169,102000,206.1,0.47
"Size S1, Distance D3",BEV,1427975.92,Electricity,10,48,4847871,102000,475.28,0.21
"Size S1, Distance D3",Diesel,2492785.48,B20,17,48,4847871,102000,279.58,0.35
"Size S1, Distance D3",LNG,3501114.18,LNG,21,48,4847871,102000,226.32,0.44
"Size S1, Distance D4",LNG,1169159.07,LNG,7,7,642216,102000,89.95,1.0
"Size S2, Distance D1",Diesel,700322.51,B20,1,14,1410693,106000,1330.84,0.07
"Size S2, Distance D1",LNG,2871000.66,LNG,13,14,1410693,106000,102.37,0.93
"Size S2, Distance D2",Diesel,1164874.72,B20,6,21,2151804,106000,338.33,0.29
"Size S2, Distance D2",LNG,3315326.03,LNG,15,21,2151804,106000,135.33,0.71
"Size S2, Distance D3",LNG,2649985.21,LNG,12,12,1187938,106000,93.39,1.0
"Size S2, Distance D4",LNG,453057.44,LNG,2,2,190889,106000,90.04,1.0
"Size S3, Distance D1",BEV,2316840.55,Electricity,10,45,3229278,73000,442.37,0.22
"Size S3, Distance D1",Diesel,2630385.86,B20,13,45,3229278,73000,340.28,0.29
"Size S3, Distance D1",LNG,5511979.78,LNG,22,45,3229278,73000,201.08,0.49
"Size S3, Distance D2",BEV,3224235.95,Electricity,14,46,3297618,73000,322.66,0.3
"Size S3, Distance D2",Diesel,1715969.87,B20,8,46,3297618,73000,564.66,0.17
"Size S3, Distance D2",LNG,6009827.05,LNG,24,46,3297618,73000,188.22,0.52
"Size S3, Distance D3",BEV,522285.93,Electricity,2,20,1448550,73000,992.16,0.1
"Size S3, Distance D3",Diesel,738485.52,B20,1,20,1448550,73000,1984.32,0.05
"Size S3, Distance D3",LNG,4255232.63,LNG,17,20,1448550,73000,116.72,0.85
"Size S3, Distance D4",LNG,1256719.41,LNG,5,5,306910,73000,84.08,1.0
"Size S4, Distance D1",LNG,322828.75,LNG,1,1,23437,118000,19.86,1.0
"Size S4, Distance D2",LNG,3211204.26,LNG,10,10,1148555,118000,97.34,1.0
"Size S4, Distance D3",LNG,650491.53,LNG,2,2,161386,118000,68.38,1.0
"Size S4, Distance D4",LNG,319828.33,LNG,1,1,2446,118000,2.07,1.0
