Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1535802.51,LNG,11,11,1069740,102000,95.34,1.0
"Size S1, Distance D2",BEV,1156831.34,Electricity,8,34,3430934,102000,420.46,0.24
"Size S1, Distance D2",Diesel,1081582.04,B20,8,34,3430934,102000,420.46,0.24
"Size S1, Distance D2",LNG,2517804.79,LNG,18,34,3430934,102000,186.87,0.53
"Size S1, Distance D3",BEV,1433084.73,Electricity,10,42,4237026,102000,415.39,0.24
"Size S1, Distance D3",Diesel,1526885.35,B20,12,42,4237026,102000,346.16,0.29
"Size S1, Distance D3",LNG,2797570.57,LNG,20,42,4237026,102000,207.7,0.48
"Size S1, Distance D4",LNG,843270.27,LNG,6,6,542921,102000,88.71,1.0
"Size S2, Distance D1",Diesel,679208.04,B20,4,12,1257890,106000,296.67,0.33
"Size S2, Distance D1",LNG,1495072.33,LNG,8,12,1257890,106000,148.34,0.67
"Size S2, Distance D2",Diesel,625178.11,B20,3,17,1759215,106000,553.21,0.18
"Size S2, Distance D2",LNG,2594028.22,LNG,14,17,1759215,106000,118.55,0.82
"Size S2, Distance D3",Diesel,539444.83,B20,3,10,980430,106000,308.31,0.3
"Size S2, Distance D3",LNG,1308558.96,LNG,7,10,980430,106000,132.13,0.7
"Size S2, Distance D4",LNG,380084.29,LNG,2,2,163126,106000,76.95,1.0
"Size S3, Distance D1",BEV,2771354.71,Electricity,12,38,2708133,73000,309.15,0.32
"Size S3, Distance D1",Diesel,1129928.84,B20,6,38,2708133,73000,618.3,0.16
"Size S3, Distance D1",LNG,4200601.72,LNG,20,38,2708133,73000,185.49,0.53
"Size S3, Distance D2",BEV,1209362.95,Electricity,5,40,2863674,73000,784.57,0.12
"Size S3, Distance D2",Diesel,2197700.8,B20,13,40,2863674,73000,301.76,0.33
"Size S3, Distance D2",LNG,4617887.4,LNG,22,40,2863674,73000,178.31,0.55
"Size S3, Distance D3",Diesel,628574.37,B20,3,18,1254261,73000,572.72,0.17
"Size S3, Distance D3",LNG,3147801.3,LNG,15,18,1254261,73000,114.54,0.83
"Size S3, Distance D4",LNG,845370.56,LNG,4,4,250479,73000,85.78,1.0
"Size S4, Distance D1",LNG,270415.97,LNG,1,1,19298,118000,16.35,1.0
"Size S4, Distance D2",LNG,2423944.64,LNG,9,9,967461,118000,91.1,1.0
"Size S4, Distance D3",LNG,545584.37,LNG,2,2,141391,118000,59.91,1.0
"Size S4, Distance D4",LNG,267889.0,LNG,1,1,2230,118000,1.89,1.0
