Allocation,Vehicle,Cost ($),Fuel,no_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization,Demand_Fulfillment
"Size S1, Distance D1",LNG,1207802.79,LNG,10,10,923004,102000,90.49,1.0
"Size S1, Distance D2",BEV,1039949.95,Electricity,6,30,3023153,102000,493.98,0.2
"Size S1, Distance D2",Diesel,686115.02,B20,5,30,3023153,102000,592.78,0.17
"Size S1, Distance D2",LNG,2292223.28,LNG,19,30,3023153,102000,155.99,0.63
"Size S1, Distance D3",Diesel,1495484.08,B20,14,36,3581681,102000,250.82,0.39
"Size S1, Distance D3",LNG,2650722.93,LNG,22,36,3581681,102000,159.61,0.61
"Size S1, Distance D4",LNG,611469.35,LNG,5,5,467174,102000,91.6,1.0
"Size S2, Distance D1",Diesel,482710.97,B20,3,11,1114957,106000,350.62,0.27
"Size S2, Distance D1",LNG,1291763.02,LNG,8,11,1114957,106000,131.48,0.73
"Size S2, Distance D2",Diesel,931383.05,B20,7,14,1480077,106000,199.47,0.5
"Size S2, Distance D2",LNG,1144659.85,LNG,7,14,1480077,106000,199.47,0.5
"Size S2, Distance D3",Diesel,376405.35,B20,2,9,862851,106000,407.01,0.22
"Size S2, Distance D3",LNG,1130503.92,LNG,7,9,862851,106000,116.29,0.78
"Size S2, Distance D4",LNG,329102.67,LNG,2,2,146448,106000,69.08,1.0
"Size S3, Distance D1",BEV,1400981.3,Electricity,5,33,2381369,73000,652.43,0.15
"Size S3, Distance D1",Diesel,2162167.0,B20,15,33,2381369,73000,217.48,0.45
"Size S3, Distance D1",LNG,2373206.87,LNG,13,33,2381369,73000,250.93,0.39
"Size S3, Distance D2",BEV,2968456.63,Electricity,11,36,2591566,73000,322.74,0.31
"Size S3, Distance D2",Diesel,1354644.44,B20,9,36,2591566,73000,394.45,0.25
"Size S3, Distance D2",LNG,2910764.54,LNG,16,36,2591566,73000,221.88,0.44
"Size S3, Distance D3",Diesel,1035321.61,B20,7,16,1137494,73000,222.6,0.44
"Size S3, Distance D3",LNG,1642920.88,LNG,9,16,1137494,73000,173.13,0.56
"Size S3, Distance D4",LNG,730196.88,LNG,4,4,224937,73000,77.03,1.0
"Size S4, Distance D1",LNG,233451.51,LNG,1,1,16532,118000,14.01,1.0
"Size S4, Distance D2",LNG,1863023.59,LNG,8,8,829347,118000,87.85,1.0
"Size S4, Distance D3",LNG,472010.03,LNG,2,2,129765,118000,54.99,1.0
"Size S4, Distance D4",LNG,231122.1,LNG,1,1,2019,118000,1.71,1.0
