Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range
BEV_S1_2034,S1,D1,BEV,715071.01,0.0,Electricity,5,11,1080198,102000
LNG_S1_2034,S1,D1,LNG,906792.22,0.38470060965,LNG,6,11,1080198,102000
BEV_S1_2034,S1,D2,BEV,768750.68,0.0,Electricity,5,36,3606840,102000
Diesel_S1_2034,S1,D2,Diesel,2434796.28,0.6798821172799999,B20,19,36,3606840,102000
LNG_S1_2034,S1,D2,LNG,1804852.71,0.38470060965,LNG,12,36,3606840,102000
BEV_S1_2034,S1,D3,BEV,787190.11,0.0,Electricity,5,44,4474763,102000
Diesel_S1_2034,S1,D3,Diesel,3057227.29,0.6798821172799999,B20,24,44,4474763,102000
LNG_S1_2034,S1,D3,LNG,2244707.28,0.38470060965,LNG,15,44,4474763,102000
Diesel_S1_2034,S1,D4,Diesel,781223.21,0.6798821172799999,B20,6,6,575445,102000
Diesel_S2_2034,S2,D1,Diesel,1278682.63,0.68243073016,B20,8,13,1344795,106000
LNG_S2_2034,S2,D1,LNG,1015482.03,0.38726635773,LNG,5,13,1344795,106000
Diesel_S2_2034,S2,D2,Diesel,1590368.69,0.68243073016,B20,10,18,1869435,106000
LNG_S2_2034,S2,D2,LNG,1595717.34,0.38726635773,LNG,8,18,1869435,106000
Diesel_S2_2034,S2,D3,Diesel,1119552.31,0.68243073016,B20,7,10,1043936,106000
LNG_S2_2034,S2,D3,LNG,636858.08,0.38726635773,LNG,3,10,1043936,106000
LNG_S2_2034,S2,D4,LNG,402817.3,0.38726635773,LNG,2,2,169472,106000
BEV_S3_2034,S3,D1,BEV,1422442.33,0.0,Electricity,6,39,2832153,73000
Diesel_S3_2034,S3,D1,Diesel,3005353.2,0.68313190356,B20,17,39,2832153,73000
LNG_S3_2034,S3,D1,LNG,3574013.27,0.38273651955000004,LNG,16,39,2832153,73000
BEV_S3_2034,S3,D2,BEV,996623.05,0.0,Electricity,4,43,3096840,73000
Diesel_S3_2034,S3,D2,Diesel,3863478.6,0.68313190356,B20,22,43,3096840,73000
LNG_S3_2034,S3,D2,LNG,3796526.8,0.38273651955000004,LNG,17,43,3096840,73000
Diesel_S3_2034,S3,D3,Diesel,1948871.61,0.68313190356,B20,11,19,1320768,73000
LNG_S3_2034,S3,D3,LNG,1798189.9,0.38273651955000004,LNG,8,19,1320768,73000
BEV_S3_2034,S3,D4,BEV,471958.31,0.0,Electricity,2,4,273053,73000
LNG_S3_2034,S3,D4,LNG,463455.52,0.38273651955000004,LNG,2,4,273053,73000
Diesel_S4_2034,S4,D1,Diesel,228997.87,0.67016019566,B20,1,1,20807,118000
BEV_S4_2034,S4,D2,BEV,915519.77,0.0,Electricity,3,9,1057133,118000
LNG_S4_2034,S4,D2,LNG,1728900.36,0.38356442082000003,LNG,6,9,1057133,118000
Diesel_S4_2034,S4,D3,Diesel,468668.57,0.67016019566,B20,2,2,146333,118000
Diesel_S4_2034,S4,D4,Diesel,222730.99,0.67016019566,B20,1,1,2280,118000
