Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,No_of_vehicles,Max Vehicles
LNG_S1_2030,2032,S1,D1,1069740,LNG_S1_2030,LNG,2030,0,102000,D4,LNG,0.154735,0.38470060965,8609.09,6149.35,0.14849175222,22703.93146605,3,11
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,40214.791394880005,5,11
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,22974.77872644,3,11
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,22974.77872644,6,6
LNG_S2_2031,2032,S2,D1,1257890,LNG_S2_2031,LNG,2031,0,106000,D4,LNG,0.155767,0.38726635773,10108.8,5054.4,0.14948211308399997,26047.027730184,5,12
Diesel_S2_2032,2032,S2,D1,1257890,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,43149.08782608,4,12
LNG_S2_2032,2032,S2,D1,1257890,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,26257.143986903997,3,12
Diesel_S2_2031,2032,S2,D2,1759215,Diesel_S2_2031,Diesel,2031,0,106000,D4,B20,0.223852,0.68243073016,7904.639999999999,3952.3199999999997,0.33025780968,42183.27136456,4,17
BEV_S2_2032,2032,S2,D2,1759215,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,23424.71960812,2,17
Diesel_S2_2032,2032,S2,D2,1759215,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,43149.08782608,6,17
LNG_S2_2032,2032,S2,D2,1759215,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,26257.143986903997,5,17
LNG_S2_2031,2032,S2,D3,980430,LNG_S2_2031,LNG,2031,0,106000,D4,LNG,0.155767,0.38726635773,10108.8,5054.4,0.14948211308399997,26047.027730184,4,10
Diesel_S2_2032,2032,S2,D3,980430,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,43149.08782608,3,10
LNG_S2_2032,2032,S2,D3,980430,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,26257.143986903997,3,10
BEV_S2_2032,2032,S2,D4,163126,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,23424.71960812,2,2
Diesel_S4_2032,2032,S4,D1,19298,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,50112.268809240006,1,1
Diesel_S4_2032,2032,S4,D2,967461,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,50112.268809240006,5,9
LNG_S4_2032,2032,S4,D2,967461,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,32615.116568208,4,9
Diesel_S4_2032,2032,S4,D3,141391,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,50112.268809240006,2,2
Diesel_S4_2032,2032,S4,D4,2230,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,50112.268809240006,1,1
BEV_S3_2029,2032,S3,D1,2708133,BEV_S3_2029,BEV,2029,0,73000,D3,Electricity,0.859516,0.0,18176.8,15904.7,0.114124815448,23050.072709456,3,38
BEV_S3_2031,2032,S3,D1,2708133,BEV_S3_2031,BEV,2031,0,73000,D3,Electricity,0.859516,0.0,12950.939999999999,6475.469999999999,0.114124815448,21629.46875442,3,38
Diesel_S3_2031,2032,S3,D1,2708133,Diesel_S3_2031,Diesel,2031,0,73000,D4,B20,0.224082,0.68313190356,8982.539999999999,4491.2699999999995,0.33059713788,32613.777315180003,7,38
LNG_S3_2031,2032,S3,D1,2708133,LNG_S3_2031,LNG,2031,0,73000,D4,LNG,0.153945,0.38273651955,11487.3,5743.65,0.14773362714,22335.23701662,4,38
Diesel_S3_2032,2032,S3,D1,2708133,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,33385.591065240005,14,38
LNG_S3_2032,2032,S3,D1,2708133,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,22616.43478122,7,38
Diesel_S3_2032,2032,S3,D3,1254261,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,33385.591065240005,9,18
