Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,No_of_vehicles,Max Vehicles
LNG_S1_2030,2031,S1,D1,1042251,LNG_S1_2030,LNG,2030,0,102000,D4,LNG,0.154735,0.38470060965,7379.219999999999,3689.6099999999997,0.14936445762000003,22703.93146605,6,11
Diesel_S1_2031,2031,S1,D1,1042251,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,39322.41161616,2,11
LNG_S1_2031,2031,S1,D1,1042251,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,22835.794677240003,3,11
Diesel_S1_2031,2031,S1,D4,518651,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,39322.41161616,4,6
LNG_S1_2031,2031,S1,D4,518651,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,22835.794677240003,2,6
LNG_S2_2030,2031,S2,D1,1240402,LNG_S2_2030,LNG,2030,0,106000,D4,LNG,0.155767,0.38726635773,9814.38,4907.19,0.15036063896399998,25846.27634643,3,12
Diesel_S2_2031,2031,S2,D1,1240402,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,42183.271364559994,6,12
LNG_S2_2031,2031,S2,D1,1240402,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,26047.027730183996,3,12
BEV_S2_2030,2031,S2,D2,1689196,BEV_S2_2030,BEV,2030,0,106000,D3,Electricity,0.85459,0.0,11396.82,5698.41,0.11820261584999998,24448.80044282,5,16
Diesel_S2_2031,2031,S2,D2,1689196,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,42183.271364559994,5,16
LNG_S2_2031,2031,S2,D2,1689196,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,26047.027730183996,6,16
LNG_S2_2030,2031,S2,D3,943472,LNG_S2_2030,LNG,2030,0,106000,D4,LNG,0.155767,0.38726635773,9814.38,4907.19,0.15036063896399998,25846.27634643,3,9
Diesel_S2_2031,2031,S2,D3,943472,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,42183.271364559994,3,9
LNG_S2_2031,2031,S2,D3,943472,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.15036063896399998,26047.027730183996,3,9
Diesel_S2_2031,2031,S2,D4,161977,Diesel_S2_2031,Diesel,2031,131744,106000,D4,B20,0.223852,0.68243073016,6587.200000000001,1317.44,0.32338331476,42183.271364559994,2,2
Diesel_S4_2031,2031,S4,D1,18747,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,48970.72412318001,1,1
Diesel_S4_2031,2031,S4,D2,941960,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,48970.72412318001,4,8
LNG_S4_2031,2031,S4,D2,941960,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082000003,12253.1,2450.62,0.148923319176,32276.671662768,4,8
Diesel_S4_2031,2031,S4,D3,139696,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,48970.72412318001,2,2
Diesel_S4_2031,2031,S4,D4,2198,Diesel_S4_2031,Diesel,2031,191627,118000,D4,B20,0.219827,0.67016019566,9581.35,1916.27,0.31756867901,48970.72412318001,1,1
BEV_S3_2029,2031,S3,D1,2619164,BEV_S3_2029,BEV,2029,0,73000,D3,Electricity,0.859516,0.0,15904.7,11360.5,0.11888395553999999,23050.072709456,3,36
BEV_S3_2030,2031,S3,D1,2619164,BEV_S3_2030,BEV,2030,0,73000,D3,Electricity,0.859516,0.0,12950.939999999999,6475.469999999999,0.11888395553999999,21991.379999444,6,36
BEV_S3_2031,2031,S3,D1,2619164,BEV_S3_2031,BEV,2031,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.11888395553999999,21629.46875442,7,36
Diesel_S3_2031,2031,S3,D1,2619164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,32613.777315180003,6,36
LNG_S3_2031,2031,S3,D1,2619164,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,22335.237016619998,14,36
Diesel_S3_2030,2031,S3,D3,1234148,Diesel_S3_2030,Diesel,2030,0,73000,D4,B20,0.224082,0.68313190356,8720.88,4360.44,0.32371557966000003,31860.0690963,4,17
Diesel_S3_2031,2031,S3,D3,1234148,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,32613.777315180003,8,17
LNG_S3_2031,2031,S3,D3,1234148,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,22335.237016619998,5,17
Diesel_S3_2031,2031,S3,D4,242813,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,32613.777315180003,2,4
LNG_S3_2031,2031,S3,D4,242813,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,22335.237016619998,2,4
Diesel_S3_2030,2031,S3,D2,2814164,Diesel_S3_2030,Diesel,2030,0,73000,D4,B20,0.224082,0.68313190356,8720.88,4360.44,0.32371557966000003,31860.0690963,7,39
LNG_S3_2030,2031,S3,D2,2814164,LNG_S3_2030,LNG,2030,0,73000,D4,LNG,0.153945,0.38273651955,11152.68,5576.34,0.14860187694000002,22064.370105525,5,39
BEV_S3_2031,2031,S3,D2,2814164,BEV_S3_2031,BEV,2031,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.11888395553999999,21629.46875442,2,39
Diesel_S3_2031,2031,S3,D2,2814164,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966000003,32613.777315180003,15,39
LNG_S3_2031,2031,S3,D2,2814164,LNG_S3_2031,LNG,2031,191455,73000,D4,LNG,0.153945,0.38273651955000004,9572.75,1914.55,0.14860187694000002,22335.237016619998,10,39
BEV_S1_2031,2031,S1,D2,3310718,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,20083.46824893,4,33
Diesel_S1_2031,2031,S1,D2,3310718,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,39322.41161616,19,33
LNG_S1_2031,2031,S1,D2,3310718,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,22835.794677240003,10,33
BEV_S1_2031,2031,S1,D3,4061449,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,20083.46824893,4,40
Diesel_S1_2031,2031,S1,D3,4061449,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,39322.41161616,22,40
LNG_S1_2031,2031,S1,D3,4061449,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,22835.794677240003,14,40
