Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,No_of_vehicles,Max Vehicles
Diesel_S1_2023,2023,S1,D1,869181,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,32871.21905088,5,9
LNG_S1_2023,2023,S1,D1,869181,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,23077.879516679997,4,9
Diesel_S1_2023,2023,S1,D2,2597094,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,32871.21905088,15,26
LNG_S1_2023,2023,S1,D2,2597094,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,23077.879516679997,11,26
Diesel_S1_2023,2023,S1,D3,3292011,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,32871.21905088,16,33
LNG_S1_2023,2023,S1,D3,3292011,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,23077.879516679997,17,33
Diesel_S1_2023,2023,S1,D4,414315,Diesel_S1_2023,Diesel,2023,85000,102000,D4,B20,0.223016,0.6798821172799999,4250.0,850.0,0.27226685343999996,32871.21905088,3,5
LNG_S1_2023,2023,S1,D4,414315,LNG_S1_2023,LNG,2023,100000,102000,D4,LNG,0.165507,0.41148184833,5000.0,1000.0,0.16743019133999998,23077.879516679997,2,5
Diesel_S2_2023,2023,S2,D1,995694,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,35208.47242208,6,10
LNG_S2_2023,2023,S2,D1,995694,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,25698.86218108,4,10
Diesel_S2_2023,2023,S2,D2,1383196,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,35208.47242208,7,14
LNG_S2_2023,2023,S2,D2,1383196,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,25698.86218108,7,14
Diesel_S2_2023,2023,S2,D3,778008,Diesel_S2_2023,Diesel,2023,104000,106000,D4,B20,0.223852,0.68243073016,5200.0,1040.0,0.27328747568,35208.47242208,4,8
LNG_S2_2023,2023,S2,D3,778008,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,25698.86218108,4,8
LNG_S2_2023,2023,S2,D4,133677,LNG_S2_2023,LNG,2023,133000,106000,D4,LNG,0.165239,0.41081554941000004,6650.0,1330.0,0.16715907718,25698.86218108,2,2
Diesel_S4_2023,2023,S4,D1,14576,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,40744.40417224,1,1
Diesel_S4_2023,2023,S4,D2,754717,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,40744.40417224,4,7
LNG_S4_2023,2023,S4,D2,754717,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,31574.93141784,3,7
LNG_S4_2023,2023,S4,D3,118899,LNG_S4_2023,LNG,2023,193454,118000,D4,LNG,0.167274,0.41587494606000003,9672.7,1934.54,0.16921772388,31574.93141784,2,2
Diesel_S4_2023,2023,S4,D4,1809,Diesel_S4_2023,Diesel,2023,151272,118000,D4,B20,0.219827,0.67016019566,7563.6,1512.72,0.26837359468,40744.40417224,1,1
BEV_S3_2023,2023,S3,D1,2183475,BEV_S3_2023,BEV,2023,309090,73000,D1,Electricity,0.898003,0.0,15454.5,3090.9,0.17222889337299999,31118.109216229,1,30
Diesel_S3_2023,2023,S3,D1,2183475,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,27061.34362824,14,30
LNG_S3_2023,2023,S3,D1,2183475,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,21240.05175798,15,30
Diesel_S3_2023,2023,S3,D2,2431901,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,27061.34362824,18,34
LNG_S3_2023,2023,S3,D2,2431901,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,21240.05175798,16,34
Diesel_S3_2023,2023,S3,D3,1002466,Diesel_S3_2023,Diesel,2023,118181,73000,D4,B20,0.224082,0.68313190356,5909.05,1181.81,0.27356826887999997,27061.34362824,8,14
LNG_S3_2023,2023,S3,D3,1002466,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,21240.05175798,6,14
LNG_S3_2023,2023,S3,D4,205426,LNG_S3_2023,LNG,2023,151136,73000,D4,LNG,0.164823,0.40978129437,7556.8,1511.3600000000001,0.16673824326,21240.05175798,3,3
