Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,No_of_vehicles,Max Vehicles
LNG_S1_2028,2029,S1,D1,1009629,LNG_S1_2028,LNG,2028,0,102000,D4,LNG,0.157457,0.39146801883,6955.62,3477.81,0.153783685647,22733.743860354,4,10
Diesel_S1_2029,2029,S1,D1,1009629,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,37597.3850832,2,10
LNG_S1_2029,2029,S1,D1,1009629,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,22579.069092870002,4,10
Diesel_S1_2029,2029,S1,D4,484671,Diesel_S1_2029,Diesel,2029,101494,102000,D4,B20,0.223016,0.6798821172799999,5074.700000000001,1014.94,0.3088994616,37597.3850832,2,5
LNG_S1_2029,2029,S1,D4,484671,LNG_S1_2029,LNG,2029,119405,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,22579.069092870002,3,5
Diesel_S2_2029,2029,S2,D1,1173616,Diesel_S2_2029,Diesel,2029,124181,106000,D4,B20,0.223852,0.68243073016,6209.05,1241.81,0.31005740519999997,40316.9449512,7,12
LNG_S2_2029,2029,S2,D1,1173616,LNG_S2_2029,LNG,2029,158808,106000,D4,LNG,0.155767,0.38726635773,7940.400000000001,1588.08,0.15213311165699997,25654.589835641997,5,12
Diesel_S2_2027,2029,S2,D2,1608555,Diesel_S2_2027,Diesel,2027,0,106000,D4,B20,0.223852,0.68243073016,8193.640000000001,5852.6,0.31005740519999997,38535.03018536,3,16
Diesel_S2_2029,2029,S2,D2,1608555,Diesel_S2_2029,Diesel,2029,124181,106000,D4,B20,0.223852,0.68243073016,6209.05,1241.81,0.31005740519999997,40316.9449512,7,16
LNG_S2_2029,2029,S2,D2,1608555,LNG_S2_2029,LNG,2029,158808,106000,D4,LNG,0.155767,0.38726635773,7940.400000000001,1588.08,0.15213311165699997,25654.589835641997,6,16
Diesel_S2_2029,2029,S2,D3,916617,Diesel_S2_2029,Diesel,2029,124181,106000,D4,B20,0.223852,0.68243073016,6209.05,1241.81,0.31005740519999997,40316.9449512,5,9
LNG_S2_2029,2029,S2,D3,916617,LNG_S2_2029,LNG,2029,158808,106000,D4,LNG,0.155767,0.38726635773,7940.400000000001,1588.08,0.15213311165699997,25654.589835641997,4,9
LNG_S2_2029,2029,S2,D4,148322,LNG_S2_2029,LNG,2029,158808,106000,D4,LNG,0.155767,0.38726635773,7940.400000000001,1588.08,0.15213311165699997,25654.589835641997,2,2
Diesel_S4_2029,2029,S4,D1,17544,Diesel_S4_2029,Diesel,2029,180627,118000,D4,B20,0.219827,0.67016019566,9031.35,1806.27,0.3044823777,46766.5405686,1,1
Diesel_S4_2029,2029,S4,D2,885863,Diesel_S4_2029,Diesel,2029,180627,118000,D4,B20,0.219827,0.67016019566,9031.35,1806.27,0.3044823777,46766.5405686,5,8
LNG_S4_2029,2029,S4,D2,885863,LNG_S4_2029,LNG,2029,230994,118000,D4,LNG,0.154278,0.38356442082000003,11549.7,2309.94,0.15067884853799998,31639.744127484002,3,8
Diesel_S4_2029,2029,S4,D3,135803,Diesel_S4_2029,Diesel,2029,180627,118000,D4,B20,0.219827,0.67016019566,9031.35,1806.27,0.3044823777,46766.5405686,2,2
Diesel_S4_2029,2029,S4,D4,2113,Diesel_S4_2029,Diesel,2029,180627,118000,D4,B20,0.219827,0.67016019566,9031.35,1806.27,0.3044823777,46766.5405686,1,1
BEV_S3_2026,2029,S3,D1,2497153,BEV_S3_2026,BEV,2026,0,73000,D2,Electricity,0.898003,0.0,21200.48,18550.420000000002,0.134783066276,27022.682120854,3,35
Diesel_S3_2026,2029,S3,D1,2497153,Diesel_S3_2026,Diesel,2026,0,73000,D4,B20,0.224082,0.68313190356,10331.2,9039.800000000001,0.3103759782,29019.997834680005,6,35
LNG_S3_2027,2029,S3,D1,2497153,LNG_S3_2027,LNG,2027,0,73000,D4,LNG,0.161089,0.40049786091,11907.35,8505.25,0.157330954719,21826.846783448,4,35
LNG_S3_2028,2029,S3,D1,2497153,LNG_S3_2028,LNG,2028,0,73000,D4,LNG,0.156388,0.38881028172,10512.48,5256.24,0.15273962434799998,21728.002277164,8,35
BEV_S3_2029,2029,S3,D1,2497153,BEV_S3_2029,BEV,2029,227210,73000,D3,Electricity,0.859516,0.0,11360.5,2272.1,0.129006475472,23050.072709456,3,35
LNG_S3_2029,2029,S3,D1,2497153,LNG_S3_2029,LNG,2029,180464,73000,D4,LNG,0.153945,0.38273651955000004,9023.2,1804.64,0.150353617095,21803.654047935,11,35
LNG_S3_2027,2029,S3,D3,1175528,LNG_S3_2027,LNG,2027,0,73000,D4,LNG,0.161089,0.40049786091,11907.35,8505.25,0.157330954719,21826.846783448,3,17
Diesel_S3_2029,2029,S3,D3,1175528,Diesel_S3_2029,Diesel,2029,141115,73000,D4,B20,0.224082,0.68313190356,7055.75,1411.15,0.3103759782,31124.346408600002,10,17
LNG_S3_2029,2029,S3,D3,1175528,LNG_S3_2029,LNG,2029,180464,73000,D4,LNG,0.153945,0.38273651955000004,9023.2,1804.64,0.150353617095,21803.654047935,4,17
Diesel_S3_2029,2029,S3,D4,234155,Diesel_S3_2029,Diesel,2029,141115,73000,D4,B20,0.224082,0.68313190356,7055.75,1411.15,0.3103759782,31124.346408600002,3,4
LNG_S3_2029,2029,S3,D4,234155,LNG_S3_2029,LNG,2029,180464,73000,D4,LNG,0.153945,0.38273651955000004,9023.2,1804.64,0.150353617095,21803.654047935,1,4
BEV_S1_2028,2029,S1,D2,3188349,BEV_S1_2028,BEV,2028,0,102000,D2,Electricity,0.868161,0.0,8681.82,4340.91,0.130304020812,22527.168284544,3,32
Diesel_S1_2028,2029,S1,D2,3188349,Diesel_S1_2028,Diesel,2028,0,102000,D4,B20,0.223016,0.6798821172799999,5912.28,2956.14,0.3088994616,36763.98337632,4,32
BEV_S1_2029,2029,S1,D2,3188349,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.6200000000001,0.130304020812,21538.730122824,3,32
