Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range
BEV_S1_2038,S1,D1,BEV,452991.46,0.0,Electricity,3,13,1254358,102000
Diesel_S1_2038,S1,D1,Diesel,1049499.82,0.6798821172799999,B20,7,13,1254358,102000
LNG_S1_2038,S1,D1,LNG,555373.63,0.38470060965,LNG,3,13,1254358,102000
BEV_S1_2038,S1,D2,BEV,1420274.7,0.0,Electricity,10,40,3994169,102000
Diesel_S1_2038,S1,D2,Diesel,2204988.42,0.6798821172799999,B20,15,40,3994169,102000
LNG_S1_2038,S1,D2,LNG,2515330.49,0.38470060965,LNG,15,40,3994169,102000
BEV_S1_2038,S1,D3,BEV,1031445.41,0.0,Electricity,7,48,4847871,102000
Diesel_S1_2038,S1,D3,Diesel,2897935.7,0.6798821172799999,B20,20,48,4847871,102000
LNG_S1_2038,S1,D3,LNG,3501114.18,0.38470060965,LNG,21,48,4847871,102000
Diesel_S1_2038,S1,D4,Diesel,621423.82,0.6798821172799999,B20,4,7,642216,102000
LNG_S1_2038,S1,D4,LNG,526121.03,0.38470060965,LNG,3,7,642216,102000
BEV_S2_2038,S2,D1,BEV,465322.12,0.0,Electricity,2,14,1410693,106000
Diesel_S2_2038,S2,D1,Diesel,1277758.16,0.68243073016,B20,7,14,1410693,106000
LNG_S2_2038,S2,D1,LNG,1138925.37,0.38726635773,LNG,5,14,1410693,106000
Diesel_S2_2038,S2,D2,Diesel,2462085.51,0.68243073016,B20,14,21,2151804,106000
LNG_S2_2038,S2,D2,LNG,1581854.21,0.38726635773,LNG,7,21,2151804,106000
Diesel_S2_2038,S2,D3,Diesel,1265834.72,0.68243073016,B20,7,12,1187938,106000
LNG_S2_2038,S2,D3,LNG,1132495.86,0.38726635773,LNG,5,12,1187938,106000
LNG_S2_2038,S2,D4,LNG,453057.44,0.38726635773,LNG,2,2,190889,106000
BEV_S3_2038,S3,D1,BEV,2091245.18,0.0,Electricity,9,45,3229278,73000
Diesel_S3_2038,S3,D1,Diesel,3963968.7,0.68313190356,B20,20,45,3229278,73000
LNG_S3_2038,S3,D1,LNG,4022273.37,0.38273651955000004,LNG,16,45,3229278,73000
BEV_S3_2038,S3,D2,BEV,784571.5,0.0,Electricity,3,46,3297618,73000
Diesel_S3_2038,S3,D2,Diesel,5122001.21,0.68313190356,B20,26,46,3297618,73000
LNG_S3_2038,S3,D2,LNG,4270746.29,0.38273651955000004,LNG,17,46,3297618,73000
Diesel_S3_2038,S3,D3,Diesel,2387320.82,0.68313190356,B20,12,20,1448550,73000
LNG_S3_2038,S3,D3,LNG,2022569.02,0.38273651955000004,LNG,8,20,1448550,73000
BEV_S3_2038,S3,D4,BEV,471305.17,0.0,Electricity,2,5,306910,73000
LNG_S3_2038,S3,D4,LNG,763370.21,0.38273651955000004,LNG,3,5,306910,73000
BEV_S4_2038,S4,D1,BEV,294949.94,0.0,Electricity,1,1,23437,118000
Diesel_S4_2038,S4,D2,Diesel,1809096.81,0.67016019566,B20,7,10,1148555,118000
LNG_S4_2038,S4,D2,LNG,1013160.31,0.38356442082000003,LNG,3,10,1148555,118000
Diesel_S4_2038,S4,D3,Diesel,529326.47,0.67016019566,B20,2,2,161386,118000
BEV_S4_2038,S4,D4,BEV,293081.9,0.0,Electricity,1,1,2446,118000
