Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km
BEV_S1_2036,2036,S1,D1,1143702,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877
Diesel_S1_2036,2036,S1,D1,1143702,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792
Diesel_S1_2036,2036,S1,D1,1143702,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.35146206519999995
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943
BEV_S1_2036,2036,S1,D2,3821393,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877
Diesel_S1_2036,2036,S1,D2,3821393,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792
Diesel_S1_2036,2036,S1,D2,3821393,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.35146206519999995
LNG_S1_2036,2036,S1,D2,3821393,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435
LNG_S1_2036,2036,S1,D2,3821393,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943
BEV_S1_2036,2036,S1,D3,4599217,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877
Diesel_S1_2036,2036,S1,D3,4599217,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792
Diesel_S1_2036,2036,S1,D3,4599217,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.35146206519999995
LNG_S1_2036,2036,S1,D3,4599217,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435
LNG_S1_2036,2036,S1,D3,4599217,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943
BEV_S1_2036,2036,S1,D4,602557,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877
Diesel_S1_2036,2036,S1,D4,602557,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792
Diesel_S1_2036,2036,S1,D4,602557,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.35146206519999995
LNG_S1_2036,2036,S1,D4,602557,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435
LNG_S1_2036,2036,S1,D4,602557,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943
BEV_S2_2036,2036,S2,D1,1388729,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.0,9497.35,1899.47,0.09636100463
Diesel_S2_2036,2036,S2,D1,1388729,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.68243073016,7636.35,1527.27,0.35925335924
Diesel_S2_2036,2036,S2,D1,1388729,Diesel_S2_2036,Diesel,2036,152727,106000,D4,HVO,0.109155607648,7636.35,1527.27,0.3527795594
LNG_S2_2036,2036,S2,D1,1388729,LNG_S2_2036,LNG,2036,195314,106000,D4,LNG,0.38726635773,9765.7,1953.14,0.146019256907
LNG_S2_2036,2036,S2,D1,1388729,LNG_S2_2036,LNG,2036,195314,106000,D4,BioLNG,0.05867280412100001,9765.7,1953.14,0.15628396317
BEV_S2_2036,2036,S2,D2,1982301,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.0,9497.35,1899.47,0.09636100463
Diesel_S2_2036,2036,S2,D2,1982301,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.68243073016,7636.35,1527.27,0.35925335924
Diesel_S2_2036,2036,S2,D2,1982301,Diesel_S2_2036,Diesel,2036,152727,106000,D4,HVO,0.109155607648,7636.35,1527.27,0.3527795594
LNG_S2_2036,2036,S2,D2,1982301,LNG_S2_2036,LNG,2036,195314,106000,D4,LNG,0.38726635773,9765.7,1953.14,0.146019256907
LNG_S2_2036,2036,S2,D2,1982301,LNG_S2_2036,LNG,2036,195314,106000,D4,BioLNG,0.05867280412100001,9765.7,1953.14,0.15628396317
BEV_S2_2036,2036,S2,D3,1103197,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.0,9497.35,1899.47,0.09636100463
Diesel_S2_2036,2036,S2,D3,1103197,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.68243073016,7636.35,1527.27,0.35925335924
Diesel_S2_2036,2036,S2,D3,1103197,Diesel_S2_2036,Diesel,2036,152727,106000,D4,HVO,0.109155607648,7636.35,1527.27,0.3527795594
LNG_S2_2036,2036,S2,D3,1103197,LNG_S2_2036,LNG,2036,195314,106000,D4,LNG,0.38726635773,9765.7,1953.14,0.146019256907
LNG_S2_2036,2036,S2,D3,1103197,LNG_S2_2036,LNG,2036,195314,106000,D4,BioLNG,0.05867280412100001,9765.7,1953.14,0.15628396317
BEV_S2_2036,2036,S2,D4,180140,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.0,9497.35,1899.47,0.09636100463
Diesel_S2_2036,2036,S2,D4,180140,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.68243073016,7636.35,1527.27,0.35925335924
Diesel_S2_2036,2036,S2,D4,180140,Diesel_S2_2036,Diesel,2036,152727,106000,D4,HVO,0.109155607648,7636.35,1527.27,0.3527795594
LNG_S2_2036,2036,S2,D4,180140,LNG_S2_2036,LNG,2036,195314,106000,D4,LNG,0.38726635773,9765.7,1953.14,0.146019256907
LNG_S2_2036,2036,S2,D4,180140,LNG_S2_2036,LNG,2036,195314,106000,D4,BioLNG,0.05867280412100001,9765.7,1953.14,0.15628396317
BEV_S4_2036,2036,S4,D1,22740,BEV_S4_2036,BEV,2036,276287,118000,D4,Electricity,0.0,13814.35,2762.87,0.09657050713599999
Diesel_S4_2036,2036,S4,D1,22740,Diesel_S4_2036,Diesel,2036,222149,118000,D4,B20,0.67016019566,11107.45,2221.4900000000002,0.35279375748999997
Diesel_S4_2036,2036,S4,D1,22740,Diesel_S4_2036,Diesel,2036,222149,118000,D4,HVO,0.107192921048,11107.45,2221.4900000000002,0.34643636065
LNG_S4_2036,2036,S4,D1,22740,LNG_S4_2036,LNG,2036,284094,118000,D4,LNG,0.38356442082000003,14204.7,2840.94,0.14462343703799999
