,Allocation,Year,Size,Distance_x,Demand (km),ID,Vehicle,Cost ($),Yearly range (km),Distance_y,Operating Year,Fuel,carbon_emissions,insurance_cost,maintenance_cost,fuel_costs
0,BEV_S1_2023,2032,S1,D1,1069740,BEV_S1_2023,BEV,187000,102000,D1,2032,Electricity,0.0,26180.000000000004,35530.0,12094.799272308
1,BEV_S1_2024,2032,S1,D1,1069740,BEV_S1_2024,BEV,177650,102000,D1,2032,Electricity,0.0,23094.5,30200.500000000004,12094.799272308
2,BEV_S1_2025,2032,S1,D1,1069740,BEV_S1_2025,BEV,168767,102000,D1,2032,Electricity,0.0,20252.04,25315.05,12094.799272308
3,BEV_S1_2026,2032,S1,D1,1069740,BEV_S1_2026,BEV,160329,102000,D2,2032,Electricity,0.0,17636.19,20842.77,12094.799272308
4,BEV_S1_2027,2032,S1,D1,1069740,BEV_S1_2027,BEV,152312,102000,D2,2032,Electricity,0.0,15231.2,16754.32,11757.813488316
5,BEV_S1_2028,2032,S1,D1,1069740,BEV_S1_2028,BEV,144697,102000,D2,2032,Electricity,0.0,13022.73,13022.73,11757.813488316
6,BEV_S1_2029,2032,S1,D1,1069740,BEV_S1_2029,BEV,137462,102000,D3,2032,Electricity,0.0,10996.960000000001,9622.34,11757.813488316
7,BEV_S1_2030,2032,S1,D1,1069740,BEV_S1_2030,BEV,130589,102000,D3,2032,Electricity,0.0,9141.230000000001,6529.450000000001,11757.813488316
8,BEV_S1_2031,2032,S1,D1,1069740,BEV_S1_2031,BEV,130589,102000,D3,2032,Electricity,0.0,7835.34,3917.67,11757.813488316
9,BEV_S1_2032,2032,S1,D1,1069740,BEV_S1_2032,BEV,130589,102000,D4,2032,Electricity,0.0,6529.450000000001,1305.89,11757.813488316
10,Diesel_S1_2023,2032,S1,D1,1069740,Diesel_S1_2023,Diesel,85000,102000,D4,2032,B20,69347.97596256,11900.000000000002,16150.0,33560.49139488
11,Diesel_S1_2023,2032,S1,D1,1069740,Diesel_S1_2023,Diesel,85000,102000,D4,2032,HVO,11092.291306368,11900.000000000002,16150.0,37436.915364
12,Diesel_S1_2024,2032,S1,D1,1069740,Diesel_S1_2024,Diesel,87550,102000,D4,2032,B20,69347.97596256,11381.5,14883.500000000002,33560.49139488
13,Diesel_S1_2024,2032,S1,D1,1069740,Diesel_S1_2024,Diesel,87550,102000,D4,2032,HVO,11092.291306368,11381.5,14883.500000000002,37436.915364
14,Diesel_S1_2025,2032,S1,D1,1069740,Diesel_S1_2025,Diesel,90176,102000,D4,2032,B20,69347.97596256,10821.119999999999,13526.4,33560.49139488
15,Diesel_S1_2025,2032,S1,D1,1069740,Diesel_S1_2025,Diesel,90176,102000,D4,2032,HVO,11092.291306368,10821.119999999999,13526.4,37436.915364
16,Diesel_S1_2026,2032,S1,D1,1069740,Diesel_S1_2026,Diesel,92881,102000,D4,2032,B20,69347.97596256,10216.91,12074.53,33560.49139488
17,Diesel_S1_2026,2032,S1,D1,1069740,Diesel_S1_2026,Diesel,92881,102000,D4,2032,HVO,11092.291306368,10216.91,12074.53,37436.915364
18,Diesel_S1_2027,2032,S1,D1,1069740,Diesel_S1_2027,Diesel,95668,102000,D4,2032,B20,69347.97596256,9566.800000000001,10523.48,33560.49139488
19,Diesel_S1_2027,2032,S1,D1,1069740,Diesel_S1_2027,Diesel,95668,102000,D4,2032,HVO,11092.291306368,9566.800000000001,10523.48,37436.915364
20,Diesel_S1_2028,2032,S1,D1,1069740,Diesel_S1_2028,Diesel,98538,102000,D4,2032,B20,69347.97596256,8868.42,8868.42,33560.49139488
21,Diesel_S1_2028,2032,S1,D1,1069740,Diesel_S1_2028,Diesel,98538,102000,D4,2032,HVO,11092.291306368,8868.42,8868.42,37436.915364
22,Diesel_S1_2029,2032,S1,D1,1069740,Diesel_S1_2029,Diesel,101494,102000,D4,2032,B20,69347.97596256,8119.52,7104.580000000001,33560.49139488
23,Diesel_S1_2029,2032,S1,D1,1069740,Diesel_S1_2029,Diesel,101494,102000,D4,2032,HVO,11092.291306368,8119.52,7104.580000000001,37436.915364
24,Diesel_S1_2030,2032,S1,D1,1069740,Diesel_S1_2030,Diesel,104539,102000,D4,2032,B20,69347.97596256,7317.7300000000005,5226.950000000001,33560.49139488
