Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
BEV_S1_2030,2032,S1,D1,1069740,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,9141.230000000001,6529.450000000001,0.115272681258,20594.238619026,0.9870476985520809,7.0,2,11
BEV_S1_2031,2032,S1,D1,1069740,BEV_S1_2031,BEV,2031,0,102000,D3,Electricity,0.868161,0.0,7835.34,3917.67,0.115272681258,20083.46824893,0.9936271631877772,8.0,4,11
BEV_S1_2032,2032,S1,D1,1069740,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,19593.153488316002,0.6366104896762271,6.0,2,11
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,22974.77872644,0.39773480555865337,2.0,3,11
BEV_S1_2030,2032,S1,D3,4237026,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,9141.230000000001,6529.450000000001,0.115272681258,20594.238619026,0.9864118223175802,10.0,7,42
LNG_S1_2030,2032,S1,D3,4237026,LNG_S1_2030,LNG,2030,0,102000,D4,LNG,0.154735,0.38470060965,8609.09,6149.35,0.14849175222,22703.93146605,0.6645546198232984,9.0,7,42
BEV_S1_2031,2032,S1,D3,4237026,BEV_S1_2031,BEV,2031,0,102000,D3,Electricity,0.868161,0.0,7835.34,3917.67,0.115272681258,20083.46824893,0.9933135149350855,11.0,8,42
LNG_S1_2031,2032,S1,D3,4237026,LNG_S1_2031,LNG,2031,0,102000,D4,LNG,0.154735,0.38470060965,7600.62,3800.31,0.14849175222,22835.794677240003,0.6642407397936706,8.0,5,42
BEV_S1_2032,2032,S1,D3,4237026,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,19593.153488316002,0.540133720240689,7.0,4,42
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,40214.791394880005,0.1076382806650508,1.0,6,42
