Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
LNG_S1_2033,2037,S1,D1,1070915,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.4363467454375621,3.0,3.0,11.0,D1
BEV_S1_2034,2037,S1,D1,1080198,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,138424.4462273118,0.992855603113513,6.0,8.0,11.0,D1
BEV_S1_2037,2037,S1,D1,1196265,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9928556437579011,7.0,,,D1
Diesel_S1_2037,2037,S1,D1,1196265,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.223016,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.07500748960703237,1.0,,,D1
Diesel_S1_2037,2037,S1,D1,1196265,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.223016,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.840670946218298,4.0,,,D1
LNG_S1_2037,2037,S1,D1,1196265,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.154735,0.38470060965,7562.900000000001,1512.58,0.14420435484000002,160333.62420435483,0.43167024393163445,2.0,,,D1
LNG_S1_2037,2037,S1,D1,1196265,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.154381,0.058423791259,7562.900000000001,1512.58,0.15471137533999998,160333.63471137534,0.8855359110751138,5.0,,,D1
Diesel_S1_2033,2037,S1,D2,3491886,Diesel_S1_2033,Diesel,2033,114232,102000,D4,B20,0.223016,0.6798821172799999,5711.6,1142.32,0.33602043736,121086.25602043736,0.13756838402057553,2.0,3.0,35.0,D2
LNG_S1_2033,2037,S1,D2,3491886,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.43469918818508596,4.0,12.0,35.0,D2
BEV_S1_2035,2037,S1,D2,3746146,BEV_S1_2035,BEV,2035,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,138424.44197419105,0.9344139738484277,7.0,20.0,35.0,D2
BEV_S1_2037,2037,S1,D2,3953052,BEV_S1_2037,BEV,2037,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.093972351123,138424.43397235114,0.9344140023082463,8.0,,,D2
Diesel_S1_2037,2037,S1,D2,3953052,Diesel_S1_2037,Diesel,2037,128570,102000,D4,B20,0.223016,0.6798821172799999,6428.5,1285.7,0.36552099384,136284.56552099384,0.08888487751337439,1.0,,,D2
Diesel_S1_2037,2037,S1,D2,3953052,Diesel_S1_2037,Diesel,2037,128570,102000,D4,HVO,0.223016,0.108747953984,6428.5,1285.7,0.34767525352,136284.54767525353,0.8314319451186276,5.0,,,D2
LNG_S1_2037,2037,S1,D2,3953052,LNG_S1_2037,LNG,2037,151258,102000,D4,LNG,0.154735,0.38470060965,7562.900000000001,1512.58,0.14420435484000002,160333.62420435483,0.4247972615757996,3.0,,,D2
LNG_S1_2037,2037,S1,D2,3953052,LNG_S1_2037,LNG,2037,151258,102000,D4,BioLNG,0.154381,0.058423791259,7562.900000000001,1512.58,0.15471137533999998,160333.63471137534,0.8345713933535783,6.0,,,D2
Diesel_S1_2033,2037,S1,D3,4290083,Diesel_S1_2033,Diesel,2033,114232,102000,D4,B20,0.223016,0.6798821172799999,5711.6,1142.32,0.33602043736,121086.25602043736,0.13756838358897516,2.0,5.0,43.0,D3
LNG_S1_2033,2037,S1,D3,4290083,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.4346991881813016,4.0,16.0,43.0,D3
