Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
BEV_S1_2036,2038,S1,D1,1254358,BEV_S1_2036,BEV,2036,0,102000,D4,Electricity,0.868161,0.0,9141.230000000001,6529.450000000001,0.09020974134899999,17820.245447454,0.9909885227092652,8.0,3,13
BEV_S1_2037,2038,S1,D1,1254358,BEV_S1_2037,BEV,2037,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.09020974134899999,17420.519814546,0.9955722728141231,9.0,7,13
BEV_S1_2038,2038,S1,D1,1254358,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,17036.733617598,0.6937839359762116,5.0,2,13
LNG_S1_2038,2038,S1,D1,1254358,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,23970.66592203,0.3975966074313452,2.0,1,13
BEV_S1_2037,2038,S1,D2,3994169,BEV_S1_2037,BEV,2037,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.09020974134899999,17420.519814546,0.9950523625690306,8.0,3,40
LNG_S1_2037,2038,S1,D2,3994169,LNG_S1_2037,LNG,2037,0,102000,D4,LNG,0.154735,0.38470060965,9075.48,4537.74,0.143361822765,23784.324193680004,0.6324677516915804,7.0,10,40
BEV_S1_2038,2038,S1,D2,3994169,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,17036.733617598,0.6275554859923773,6.0,13,40
Diesel_S1_2038,2038,S1,D2,3994169,Diesel_S1_2038,Diesel,2038,132427,102000,D4,B20,0.223016,0.6798821172799999,6621.35,1324.27,0.37329087128,46021.288870560005,0.08377694403423154,1.0,2,40
LNG_S1_2038,2038,S1,D2,3994169,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,23970.66592203,0.37206031380954974,2.0,12,40
BEV_S1_2038,2038,S1,D3,4847871,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,17036.733617598,1.0,5.0,15,48
Diesel_S1_2038,2038,S1,D3,4847871,Diesel_S1_2038,Diesel,2038,132427,102000,D4,B20,0.223016,0.6798821172799999,6621.35,1324.27,0.37329087128,46021.288870560005,0.07230834370496814,1.0,15,48
LNG_S1_2038,2038,S1,D3,4847871,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,23970.66592203,0.48781587099006407,2.0,18,48
BEV_S1_2034,2038,S1,D4,642216,BEV_S1_2034,BEV,2034,0,102000,D4,Electricity,0.868161,0.0,11753.01,11753.01,0.09020974134899999,18670.525803498,0.9799463601841646,7.0,2,7
BEV_S1_2035,2038,S1,D4,642216,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,10447.12,9141.230000000001,0.09020974134899999,18236.70748812,0.9852196199033437,8.0,3,7
LNG_S1_2038,2038,S1,D4,642216,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,23970.66592203,0.39355568626700876,2.0,2,7
BEV_S2_2035,2038,S2,D1,1410693,BEV_S2_2035,BEV,2035,0,106000,D4,Electricity,0.85459,0.0,15195.76,13296.29,0.08879959231,22037.1149884,0.9865807066587526,7.0,2,14
BEV_S2_2036,2038,S2,D1,1410693,BEV_S2_2036,BEV,2036,0,106000,D4,Electricity,0.85459,0.0,13296.29,9497.35,0.08879959231,21611.08649078,0.9912095750233706,8.0,3,14
BEV_S2_2037,2038,S2,D1,1410693,BEV_S2_2037,BEV,2037,0,106000,D4,Electricity,0.85459,0.0,11396.82,5698.41,0.08879959231,21202.17884922,0.9956808356688482,9.0,7,14
LNG_S2_2038,2038,S2,D1,1410693,LNG_S2_2038,LNG,2038,207209,106000,D4,LNG,0.155767,0.38726635773,10360.45,2072.09,0.14431796973299998,27730.244791698,0.3790106802680553,2.0,2,14
BEV_S2_2034,2038,S2,D2,2151804,BEV_S2_2034,BEV,2034,0,106000,D4,Electricity,0.85459,0.0,17095.23,17095.23,0.08879959231,22480.89844786,0.9814950525025868,8.0,2,21
BEV_S2_2035,2038,S2,D2,2151804,BEV_S2_2035,BEV,2035,0,106000,D4,Electricity,0.85459,0.0,15195.76,13296.29,0.08879959231,22037.1149884,0.9863621623104464,9.0,4,21
BEV_S2_2037,2038,S2,D2,2151804,BEV_S2_2037,BEV,2037,0,106000,D4,Electricity,0.85459,0.0,11396.82,5698.41,0.08879959231,21202.17884922,0.9956102476058812,10.0,7,21
