Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
BEV_S1_2028,2030,S1,D1,968137,BEV_S1_2028,BEV,2028,0,102000,D2,Electricity,0.868161,0.0,7234.85,1446.97,0.135738708672,8681.955738708672,0.8949376611912534,7.0,3.0,10.0,D1
BEV_S1_2029,2030,S1,D1,1009629,BEV_S1_2029,BEV,2029,0,102000,D3,Electricity,0.868161,0.0,6873.1,1374.62,0.130304020812,8247.850304020812,0.9122236560796761,8.0,2.0,10.0,D1
LNG_S1_2029,2030,S1,D1,1009629,LNG_S1_2029,LNG,2029,0,102000,D4,LNG,0.154735,0.38470060965,5970.25,1194.05,0.151125187185,7164.451125187185,0.4470681364173462,3.0,5.0,10.0,D1
BEV_S1_2030,2030,S1,D1,1009798,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.12508724136299998,7835.465087241364,0.8699199092579415,6.0,,,D1
Diesel_S1_2030,2030,S1,D1,1009798,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,6272.655467282801,0.10751590487995044,1.0,,,D1
Diesel_S1_2030,2030,S1,D1,1009798,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,6272.715068308801,0.8169597113031997,4.0,,,D1
LNG_S1_2030,2030,S1,D1,1009798,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,7379.370242269275,0.43027427455834394,2.0,,,D1
LNG_S1_2030,2030,S1,D1,1009798,LNG_S1_2030,LNG,2030,122987,102000,D4,BioLNG,0.154381,0.058423791259,6149.35,1229.8700000000001,0.16118920209999998,7379.3811892021,0.8528956791619893,5.0,,,D1
BEV_S1_2030,2030,S1,D2,3285854,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.12508724136299998,7835.465087241364,0.9132394983632646,5.0,,,D2
Diesel_S1_2030,2030,S1,D2,3285854,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,6272.655467282801,0.08676050163673542,1.0,,,D2
Diesel_S1_2030,2030,S1,D2,3285854,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,6272.715068308801,0.840900722722495,3.0,,,D2
LNG_S1_2030,2030,S1,D2,3285854,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,7379.370242269275,0.4329417014769648,2.0,,,D2
LNG_S1_2030,2030,S1,D2,3285854,LNG_S1_2030,LNG,2030,122987,102000,D4,BioLNG,0.154381,0.058423791259,6149.35,1229.8700000000001,0.16118920209999998,7379.3811892021,0.8933828034166519,4.0,,,D2
