Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
LNG_S1_2033,2035,S1,D1,1070915,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.43292837137687395,4.0,3.0,11.0,D1
BEV_S1_2034,2035,S1,D1,1080198,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,138424.4462273118,0.9458628056780661,7.0,5.0,11.0,D1
Diesel_S1_2034,2035,S1,D1,1080198,Diesel_S1_2034,Diesel,2034,117659,102000,D4,B20,0.223016,0.6798821172799999,5882.950000000001,1176.59,0.34316363984,124718.88316363984,0.09946744285459659,2.0,3.0,11.0,D1
BEV_S1_2035,2035,S1,D1,1106719,BEV_S1_2035,BEV,2035,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,138424.44197419105,0.945862821616723,8.0,,,D1
Diesel_S1_2035,2035,S1,D1,1106719,Diesel_S1_2035,Diesel,2035,121189,102000,D4,B20,0.223016,0.6798821172799999,6059.450000000001,1211.89,0.35046072336,128460.69046072336,0.0865863326512871,1.0,,,D1
Diesel_S1_2035,2035,S1,D1,1106719,Diesel_S1_2035,Diesel,2035,121189,102000,D4,HVO,0.223016,0.108747953984,6059.450000000001,1211.89,0.35529124992,128460.69529124993,0.8402590452143851,5.0,,,D1
LNG_S1_2035,2035,S1,D1,1106719,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,151130.70590427355,0.42957790113061584,3.0,,,D1
LNG_S1_2035,2035,S1,D1,1106719,LNG_S1_2035,LNG,2035,142576,102000,D4,BioLNG,0.154381,0.058423791259,7128.8,1425.76,0.15653461494999998,151130.71653461494,0.867226943714729,6.0,,,D1
Diesel_S1_2033,2035,S1,D2,3491886,Diesel_S1_2033,Diesel,2033,114232,102000,D4,B20,0.223016,0.6798821172799999,5711.6,1142.32,0.33602043736,121086.25602043736,0.11878668796073985,2.0,10.0,33.0,D2
LNG_S1_2033,2035,S1,D2,3491886,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.43167420759710085,4.0,10.0,33.0,D2
BEV_S1_2035,2035,S1,D2,3746146,BEV_S1_2035,BEV,2035,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,138424.44197419105,0.9279327588406212,7.0,,,D2
Diesel_S1_2035,2035,S1,D2,3746146,Diesel_S1_2035,Diesel,2035,121189,102000,D4,B20,0.223016,0.6798821172799999,6059.450000000001,1211.89,0.35046072336,128460.69046072336,0.09227634845706212,1.0,,,D2
Diesel_S1_2035,2035,S1,D2,3746146,Diesel_S1_2035,Diesel,2035,121189,102000,D4,HVO,0.223016,0.108747953984,6059.450000000001,1211.89,0.35529124992,128460.69529124993,0.838203149364733,5.0,,,D2
LNG_S1_2035,2035,S1,D2,3746146,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,151130.70590427355,0.42739785713257816,3.0,,,D2
LNG_S1_2035,2035,S1,D2,3746146,LNG_S1_2035,LNG,2035,142576,102000,D4,BioLNG,0.154381,0.058423791259,7128.8,1425.76,0.15653461494999998,151130.71653461494,0.8511447867230937,6.0,,,D2
Diesel_S1_2033,2035,S1,D3,4290083,Diesel_S1_2033,Diesel,2033,114232,102000,D4,B20,0.223016,0.6798821172799999,5711.6,1142.32,0.33602043736,121086.25602043736,0.11191175732092495,2.0,12.0,43.0,D3
LNG_S1_2033,2035,S1,D3,4290083,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.147624153075,142454.60762415308,0.4319832345721086,4.0,13.0,43.0,D3
BEV_S1_2034,2035,S1,D3,4474763,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,138424.4462273118,0.9322985322406,7.0,18.0,43.0,D3
BEV_S1_2035,2035,S1,D3,4476447,BEV_S1_2035,BEV,2035,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,138424.44197419105,0.932298547783504,8.0,,,D3
Diesel_S1_2035,2035,S1,D3,4476447,Diesel_S1_2035,Diesel,2035,121189,102000,D4,B20,0.223016,0.6798821172799999,6059.450000000001,1211.89,0.35046072336,128460.69046072336,0.08679009725706491,1.0,,,D3
Diesel_S1_2035,2035,S1,D3,4476447,Diesel_S1_2035,Diesel,2035,121189,102000,D4,HVO,0.223016,0.108747953984,6059.450000000001,1211.89,0.35529124992,128460.69529124993,0.838431120361511,5.0,,,D3
LNG_S1_2035,2035,S1,D3,4476447,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,151130.70590427355,0.42822951532195896,3.0,,,D3
LNG_S1_2035,2035,S1,D3,4476447,LNG_S1_2035,LNG,2035,142576,102000,D4,BioLNG,0.154381,0.058423791259,7128.8,1425.76,0.15653461494999998,151130.71653461494,0.8569977459336595,6.0,,,D3
BEV_S1_2032,2035,S1,D4,542921,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9454817657212854,6.0,3.0,6.0,D4
Diesel_S1_2034,2035,S1,D4,575445,Diesel_S1_2034,Diesel,2034,117659,102000,D4,B20,0.223016,0.6798821172799999,5882.950000000001,1176.59,0.34316363984,124718.88316363984,0.10013560058749658,2.0,3.0,6.0,D4
BEV_S1_2035,2035,S1,D4,588196,BEV_S1_2035,BEV,2035,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,138424.44197419105,0.9454818158904383,7.0,,,D4
Diesel_S1_2035,2035,S1,D4,588196,Diesel_S1_2035,Diesel,2035,121189,102000,D4,B20,0.223016,0.6798821172799999,6059.450000000001,1211.89,0.35046072336,128460.69046072336,0.0871761937486615,1.0,,,D4
Diesel_S1_2035,2035,S1,D4,588196,Diesel_S1_2035,Diesel,2035,121189,102000,D4,HVO,0.223016,0.108747953984,6059.450000000001,1211.89,0.35529124992,128460.69529124993,0.8402621587378774,4.0,,,D4
LNG_S1_2035,2035,S1,D4,588196,LNG_S1_2035,LNG,2035,142576,102000,D4,LNG,0.154735,0.38470060965,7128.8,1425.76,0.14590427355000002,151130.70590427355,0.4295105271486762,3.0,,,D4
