Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost
BEV_S1_2032,2032,S1,D1,1069740,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913
BEV_S1_2032,2032,S1,D2,3430934,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913
BEV_S1_2032,2032,S1,D3,4237026,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913
BEV_S1_2032,2032,S1,D4,542921,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913
BEV_S2_2032,2032,S2,D1,1257890,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751
Diesel_S2_2032,2032,S2,D1,1257890,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967
Diesel_S2_2032,2032,S2,D1,1257890,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429
LNG_S2_2032,2032,S2,D1,1257890,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308
LNG_S2_2032,2032,S2,D1,1257890,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566
BEV_S2_2032,2032,S2,D2,1759215,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751
Diesel_S2_2032,2032,S2,D2,1759215,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967
Diesel_S2_2032,2032,S2,D2,1759215,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429
LNG_S2_2032,2032,S2,D2,1759215,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308
LNG_S2_2032,2032,S2,D2,1759215,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566
BEV_S2_2032,2032,S2,D3,980430,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751
Diesel_S2_2032,2032,S2,D3,980430,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967
Diesel_S2_2032,2032,S2,D3,980430,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429
LNG_S2_2032,2032,S2,D3,980430,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308
LNG_S2_2032,2032,S2,D3,980430,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566
BEV_S2_2032,2032,S2,D4,163126,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751
Diesel_S2_2032,2032,S2,D4,163126,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967
Diesel_S2_2032,2032,S2,D4,163126,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429
LNG_S2_2032,2032,S2,D4,163126,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308
LNG_S2_2032,2032,S2,D4,163126,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566
BEV_S4_2032,2032,S4,D1,19298,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254
Diesel_S4_2032,2032,S4,D1,19298,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662
Diesel_S4_2032,2032,S4,D1,19298,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525
LNG_S4_2032,2032,S4,D1,19298,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913
LNG_S4_2032,2032,S4,D1,19298,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193
BEV_S4_2032,2032,S4,D2,967461,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254
Diesel_S4_2032,2032,S4,D2,967461,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662
Diesel_S4_2032,2032,S4,D2,967461,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525
LNG_S4_2032,2032,S4,D2,967461,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913
LNG_S4_2032,2032,S4,D2,967461,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193
BEV_S4_2032,2032,S4,D3,141391,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254
Diesel_S4_2032,2032,S4,D3,141391,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662
Diesel_S4_2032,2032,S4,D3,141391,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525
LNG_S4_2032,2032,S4,D3,141391,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913
LNG_S4_2032,2032,S4,D3,141391,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193
BEV_S4_2032,2032,S4,D4,2230,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254
Diesel_S4_2032,2032,S4,D4,2230,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662
Diesel_S4_2032,2032,S4,D4,2230,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525
LNG_S4_2032,2032,S4,D4,2230,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913
LNG_S4_2032,2032,S4,D4,2230,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193
BEV_S3_2032,2032,S3,D1,2708133,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545
Diesel_S3_2032,2032,S3,D1,2708133,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,163452.3305971379
Diesel_S3_2032,2032,S3,D1,2708133,Diesel_S3_2032,Diesel,2032,154200,73000,D4,HVO,0.224082,0.10926776116800001,7710.0,1542.0,0.3687829515,163452.3687829515
LNG_S3_2032,2032,S3,D1,2708133,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,209030.02773362715
LNG_S3_2032,2032,S3,D1,2708133,LNG_S3_2032,LNG,2032,197198,73000,D4,BioLNG,0.155192,0.058730705288,9859.900000000001,1971.98,0.16014883248,209030.0401488325
BEV_S3_2032,2032,S3,D2,2863674,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545
