Allocation,Operating Year,size,Distance_demand,demand,id,vehicle,Available Year,cost,yearly_range,Distance_vehicle,fuel,consumption_unitfuel_per_km,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
LNG_S1_2023,2024,S1,D1,877242,LNG_S1_2023,LNG,2023,0,102000,D4,LNG,0.165507,0.41148184833,6000.0,3000.0,0.16645204497000002,23077.87951668,0.6800408631037408,7.0,3,9
Diesel_S1_2024,2024,S1,D1,877242,Diesel_S1_2024,Diesel,2024,87550,102000,D4,B20,0.223016,0.6798821172799999,4377.5,875.5,0.27805634879999996,33614.74757759999,0.35000959572340956,1.0,4,9
LNG_S1_2024,2024,S1,D1,877242,LNG_S1_2024,LNG,2024,103000,102000,D4,LNG,0.165507,0.41148184833,5150.0,1030.0,0.16645204497000002,23158.10858694,0.46401972608273584,2.0,2,9
Diesel_S1_2023,2024,S1,D2,2716195,Diesel_S1_2023,Diesel,2023,0,102000,D4,B20,0.223016,0.6798821172799999,5100.0,2550.0,0.27805634879999996,32871.21905088,0.5021014321889415,4.0,5,27
LNG_S1_2023,2024,S1,D2,2716195,LNG_S1_2023,LNG,2023,0,102000,D4,LNG,0.165507,0.41148184833,6000.0,3000.0,0.16645204497000002,23077.87951668,0.6812030541799383,6.0,5,27
Diesel_S1_2024,2024,S1,D2,2716195,Diesel_S1_2024,Diesel,2024,87550,102000,D4,B20,0.223016,0.6798821172799999,4377.5,875.5,0.27805634879999996,33614.74757759999,0.19888182970023127,1.0,2,27
LNG_S1_2024,2024,S1,D2,2716195,LNG_S1_2024,LNG,2024,103000,102000,D4,LNG,0.165507,0.41148184833,5150.0,1030.0,0.16645204497000002,23158.10858694,0.3792737992722529,2.0,15,27
LNG_S1_2023,2024,S1,D4,419981,LNG_S1_2023,LNG,2023,0,102000,D4,LNG,0.165507,0.41148184833,6000.0,3000.0,0.16645204497000002,23077.87951668,0.6812030541799383,6.0,4,5
LNG_S1_2024,2024,S1,D4,419981,LNG_S1_2024,LNG,2024,103000,102000,D4,LNG,0.165507,0.41148184833,5150.0,1030.0,0.16645204497000002,23158.10858694,0.3792737992722529,2.0,1,5
LNG_S2_2023,2024,S2,D1,1043209,LNG_S2_2023,LNG,2023,0,106000,D4,LNG,0.165239,0.41081554941,7980.0,3990.0,0.16618251469,25698.86218108,0.6897447681293536,7.0,5,10
Diesel_S2_2024,2024,S2,D1,1043209,Diesel_S2_2024,Diesel,2024,107120,106000,D4,B20,0.223852,0.68243073016,5356.0,1071.2,0.27909867359999996,36011.659401599994,0.3962973324245217,1.0,2,10
LNG_S2_2024,2024,S2,D1,1043209,LNG_S2_2024,LNG,2024,136990,106000,D4,LNG,0.165239,0.41081554941000004,6849.5,1369.9,0.16618251469,25834.746557140003,0.4810228225335867,3.0,3,10
LNG_S2_2023,2024,S2,D2,1391987,LNG_S2_2023,LNG,2023,0,106000,D4,LNG,0.165239,0.41081554941,7980.0,3990.0,0.16618251469,25698.86218108,0.6851493861763296,6.0,5,14
Diesel_S2_2024,2024,S2,D2,1391987,Diesel_S2_2024,Diesel,2024,107120,106000,D4,B20,0.223852,0.68243073016,5356.0,1071.2,0.27909867359999996,36011.659401599994,0.21742447405985132,1.0,4,14
LNG_S2_2024,2024,S2,D2,1391987,LNG_S2_2024,LNG,2024,136990,106000,D4,LNG,0.165239,0.41081554941000004,6849.5,1369.9,0.16618251469,25834.746557140003,0.36535711787903047,2.0,5,14
LNG_S2_2023,2024,S2,D3,807076,LNG_S2_2023,LNG,2023,0,106000,D4,LNG,0.165239,0.41081554941,7980.0,3990.0,0.16618251469,25698.86218108,0.6851493861763296,6.0,4,8
LNG_S2_2024,2024,S2,D3,807076,LNG_S2_2024,LNG,2024,136990,106000,D4,LNG,0.165239,0.41081554941000004,6849.5,1369.9,0.16618251469,25834.746557140003,0.36535711787903047,2.0,4,8
LNG_S2_2023,2024,S2,D4,133712,LNG_S2_2023,LNG,2023,0,106000,D4,LNG,0.165239,0.41081554941,7980.0,3990.0,0.16618251469,25698.86218108,0.6467891237997935,5.0,1,2
LNG_S2_2024,2024,S2,D4,133712,LNG_S2_2024,LNG,2024,136990,106000,D4,LNG,0.165239,0.41081554941000004,6849.5,1369.9,0.16618251469,25834.746557140003,0.38740557566726286,2.0,1,2
Diesel_S3_2023,2024,S3,D1,2239440,Diesel_S3_2023,Diesel,2023,0,73000,D4,B20,0.224082,0.68313190356,7090.86,3545.43,0.2793854376,27061.34362824,0.5478056462762277,4.0,3,31
LNG_S3_2023,2024,S3,D1,2239440,LNG_S3_2023,LNG,2023,0,73000,D4,LNG,0.164823,0.40978129437,9068.16,4534.08,0.16576413933,21240.05175798,0.6869375497343552,7.0,6,31
Diesel_S3_2024,2024,S3,D1,2239440,Diesel_S3_2024,Diesel,2024,121727,73000,D4,B20,0.224082,0.68313190356,6086.35,1217.27,0.2793854376,27698.7569448,0.3942596302344633,1.0,9,31
LNG_S3_2024,2024,S3,D1,2239440,LNG_S3_2024,LNG,2024,155670,73000,D4,LNG,0.164823,0.40978129437,7783.5,1556.7,0.16576413933,21440.98217109,0.47020511960230427,3.0,13,31
LNG_S3_2023,2024,S3,D2,2453497,LNG_S3_2023,LNG,2023,0,73000,D4,LNG,0.164823,0.40978129437,9068.16,4534.08,0.16576413933,21240.05175798,0.6800243052032672,6.0,10,34
Diesel_S3_2024,2024,S3,D2,2453497,Diesel_S3_2024,Diesel,2024,121727,73000,D4,B20,0.224082,0.68313190356,6086.35,1217.27,0.2793854376,27698.7569448,0.20605081578851997,1.0,13,34
LNG_S3_2024,2024,S3,D2,2453497,LNG_S3_2024,LNG,2024,155670,73000,D4,LNG,0.164823,0.40978129437,7783.5,1556.7,0.16576413933,21440.98217109,0.3454700991495003,2.0,11,34
LNG_S3_2023,2024,S3,D3,1029375,LNG_S3_2023,LNG,2023,0,73000,D4,LNG,0.164823,0.40978129437,9068.16,4534.08,0.16576413933,21240.05175798,0.6800243052032672,6.0,7,15
Diesel_S3_2024,2024,S3,D3,1029375,Diesel_S3_2024,Diesel,2024,121727,73000,D4,B20,0.224082,0.68313190356,6086.35,1217.27,0.2793854376,27698.7569448,0.20605081578851997,1.0,1,15
LNG_S3_2024,2024,S3,D3,1029375,LNG_S3_2024,LNG,2024,155670,73000,D4,LNG,0.164823,0.40978129437,7783.5,1556.7,0.16576413933,21440.98217109,0.3454700991495003,2.0,7,15
LNG_S3_2023,2024,S3,D4,208440,LNG_S3_2023,LNG,2023,0,73000,D4,LNG,0.164823,0.40978129437,9068.16,4534.08,0.16576413933,21240.05175798,0.64070632764928,5.0,2,3
LNG_S3_2024,2024,S3,D4,208440,LNG_S3_2024,LNG,2024,155670,73000,D4,LNG,0.164823,0.40978129437,7783.5,1556.7,0.16576413933,21440.98217109,0.3694018173944376,2.0,1,3
LNG_S4_2024,2024,S4,D1,15200,LNG_S4_2024,LNG,2024,199258,118000,D4,LNG,0.167274,0.41587494606000003,9962.900000000001,1992.5800000000002,0.16822913454000002,31806.517875720005,0.456800125114857,2.0,1,1
