Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
BEV_S1_2034,2038,S1,D1,1080198,BEV_S1_2034,BEV,2034,0,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,7835.4462273118,0.999999345595841,7.0,2.0,11.0,D1
BEV_S1_2035,2038,S1,D1,1106719,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.10197419106,7835.441974191061,0.999999519358688,8.0,2.0,11.0,D1
BEV_S1_2036,2038,S1,D1,1143702,BEV_S1_2036,BEV,2036,0,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.097891229877,7835.437891229878,0.999999686169656,9.0,5.0,11.0,D1
LNG_S1_2037,2038,S1,D1,1196265,LNG_S1_2037,LNG,2037,0,102000,D4,LNG,0.154735,0.38470060965,7562.900000000001,1512.58,0.14420435484,9075.62420435484,0.44335218551005917,3.0,2.0,11.0,D1
BEV_S1_2038,2038,S1,D1,1254358,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,7835.43020974135,0.9039537517693135,6.0,,,D1
Diesel_S1_2038,2038,S1,D1,1254358,Diesel_S1_2038,Diesel,2038,132427,102000,D4,B20,0.223016,0.6798821172799999,6621.35,1324.27,0.37329087128,7945.993290871281,0.05709462073210113,1.0,,,D1
Diesel_S1_2038,2038,S1,D1,1254358,Diesel_S1_2038,Diesel,2038,132427,102000,D4,HVO,0.223016,0.108747953984,6621.35,1324.27,0.34392858472,7945.963928584721,0.8135403968047181,4.0,,,D1
LNG_S1_2038,2038,S1,D1,1254358,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,9347.903361822766,0.4267265440391894,2.0,,,D1
LNG_S1_2038,2038,S1,D1,1254358,LNG_S1_2038,LNG,2038,155796,102000,D4,BioLNG,0.154381,0.058423791259,7789.8,1557.96,0.153807628966,9347.913807628966,0.8466349494289626,5.0,,,D1
BEV_S1_2037,2038,S1,D2,3953052,BEV_S1_2037,BEV,2037,0,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.093972351123,7835.433972351124,0.9935015404246184,8.0,16.0,39.0,D2
Diesel_S1_2037,2038,S1,D2,3953052,Diesel_S1_2037,Diesel,2037,0,102000,D4,B20,0.223016,0.6798821172799999,6428.5,1285.7,0.36552099384,7714.565520993839,0.15539411383896118,2.0,6.0,39.0,D2
LNG_S1_2037,2038,S1,D2,3953052,LNG_S1_2037,LNG,2037,0,102000,D4,LNG,0.154735,0.38470060965,7562.900000000001,1512.58,0.14420435484,9075.62420435484,0.44795696173280297,4.0,17.0,39.0,D2
BEV_S1_2038,2038,S1,D2,3994169,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,7835.43020974135,0.881645046949615,7.0,,,D2
Diesel_S1_2038,2038,S1,D2,3994169,Diesel_S1_2038,Diesel,2038,132427,102000,D4,B20,0.223016,0.6798821172799999,6621.35,1324.27,0.37329087128,7945.993290871281,0.07409415294243246,1.0,,,D2
Diesel_S1_2038,2038,S1,D2,3994169,Diesel_S1_2038,Diesel,2038,132427,102000,D4,HVO,0.223016,0.108747953984,6621.35,1324.27,0.34392858472,7945.963928584721,0.8002503731927929,5.0,,,D2
LNG_S1_2038,2038,S1,D2,3994169,LNG_S1_2038,LNG,2038,155796,102000,D4,LNG,0.154735,0.38470060965,7789.8,1557.96,0.143361822765,9347.903361822766,0.42186405200165533,3.0,,,D2
LNG_S1_2038,2038,S1,D2,3994169,LNG_S1_2038,LNG,2038,155796,102000,D4,BioLNG,0.154381,0.058423791259,7789.8,1557.96,0.153807628966,9347.913807628966,0.818228186819335,6.0,,,D2
BEV_S1_2038,2038,S1,D3,4847871,BEV_S1_2038,BEV,2038,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.09020974134899999,7835.43020974135,1.0,5.0,,,D3
Diesel_S1_2038,2038,S1,D3,4847871,Diesel_S1_2038,Diesel,2038,132427,102000,D4,B20,0.223016,0.6798821172799999,6621.35,1324.27,0.37329087128,7945.993290871281,0.06597627192570767,1.0,,,D3
