Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
BEV_S1_2028,2031,S1,D1,968137,BEV_S1_2028,BEV,2028,0,102000,D2,Electricity,0.868161,0.0,7234.85,1446.97,0.135738708672,8681.955738708672,0.9090554739336569,7.0,2.0,10.0,D1
BEV_S1_2029,2031,S1,D1,1009629,BEV_S1_2029,BEV,2029,0,102000,D3,Electricity,0.868161,0.0,6873.1,1374.62,0.130304020812,8247.850304020812,0.9255190428267329,8.0,4.0,10.0,D1
BEV_S1_2030,2031,S1,D1,1009798,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.1250872413629999,7835.465087241364,0.941734124633939,9.0,2.0,10.0,D1
LNG_S1_2030,2031,S1,D1,1009798,LNG_S1_2030,LNG,2030,0,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.87,0.150242269275,7379.370242269275,0.44549218645727223,3.0,2.0,10.0,D1
BEV_S1_2031,2031,S1,D1,1042251,BEV_S1_2031,BEV,2031,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716,0.8770703040918959,6.0,,,D1
Diesel_S1_2031,2031,S1,D1,1042251,Diesel_S1_2031,Diesel,2031,107675,102000,D4,B20,0.223016,0.6798821172799999,5383.75,1076.75,0.32217560408,6460.82217560408,0.09310294220842605,1.0,,,D1
Diesel_S1_2031,2031,S1,D1,1042251,Diesel_S1_2031,Diesel,2031,107675,102000,D4,HVO,0.223016,0.108747953984,5383.75,1076.75,0.37102725888,6460.87102725888,0.8162276311222612,4.0,,,D1
LNG_S1_2031,2031,S1,D1,1042251,LNG_S1_2031,LNG,2031,126677,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762000003,7600.769364457621,0.42919503085875693,2.0,,,D1
LNG_S1_2031,2031,S1,D1,1042251,LNG_S1_2031,LNG,2031,126677,102000,D4,BioLNG,0.154381,0.058423791259,6333.85,1266.77,0.160247478,7600.780247478001,0.8529372331544443,5.0,,,D1
BEV_S1_2030,2031,S1,D2,3285854,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.1250872413629999,7835.465087241364,0.9098933532665382,8.0,14.0,33.0,D2
