Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
BEV_S1_2033,2036,S1,D1,1143702,BEV_S1_2033,BEV,2033,0,102000,D4,Electricity,0.868161,0.0,10447.12,9141.230000000001,0.097891229877,19122.408812964,0.9839421752736811,7.0,3,12
BEV_S1_2035,2036,S1,D1,1143702,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.097891229877,18236.70748812,0.9948257211988395,9.0,5,12
BEV_S1_2036,2036,S1,D1,1143702,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.097891229877,17820.245447454,0.659429269118122,6.0,2,12
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.154735,0.38470060965,7342.650000000001,1468.53,0.145051838435,23606.467520370003,0.3874560485510221,2.0,2,12
BEV_S1_2035,2036,S1,D2,3821393,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.097891229877,18236.70748812,0.994447525800315,8.0,9,38
Diesel_S1_2035,2036,S1,D2,3821393,Diesel_S1_2035,Diesel,2035,0,102000,D4,B20,0.223016,0.6798821172799999,7271.34,3635.67,0.35791168792,43018.33378272,0.41927578357704914,3.0,5,38
LNG_S1_2035,2036,S1,D2,3821393,LNG_S1_2035,LNG,2035,0,102000,D4,LNG,0.154735,0.38470060965,8554.56,4277.28,0.145051838435,23436.7959021,0.6302021926885968,7.0,5,38
BEV_S1_2036,2036,S1,D2,3821393,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.097891229877,17820.245447454,0.6114415720687607,6.0,3,38
LNG_S1_2036,2036,S1,D2,3821393,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.154735,0.38470060965,7342.650000000001,1468.53,0.145051838435,23606.467520370003,0.36820917223092037,2.0,16,38
BEV_S1_2036,2036,S1,D3,4599217,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.097891229877,17820.245447454,0.9799774043270512,5.0,16,46
