Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
BEV_S1_2030,2033,S1,D1,1009798,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.1250872413629999,7835.465087241364,0.9401779769864645,8.0,3.0,10.0,D1
BEV_S1_2031,2033,S1,D1,1042251,BEV_S1_2031,BEV,2031,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716,0.940178215683369,9.0,3.0,10.0,D1
BEV_S1_2032,2033,S1,D1,1069740,BEV_S1_2032,BEV,2032,0,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,7835.455272681259,0.9401784448209265,10.0,1.0,10.0,D1
Diesel_S1_2032,2033,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,0,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,6654.629024425441,0.14819463008014552,2.0,1.0,10.0,D1
LNG_S1_2032,2033,S1,D1,1069740,LNG_S1_2032,LNG,2032,0,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,7828.768491752221,0.44767253892604786,4.0,2.0,10.0,D1
BEV_S1_2033,2033,S1,D1,1070915,BEV_S1_2033,BEV,2033,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.11065753738199999,7835.450657537383,0.8585443998018029,7.0,,,D1
Diesel_S1_2033,2033,S1,D1,1070915,Diesel_S1_2033,Diesel,2033,114232,102000,D4,B20,0.223016,0.6798821172799999,5711.6,1142.32,0.33602043736,6854.25602043736,0.06487841698670668,1.0,,,D1
Diesel_S1_2033,2033,S1,D1,1070915,Diesel_S1_2033,Diesel,2033,114232,102000,D4,HVO,0.223016,0.108747953984,5711.6,1142.32,0.36307450832,6854.28307450832,0.802010832789854,5.0,,,D1
LNG_S1_2033,2033,S1,D1,1070915,LNG_S1_2033,LNG,2033,134391,102000,D4,LNG,0.154735,0.38470060965,6719.55,1343.91,0.14762415307500001,8063.607624153075,0.4231047499092858,3.0,,,D1
LNG_S1_2033,2033,S1,D1,1070915,LNG_S1_2033,LNG,2033,134391,102000,D4,BioLNG,0.154381,0.058423791259,6719.55,1343.91,0.15838101171000002,8063.61838101171,0.8248890276696446,6.0,,,D1
BEV_S1_2030,2033,S1,D2,3285854,BEV_S1_2030,BEV,2030,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.1250872413629999,7835.465087241364,0.9397672797187812,9.0,6.0,33.0,D2
BEV_S1_2031,2033,S1,D2,3310718,BEV_S1_2031,BEV,2031,0,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.120079688715,7835.460079688716,0.9397675199521843,10.0,6.0,33.0,D2
LNG_S1_2031,2033,S1,D2,3310718,LNG_S1_2031,LNG,2031,0,102000,D4,LNG,0.154735,0.38470060965,6333.85,1266.77,0.14936445762,7600.769364457621,0.4501642731387181,5.0,3.0,33.0,D2
