Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
LNG_S1_2028,2032,S1,D1,968137,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,122882.77468748884,0.42888545447171317,2.0,4.0,10.0,D1
BEV_S1_2029,2032,S1,D1,1009629,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.62,0.130304020812,145709.8503040208,0.9050847050773586,6.0,6.0,10.0,D1
BEV_S1_2032,2032,S1,D1,1069740,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9279021640870585,7.0,,,D1
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.09491529492264142,1.0,,,D1
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8410850032423208,4.0,,,D1
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.4323908400862854,3.0,,,D1
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.887797874176721,5.0,,,D1
Diesel_S1_2028,2032,S1,D2,3114155,Diesel_S1_2028,Diesel,2028,98538,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,104450.58246768016,0.13363906774551912,2.0,7.0,31.0,D2
LNG_S1_2028,2032,S1,D2,3114155,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,122882.77468748884,0.4249923429418759,3.0,10.0,31.0,D2
BEV_S1_2030,2032,S1,D2,3285854,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.1250872413629999,138424.46508724138,0.8663609322544809,7.0,14.0,31.0,D2
BEV_S1_2032,2032,S1,D2,3430934,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.8663609657015428,8.0,,,D2
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.08639614982367405,1.0,,,D2
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.832027925394278,5.0,,,D2
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.4254412211337857,4.0,,,D2
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8384624656079179,6.0,,,D2
Diesel_S1_2028,2032,S1,D3,3731269,Diesel_S1_2028,Diesel,2028,98538,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,104450.58246768016,0.15673030087332457,2.0,10.0,37.0,D3
LNG_S1_2028,2032,S1,D3,3731269,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,122882.77468748884,0.4286774225976143,4.0,14.0,37.0,D3
BEV_S1_2029,2032,S1,D3,3892298,BEV_S1_2029,BEV,2029,137462,102000,D3,Electricity,0.868161,0.0,6873.1,1374.62,0.130304020812,145709.8503040208,0.8432696991266754,7.0,13.0,37.0,D3
BEV_S1_2032,2032,S1,D3,4237026,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.867333206422658,8.0,,,D3
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.11236367258639866,1.0,,,D3
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8328507882011572,5.0,,,D3
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.42629191347201445,3.0,,,D3
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8393626660202012,6.0,,,D3
Diesel_S1_2028,2032,S1,D4,469168,Diesel_S1_2028,Diesel,2028,98538,102000,D4,B20,0.223016,0.6798821172799999,4926.900000000001,985.38,0.30246768016,104450.58246768016,0.14312389410053636,2.0,3.0,5.0,D4
LNG_S1_2028,2032,S1,D4,469168,LNG_S1_2028,LNG,2028,115927,102000,D4,LNG,0.157457,0.39146801883,5796.35,1159.27,0.154687488827,122882.77468748884,0.425123268100434,4.0,2.0,5.0,D4
BEV_S1_2032,2032,S1,D4,542921,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.8568761058994636,7.0,,,D4
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.223016,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.09286181516430163,1.0,,,D4
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.223016,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8307240585542838,6.0,,,D4
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.154735,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.4240012925848622,3.0,,,D4
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.154381,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8299237488311615,5.0,,,D4
Diesel_S2_2028,2032,S2,D1,1142178,Diesel_S2_2028,Diesel,2028,120564,106000,D4,B20,0.223852,0.68243073016,6028.200000000001,1205.64,0.30360151352,127798.14360151353,0.22025961771835295,2.0,5.0,11.0,D1
LNG_S2_2028,2032,S2,D1,1142178,LNG_S2_2028,LNG,2028,154183,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,163434.13308812372,0.44327545824186365,4.0,4.0,11.0,D1
BEV_S2_2029,2032,S2,D1,1173616,BEV_S2_2029,BEV,2029,199944,106000,D3,Electricity,0.85459,0.0,9997.2,1999.44,0.12826712228,211940.76826712227,0.779740382281647,5.0,2.0,11.0,D1
BEV_S2_2032,2032,S2,D1,1257890,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751,0.8020873187164861,6.0,,,D1
Diesel_S2_2032,2032,S2,D1,1257890,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967,0.18586606705630349,1.0,,,D1
Diesel_S2_2032,2032,S2,D1,1257890,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429,0.8376218979617038,8.0,,,D1
LNG_S2_2032,2032,S2,D1,1257890,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308,0.42535133352451804,3.0,,,D1
LNG_S2_2032,2032,S2,D1,1257890,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566,0.8160084537833654,7.0,,,D1
Diesel_S2_2028,2032,S2,D2,1546703,Diesel_S2_2028,Diesel,2028,120564,106000,D4,B20,0.223852,0.68243073016,6028.200000000001,1205.64,0.30360151352,127798.14360151353,0.22025961771835295,2.0,5.0,15.0,D2
LNG_S2_2028,2032,S2,D2,1546703,LNG_S2_2028,LNG,2028,154183,106000,D4,LNG,0.155829,0.38742050151,7709.150000000001,1541.83,0.153088123719,163434.13308812372,0.44327545824186365,4.0,8.0,15.0,D2
BEV_S2_2029,2032,S2,D2,1608555,BEV_S2_2029,BEV,2029,199944,106000,D3,Electricity,0.85459,0.0,9997.2,1999.44,0.12826712228,211940.76826712227,0.779740382281647,5.0,2.0,15.0,D2
BEV_S2_2032,2032,S2,D2,1759215,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751,0.8020873187164861,6.0,,,D2
Diesel_S2_2032,2032,S2,D2,1759215,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967,0.18586606705630349,1.0,,,D2
Diesel_S2_2032,2032,S2,D2,1759215,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429,0.8376218979617038,8.0,,,D2
LNG_S2_2032,2032,S2,D2,1759215,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308,0.42535133352451804,3.0,,,D2
LNG_S2_2032,2032,S2,D2,1759215,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566,0.8160084537833654,7.0,,,D2
Diesel_S2_2028,2032,S2,D3,902415,Diesel_S2_2028,Diesel,2028,120564,106000,D4,B20,0.223852,0.68243073016,6028.200000000001,1205.64,0.30360151352,127798.14360151353,0.2129417355133327,2.0,5.0,9.0,D3
LNG_S2_2031,2032,S2,D3,943472,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.1503606389639999,178588.95036063896,0.4244196268890346,4.0,4.0,9.0,D3
BEV_S2_2032,2032,S2,D3,980430,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751,0.7870582644866673,5.0,,,D3
Diesel_S2_2032,2032,S2,D3,980430,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967,0.17435906852330657,1.0,,,D3
Diesel_S2_2032,2032,S2,D3,980430,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429,0.8355575927670676,7.0,,,D3
LNG_S2_2032,2032,S2,D3,980430,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308,0.41995538667931204,3.0,,,D3
LNG_S2_2032,2032,S2,D3,980430,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566,0.8037429382110488,6.0,,,D3
LNG_S2_2031,2032,S2,D4,161977,LNG_S2_2031,LNG,2031,168480,106000,D4,LNG,0.155767,0.38726635773,8424.0,1684.8,0.1503606389639999,178588.95036063896,0.4314382634851541,3.0,2.0,2.0,D4
BEV_S2_2032,2032,S2,D4,163126,BEV_S2_2032,BEV,2032,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.11347075102,201343.933470751,0.8512019939661675,5.0,,,D4
Diesel_S2_2032,2032,S2,D4,163126,Diesel_S2_2032,Diesel,2032,135696,106000,D4,B20,0.223852,0.68243073016,6784.8,1356.96,0.33025780968,143838.09025780967,0.14879800603383259,1.0,,,D4
Diesel_S2_2032,2032,S2,D4,163126,Diesel_S2_2032,Diesel,2032,135696,106000,D4,HVO,0.223852,0.109155607648,6784.8,1356.96,0.368404429,143838.128404429,0.8428763473832164,4.0,,,D4
LNG_S2_2032,2032,S2,D4,163126,LNG_S2_2032,LNG,2032,173534,106000,D4,LNG,0.155767,0.38726635773,8676.7,1735.3400000000001,0.14948211308399997,183946.18948211308,0.42880627157734574,2.0,,,D4
LNG_S2_2032,2032,S2,D4,163126,LNG_S2_2032,LNG,2032,173534,106000,D4,BioLNG,0.155039,0.05867280412100001,8676.7,1735.3400000000001,0.15999094566000002,183946.19999094566,0.8598832323235001,6.0,,,D4
Diesel_S3_2028,2032,S3,D1,2448472,Diesel_S3_2028,Diesel,2028,137005,73000,D4,B20,0.224082,0.68313190356,6850.25,1370.05,0.30391345332,145225.60391345332,0.22005210113282733,2.0,11.0,34.0,D1
LNG_S3_2028,2032,S3,D1,2448472,LNG_S3_2028,LNG,2028,175208,73000,D4,LNG,0.156388,0.38881028172,8760.4,1752.08,0.153637291468,185720.63363729147,0.4419215542328412,4.0,11.0,34.0,D1
BEV_S3_2029,2032,S3,D1,2497153,BEV_S3_2029,BEV,2029,227210,73000,D3,Electricity,0.859516,0.0,11360.5,2272.1,0.129006475472,240842.72900647548,0.7799478988671726,5.0,12.0,34.0,D1
BEV_S3_2032,2032,S3,D1,2708133,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545,0.8022803204345768,6.0,,,D1
Diesel_S3_2032,2032,S3,D1,2708133,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,163452.3305971379,0.18568491638557852,1.0,,,D1
Diesel_S3_2032,2032,S3,D1,2708133,Diesel_S3_2032,Diesel,2032,154200,73000,D4,HVO,0.224082,0.10926776116800001,7710.0,1542.0,0.3687829515,163452.3687829515,0.8376278063829791,8.0,,,D1
LNG_S3_2032,2032,S3,D1,2708133,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,209030.02773362715,0.4320581715441127,3.0,,,D1
LNG_S3_2032,2032,S3,D1,2708133,LNG_S3_2032,LNG,2032,197198,73000,D4,BioLNG,0.155192,0.058730705288,9859.900000000001,1971.98,0.16014883248,209030.0401488325,0.8161593359975201,7.0,,,D1
Diesel_S3_2028,2032,S3,D2,2667924,Diesel_S3_2028,Diesel,2028,137005,73000,D4,B20,0.224082,0.68313190356,6850.25,1370.05,0.30391345332,145225.60391345332,0.19930048000623596,2.0,13.0,37.0,D2
LNG_S3_2028,2032,S3,D2,2667924,LNG_S3_2028,LNG,2028,175208,73000,D4,LNG,0.156388,0.38881028172,8760.4,1752.08,0.153637291468,185720.63363729147,0.4358809447603219,4.0,13.0,37.0,D2
BEV_S3_2030,2032,S3,D2,2800498,BEV_S3_2030,BEV,2030,215849,73000,D3,Electricity,0.859516,0.0,10792.45,2158.49,0.1238416438279999,228800.06384164383,0.8006995199937641,5.0,11.0,37.0,D2
BEV_S3_2032,2032,S3,D2,2863674,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545,0.8006995385473935,6.0,,,D2
Diesel_S3_2032,2032,S3,D2,2863674,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,163452.3305971379,0.16271578468225228,1.0,,,D2
Diesel_S3_2032,2032,S3,D2,2863674,Diesel_S3_2032,Diesel,2032,154200,73000,D4,HVO,0.224082,0.10926776116800001,7710.0,1542.0,0.3687829515,163452.3687829515,0.8362006331888664,8.0,,,D2
LNG_S3_2032,2032,S3,D2,2863674,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,209030.02773362715,0.42854103647933417,3.0,,,D2
LNG_S3_2032,2032,S3,D2,2863674,LNG_S3_2032,LNG,2032,197198,73000,D4,BioLNG,0.155192,0.058730705288,9859.900000000001,1971.98,0.16014883248,209030.0401488325,0.8145202278437679,7.0,,,D2
Diesel_S3_2028,2032,S3,D3,1155329,Diesel_S3_2028,Diesel,2028,137005,73000,D4,B20,0.224082,0.68313190356,6850.25,1370.05,0.30391345332,145225.60391345332,0.22005210113282733,2.0,5.0,16.0,D3
LNG_S3_2028,2032,S3,D3,1155329,LNG_S3_2028,LNG,2028,175208,73000,D4,LNG,0.156388,0.38881028172,8760.4,1752.08,0.153637291468,185720.63363729147,0.4419215542328412,4.0,5.0,16.0,D3
BEV_S3_2029,2032,S3,D3,1175528,BEV_S3_2029,BEV,2029,227210,73000,D3,Electricity,0.859516,0.0,11360.5,2272.1,0.129006475472,240842.72900647548,0.7799478988671726,5.0,6.0,16.0,D3
BEV_S3_2032,2032,S3,D3,1254261,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545,0.8022803204345768,6.0,,,D3
Diesel_S3_2032,2032,S3,D3,1254261,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,163452.3305971379,0.18568491638557852,1.0,,,D3
Diesel_S3_2032,2032,S3,D3,1254261,Diesel_S3_2032,Diesel,2032,154200,73000,D4,HVO,0.224082,0.10926776116800001,7710.0,1542.0,0.3687829515,163452.3687829515,0.8376278063829791,8.0,,,D3
LNG_S3_2032,2032,S3,D3,1254261,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,209030.02773362715,0.4320581715441127,3.0,,,D3
LNG_S3_2032,2032,S3,D3,1254261,LNG_S3_2032,LNG,2032,197198,73000,D4,BioLNG,0.155192,0.058730705288,9859.900000000001,1971.98,0.16014883248,209030.0401488325,0.8161593359975201,7.0,,,D3
Diesel_S3_2031,2032,S3,D4,242813,Diesel_S3_2031,Diesel,2031,149709,73000,D4,B20,0.224082,0.68313190356,7485.450000000001,1497.09,0.32371557966,158691.86371557968,0.1868890869614965,2.0,4.0,4.0,D4
BEV_S3_2032,2032,S3,D4,250479,BEV_S3_2032,BEV,2032,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.114124815448,228800.05412481545,0.8131109130385035,4.0,,,D4
Diesel_S3_2032,2032,S3,D4,250479,Diesel_S3_2032,Diesel,2032,154200,73000,D4,B20,0.224082,0.68313190356,7710.0,1542.0,0.33059713788,163452.3305971379,0.17642031676687953,1.0,,,D4
Diesel_S3_2032,2032,S3,D4,250479,Diesel_S3_2032,Diesel,2032,154200,73000,D4,HVO,0.224082,0.10926776116800001,7710.0,1542.0,0.3687829515,163452.3687829515,0.8436129566454786,6.0,,,D4
LNG_S3_2032,2032,S3,D4,250479,LNG_S3_2032,LNG,2032,197198,73000,D4,LNG,0.153945,0.38273651955000004,9859.900000000001,1971.98,0.14773362714,209030.02773362715,0.4321455512568028,3.0,,,D4
LNG_S3_2032,2032,S3,D4,250479,LNG_S3_2032,LNG,2032,197198,73000,D4,BioLNG,0.155192,0.058730705288,9859.900000000001,1971.98,0.16014883248,209030.0401488325,0.8312041270177606,5.0,,,D4
LNG_S4_2028,2032,S4,D1,16863,LNG_S4_2028,LNG,2028,224266,118000,D4,LNG,0.157769,0.39224371011,11213.3,2242.66,0.154994001059,237722.11499400105,0.422840087479723,2.0,1.0,1.0,D1
BEV_S4_2032,2032,S4,D1,19298,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254,0.8483581709276599,5.0,,,D1
Diesel_S4_2032,2032,S4,D1,19298,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662,0.15164182907234014,1.0,,,D1
Diesel_S4_2032,2032,S4,D1,19298,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525,0.8430014188742303,4.0,,,D1
LNG_S4_2032,2032,S4,D1,19298,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913,0.42392502266684634,3.0,,,D1
LNG_S4_2032,2032,S4,D1,19298,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193,0.8573014927054655,6.0,,,D1
Diesel_S4_2028,2032,S4,D2,851953,Diesel_S4_2028,Diesel,2028,175366,118000,D4,B20,0.219827,0.67016019566,8768.300000000001,1753.66,0.2981425670199999,185888.258142567,0.19916371947950195,2.0,4.0,8.0,D2
BEV_S4_2030,2032,S4,D2,919290,BEV_S4_2030,BEV,2030,276287,118000,D3,Electricity,0.856448,0.0,13814.35,2762.87,0.1233995971839999,292864.3433995972,0.8008362805204979,4.0,4.0,8.0,D2
BEV_S4_2032,2032,S4,D2,967461,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254,0.8008362949562311,5.0,,,D2
Diesel_S4_2032,2032,S4,D2,967461,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662,0.1625989675627879,1.0,,,D2
Diesel_S4_2032,2032,S4,D2,967461,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525,0.836206612209731,7.0,,,D2
LNG_S4_2032,2032,S4,D2,967461,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913,0.41720396250906894,3.0,,,D2
LNG_S4_2032,2032,S4,D2,967461,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193,0.8140156827794238,6.0,,,D2
LNG_S4_2031,2032,S4,D3,139696,LNG_S4_2031,LNG,2031,245062,118000,D4,LNG,0.154278,0.38356442082,12253.1,2450.62,0.148923319176,259765.8689233192,0.42670780045489215,3.0,2.0,2.0,D3
BEV_S4_2032,2032,S4,D3,141391,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254,0.8507747321025375,5.0,,,D3
Diesel_S4_2032,2032,S4,D3,141391,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662,0.14922526789746252,1.0,,,D3
Diesel_S4_2032,2032,S4,D3,141391,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525,0.842894928636589,4.0,,,D3
LNG_S4_2032,2032,S4,D3,141391,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913,0.42405913213607127,2.0,,,D3
LNG_S4_2032,2032,S4,D3,141391,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193,0.8588293087634895,6.0,,,D3
Diesel_S4_2028,2032,S4,D4,2066,Diesel_S4_2028,Diesel,2028,175366,118000,D4,B20,0.219827,0.67016019566,8768.300000000001,1753.66,0.2981425670199999,185888.258142567,0.21717049122537904,2.0,1.0,1.0,D4
BEV_S4_2032,2032,S4,D4,2230,BEV_S4_2032,BEV,2032,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.11371745254400001,292864.33371745254,0.782829508774621,4.0,,,D4
Diesel_S4_2032,2032,S4,D4,2230,Diesel_S4_2032,Diesel,2032,197376,118000,D4,B20,0.219827,0.67016019566,9868.800000000001,1973.76,0.32431956618,209218.8843195662,0.1779823705347955,1.0,,,D4
Diesel_S4_2032,2032,S4,D4,2230,Diesel_S4_2032,Diesel,2032,197376,118000,D4,HVO,0.219827,0.107192921048,9868.800000000001,1973.76,0.36178028525,209218.92178028525,0.8353463895095156,6.0,,,D4
LNG_S4_2032,2032,S4,D4,2230,LNG_S4_2032,LNG,2032,252414,118000,D4,LNG,0.154278,0.38356442082000003,12620.7,2524.14,0.148053191256,267558.9880531913,0.41484669668150326,3.0,,,D4
LNG_S4_2032,2032,S4,D4,2230,LNG_S4_2032,LNG,2032,252414,118000,D4,BioLNG,0.154568,0.05849455935200001,12620.7,2524.14,0.15950490192000003,267558.99950490193,0.7997854681522538,5.0,,,D4
