Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Distance
Diesel_S1_2025,2026,S1,D1,877707,Diesel_S1_2025,Diesel,2025,0,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,5410.843968502961,0.2746750101775146,2.0,5.0,9.0,D1
LNG_S1_2025,2026,S1,D1,877707,LNG_S1_2025,LNG,2025,0,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,6365.565479194824,0.45487715629455,4.0,4.0,9.0,D1
BEV_S1_2026,2026,S1,D1,884095,BEV_S1_2026,BEV,2026,160329,102000,D2,Electricity,0.893043,0.0,8016.450000000001,1603.29,0.151519033638,9619.89151903364,0.7253249898224854,5.0,,,D1
Diesel_S1_2026,2026,S1,D1,884095,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.223016,0.6798821172799999,4644.05,928.8100000000001,0.29000554608,5573.15000554608,0.23967167992538826,1.0,,,D1
Diesel_S1_2026,2026,S1,D1,884095,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.223016,0.108747953984,4644.05,928.8100000000001,0.39168077063999995,5573.251680770641,0.8178606688031183,6.0,,,D1
LNG_S1_2026,2026,S1,D1,884095,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.164681,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.42671713975705544,3.0,,,D1
LNG_S1_2026,2026,S1,D1,884095,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.1632,0.06176124480000001,5463.6,1092.72,0.174437952,6556.494437952,0.8331439172864805,7.0,,,D1
Diesel_S1_2025,2026,S1,D2,2836223,Diesel_S1_2025,Diesel,2025,0,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,5410.843968502961,0.2746750101775146,2.0,13.0,28.0,D2
LNG_S1_2025,2026,S1,D2,2836223,LNG_S1_2025,LNG,2025,0,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,6365.565479194824,0.45487715629455,4.0,15.0,28.0,D2
BEV_S1_2026,2026,S1,D2,2909150,BEV_S1_2026,BEV,2026,160329,102000,D2,Electricity,0.893043,0.0,8016.450000000001,1603.29,0.151519033638,9619.89151903364,0.7253249898224854,5.0,,,D2
Diesel_S1_2026,2026,S1,D2,2909150,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.223016,0.6798821172799999,4644.05,928.8100000000001,0.29000554608,5573.15000554608,0.23967167992538826,1.0,,,D2
Diesel_S1_2026,2026,S1,D2,2909150,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.223016,0.108747953984,4644.05,928.8100000000001,0.39168077063999995,5573.251680770641,0.8178606688031183,6.0,,,D2
LNG_S1_2026,2026,S1,D2,2909150,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.164681,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.42671713975705544,3.0,,,D2
LNG_S1_2026,2026,S1,D2,2909150,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.1632,0.06176124480000001,5463.6,1092.72,0.174437952,6556.494437952,0.8331439172864805,7.0,,,D2
