Allocation,Operating Year,size,Distance_demand,demand,id,vehicle,Available Year,cost,yearly_range,Distance_vehicle,fuel,consumption_unitfuel_per_km,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles
BEV_S1_2034,2036,S1,D1,1143702,BEV_S1_2034,BEV,2034,0,102000,D4,Electricity,0.868161,0.0,0.0,0.0,0.097891229877,18670.525803498,0.9894744201796156,8.0,4,12
BEV_S1_2035,2036,S1,D1,1143702,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.097891229877,18236.70748812,0.9948257211988395,9.0,4,12
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.154735,0.38470060965,7342.650000000001,1468.53,0.145051838435,23606.467520370003,0.3874560485510221,2.0,4,12
BEV_S1_2034,2036,S1,D4,602557,BEV_S1_2034,BEV,2034,0,102000,D4,Electricity,0.868161,0.0,0.0,0.0,0.097891229877,18670.525803498,0.9898150859472925,7.0,2,6
BEV_S1_2035,2036,S1,D4,602557,BEV_S1_2035,BEV,2035,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.097891229877,18236.70748812,0.9949935117418586,8.0,3,6
LNG_S1_2036,2036,S1,D4,602557,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.154735,0.38470060965,7342.650000000001,1468.53,0.145051838435,23606.467520370003,0.3956354154674318,2.0,1,6
BEV_S2_2034,2036,S2,D1,1388729,BEV_S2_2034,BEV,2034,0,106000,D4,Electricity,0.85459,0.0,0.0,0.0,0.09636100463,22480.89844786,0.9896593927747597,9.0,6,14
LNG_S2_2035,2036,S2,D1,1388729,LNG_S2_2035,LNG,2035,0,106000,D4,LNG,0.155767,0.38726635773,11377.56,5688.78,0.146019256907,26946.56199486,0.6276877059163425,7.0,3,14
BEV_S2_2036,2036,S2,D1,1388729,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.09636100463,21611.08649078,0.5813625352471832,6.0,2,14
Diesel_S2_2036,2036,S2,D1,1388729,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.223852,0.68243073016,7636.35,1527.27,0.35925335924,47244.476079440006,0.12260776828888724,1.0,3,14
BEV_S2_2032,2036,S2,D2,1982301,BEV_S2_2032,BEV,2032,0,106000,D4,Electricity,0.85459,0.0,0.0,0.0,0.09636100463,23424.71960812,0.9786402417385086,9.0,5,19
BEV_S2_2033,2036,S2,D2,1982301,BEV_S2_2033,BEV,2033,0,106000,D4,Electricity,0.85459,0.0,0.0,0.0,0.09636100463,22943.16156148,0.9842482205403189,10.0,6,19
LNG_S2_2035,2036,S2,D2,1982301,LNG_S2_2035,LNG,2035,0,106000,D4,LNG,0.155767,0.38726635773,11377.56,5688.78,0.146019256907,26946.56199486,0.6373212372698048,7.0,3,19
BEV_S2_2036,2036,S2,D2,1982301,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.09636100463,21611.08649078,0.5682632030371098,6.0,2,19
Diesel_S2_2036,2036,S2,D2,1982301,Diesel_S2_2036,Diesel,2036,152727,106000,D4,B20,0.223852,0.68243073016,7636.35,1527.27,0.35925335924,47244.476079440006,0.12693249522463526,1.0,3,19
BEV_S2_2033,2036,S2,D3,1103197,BEV_S2_2033,BEV,2033,0,106000,D4,Electricity,0.85459,0.0,0.0,0.0,0.09636100463,22943.16156148,0.9847519015442051,7.0,4,11
BEV_S2_2035,2036,S2,D3,1103197,BEV_S2_2035,BEV,2035,0,106000,D4,Electricity,0.85459,0.0,11396.82,5698.41,0.09636100463,22037.1149884,0.9950869896759372,8.0,3,11
BEV_S2_2036,2036,S2,D3,1103197,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.09636100463,21611.08649078,0.6333767346615512,6.0,2,11
LNG_S2_2036,2036,S2,D3,1103197,LNG_S2_2036,LNG,2036,195314,106000,D4,LNG,0.155767,0.38726635773,9765.7,1953.14,0.146019256907,27196.881232141997,0.3779770129549994,2.0,2,11
BEV_S2_2034,2036,S2,D4,180140,BEV_S2_2034,BEV,2034,0,106000,D4,Electricity,0.85459,0.0,0.0,0.0,0.09636100463,22480.89844786,0.9899712051202577,6.0,1,2
BEV_S2_2036,2036,S2,D4,180140,BEV_S2_2036,BEV,2036,189947,106000,D4,Electricity,0.85459,0.0,9497.35,1899.47,0.09636100463,21611.08649078,0.6571127640132203,5.0,1,2
BEV_S3_2036,2036,S3,D2,3269872,BEV_S3_2036,BEV,2036,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.096916445612,20025.840529676,0.905932964655262,5.0,14,45
Diesel_S3_2036,2036,S3,D2,3269872,Diesel_S3_2036,Diesel,2036,173553,73000,D4,B20,0.224082,0.68313190356,8677.65,1735.53,0.35962247934,36665.620991820004,0.10620155409648725,1.0,12,45
LNG_S3_2036,2036,S3,D2,3269872,LNG_S3_2036,LNG,2036,221948,73000,D4,LNG,0.153945,0.38273651955000004,11097.400000000001,2219.48,0.144311275845,23851.603136685,0.46166356001844644,2.0,19,45
BEV_S3_2033,2036,S3,D3,1377326,BEV_S3_2033,BEV,2033,0,73000,D4,Electricity,0.859516,0.0,0.0,0.0,0.096916445612,20948.500872616,0.9871886864170306,9.0,3,19
BEV_S3_2034,2036,S3,D3,1377326,BEV_S3_2034,BEV,2034,0,73000,D4,Electricity,0.859516,0.0,0.0,0.0,0.096916445612,20628.314831812,0.9916055399531113,10.0,4,19
BEV_S3_2035,2036,S3,D3,1377326,BEV_S3_2035,BEV,2035,0,73000,D4,Electricity,0.859516,0.0,12950.939999999999,6475.469999999999,0.096916445612,20320.92870328,0.995874795246845,11.0,4,19
LNG_S3_2035,2036,S3,D3,1377326,LNG_S3_2035,LNG,2035,0,73000,D4,LNG,0.153945,0.38273651955,12929.039999999999,6464.5199999999995,0.144311275845,23525.673196050004,0.6130759787318314,6.0,3,19
BEV_S3_2036,2036,S3,D3,1377326,BEV_S3_2036,BEV,2036,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.096916445612,20025.840529676,0.5916082027887474,5.0,3,19
LNG_S3_2036,2036,S3,D3,1377326,LNG_S3_2036,LNG,2036,221948,73000,D4,LNG,0.153945,0.38273651955000004,11097.400000000001,2219.48,0.144311275845,23851.603136685,0.3475880884206455,2.0,2,19
BEV_S3_2035,2036,S3,D4,280914,BEV_S3_2035,BEV,2035,0,73000,D4,Electricity,0.859516,0.0,12950.939999999999,6475.469999999999,0.096916445612,20320.92870328,0.9959447324809687,7.0,3,4
BEV_S3_2036,2036,S3,D4,280914,BEV_S3_2036,BEV,2036,215849,73000,D4,Electricity,0.859516,0.0,10792.45,2158.4900000000002,0.096916445612,20025.840529676,0.6521136521761037,5.0,1,4
BEV_S4_2032,2036,S4,D1,22740,BEV_S4_2032,BEV,2032,0,118000,D4,Electricity,0.856448,0.0,0.0,0.0,0.09657050713599999,29995.879400192003,0.9805723293025085,6.0,1,1
BEV_S4_2033,2036,S4,D2,1134238,BEV_S4_2033,BEV,2033,0,118000,D4,Electricity,0.856448,0.0,0.0,0.0,0.09657050713599999,29458.639847168,0.9857964923173707,7.0,3,10
BEV_S4_2034,2036,S4,D2,1134238,BEV_S4_2034,BEV,2034,0,118000,D4,Electricity,0.856448,0.0,0.0,0.0,0.09657050713599999,28942.926258176,0.9906910297433057,8.0,5,10
BEV_S4_2036,2036,S4,D2,1134238,BEV_S4_2036,BEV,2036,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.09657050713599999,27972.539842047998,0.629177240161401,6.0,1,10
LNG_S4_2036,2036,S4,D2,1134238,LNG_S4_2036,LNG,2036,284094,118000,D4,LNG,0.154278,0.38356442082000003,14204.7,2840.94,0.14462343703799999,34111.205570484,0.3651063932352415,2.0,1,10
BEV_S4_2033,2036,S4,D3,151090,BEV_S4_2033,BEV,2033,0,118000,D4,Electricity,0.856448,0.0,0.0,0.0,0.09657050713599999,29458.639847168,0.9856540705992095,6.0,1,2
BEV_S4_2036,2036,S4,D3,151090,BEV_S4_2036,BEV,2036,276287,118000,D4,Electricity,0.856448,0.0,13814.35,2762.87,0.09657050713599999,27972.539842047998,0.6535923537855289,5.0,1,2
BEV_S4_2032,2036,S4,D4,2412,BEV_S4_2032,BEV,2032,0,118000,D4,Electricity,0.856448,0.0,0.0,0.0,0.09657050713599999,29995.879400192003,0.9805723293025085,6.0,1,1
