Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost
BEV_S1_2025,2025,S1,D1,877707,BEV_S1_2025,BEV,2025,168767,102000,D1,Electricity,0.893043,0.0,8438.35,1687.67,0.157838205906,178893.1778382059
Diesel_S1_2025,2025,S1,D1,877707,Diesel_S1_2025,Diesel,2025,90176,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,95586.84396850296
Diesel_S1_2025,2025,S1,D1,877707,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.223016,0.108747953984,4508.8,901.76,0.39594706671999996,95586.95594706672
LNG_S1_2025,2025,S1,D1,877707,LNG_S1_2025,LNG,2025,106090,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,112455.56547919482
LNG_S1_2025,2025,S1,D1,877707,LNG_S1_2025,LNG,2025,106090,102000,D4,BioLNG,0.165159,0.062502606801,5304.5,1060.9,0.17756904726,112455.57756904727
Diesel_S1_2025,2025,S1,D2,2836223,Diesel_S1_2025,Diesel,2025,90176,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,95586.84396850296
Diesel_S1_2025,2025,S1,D2,2836223,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.223016,0.108747953984,4508.8,901.76,0.39594706671999996,95586.95594706672
LNG_S1_2025,2025,S1,D2,2836223,LNG_S1_2025,LNG,2025,106090,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,112455.56547919482
LNG_S1_2025,2025,S1,D2,2836223,LNG_S1_2025,LNG,2025,106090,102000,D4,BioLNG,0.165159,0.062502606801,5304.5,1060.9,0.17756904726,112455.57756904727
Diesel_S1_2025,2025,S1,D3,3446113,Diesel_S1_2025,Diesel,2025,90176,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,95586.84396850296
Diesel_S1_2025,2025,S1,D3,3446113,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.223016,0.108747953984,4508.8,901.76,0.39594706671999996,95586.95594706672
LNG_S1_2025,2025,S1,D3,3446113,LNG_S1_2025,LNG,2025,106090,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,112455.56547919482
LNG_S1_2025,2025,S1,D3,3446113,LNG_S1_2025,LNG,2025,106090,102000,D4,BioLNG,0.165159,0.062502606801,5304.5,1060.9,0.17756904726,112455.57756904727
Diesel_S1_2025,2025,S1,D4,439767,Diesel_S1_2025,Diesel,2025,90176,102000,D4,B20,0.223016,0.6798821172799999,4508.8,901.76,0.28396850296,95586.84396850296
Diesel_S1_2025,2025,S1,D4,439767,Diesel_S1_2025,Diesel,2025,90176,102000,D4,HVO,0.223016,0.108747953984,4508.8,901.76,0.39594706671999996,95586.95594706672
LNG_S1_2025,2025,S1,D4,439767,LNG_S1_2025,LNG,2025,106090,102000,D4,LNG,0.165507,0.41148184833,5304.5,1060.9,0.165479194824,112455.56547919482
LNG_S1_2025,2025,S1,D4,439767,LNG_S1_2025,LNG,2025,106090,102000,D4,BioLNG,0.165159,0.062502606801,5304.5,1060.9,0.17756904726,112455.57756904727
BEV_S2_2025,2025,S2,D1,1082065,BEV_S2_2025,BEV,2025,245480,106000,D1,Electricity,0.8968,0.0,12274.0,2454.8,0.15850222560000002,260208.9585022256
Diesel_S2_2025,2025,S2,D1,1082065,Diesel_S2_2025,Diesel,2025,110333,106000,D4,B20,0.223852,0.68243073016,5516.650000000001,1103.33,0.28503299012,116953.26503299012
Diesel_S2_2025,2025,S2,D1,1082065,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.223852,0.109155607648,5516.650000000001,1103.33,0.39743131783999996,116953.37743131784
LNG_S2_2025,2025,S2,D1,1082065,LNG_S2_2025,LNG,2025,141099,106000,D4,LNG,0.165239,0.41081554941000004,7054.950000000001,1410.99,0.165211239848,149565.10521123986
LNG_S2_2025,2025,S2,D1,1082065,LNG_S2_2025,LNG,2025,141099,106000,D4,BioLNG,0.167185,0.063269324215,7054.950000000001,1410.99,0.1797472809,149565.1197472809
Diesel_S2_2025,2025,S2,D2,1410584,Diesel_S2_2025,Diesel,2025,110333,106000,D4,B20,0.223852,0.68243073016,5516.650000000001,1103.33,0.28503299012,116953.26503299012
Diesel_S2_2025,2025,S2,D2,1410584,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.223852,0.109155607648,5516.650000000001,1103.33,0.39743131783999996,116953.37743131784
LNG_S2_2025,2025,S2,D2,1410584,LNG_S2_2025,LNG,2025,141099,106000,D4,LNG,0.165239,0.41081554941000004,7054.950000000001,1410.99,0.165211239848,149565.10521123986
LNG_S2_2025,2025,S2,D2,1410584,LNG_S2_2025,LNG,2025,141099,106000,D4,BioLNG,0.167185,0.063269324215,7054.950000000001,1410.99,0.1797472809,149565.1197472809
Diesel_S2_2025,2025,S2,D3,821678,Diesel_S2_2025,Diesel,2025,110333,106000,D4,B20,0.223852,0.68243073016,5516.650000000001,1103.33,0.28503299012,116953.26503299012
Diesel_S2_2025,2025,S2,D3,821678,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.223852,0.109155607648,5516.650000000001,1103.33,0.39743131783999996,116953.37743131784
LNG_S2_2025,2025,S2,D3,821678,LNG_S2_2025,LNG,2025,141099,106000,D4,LNG,0.165239,0.41081554941000004,7054.950000000001,1410.99,0.165211239848,149565.10521123986
LNG_S2_2025,2025,S2,D3,821678,LNG_S2_2025,LNG,2025,141099,106000,D4,BioLNG,0.167185,0.063269324215,7054.950000000001,1410.99,0.1797472809,149565.1197472809
Diesel_S2_2025,2025,S2,D4,137231,Diesel_S2_2025,Diesel,2025,110333,106000,D4,B20,0.223852,0.68243073016,5516.650000000001,1103.33,0.28503299012,116953.26503299012
Diesel_S2_2025,2025,S2,D4,137231,Diesel_S2_2025,Diesel,2025,110333,106000,D4,HVO,0.223852,0.109155607648,5516.650000000001,1103.33,0.39743131783999996,116953.37743131784
LNG_S2_2025,2025,S2,D4,137231,LNG_S2_2025,LNG,2025,141099,106000,D4,LNG,0.165239,0.41081554941000004,7054.950000000001,1410.99,0.165211239848,149565.10521123986
LNG_S2_2025,2025,S2,D4,137231,LNG_S2_2025,LNG,2025,141099,106000,D4,BioLNG,0.167185,0.063269324215,7054.950000000001,1410.99,0.1797472809,149565.1197472809
BEV_S4_2025,2025,S4,D1,15615,BEV_S4_2025,BEV,2025,357061,118000,D1,Electricity,0.900664,0.0,17853.05,3570.61,0.159185156688,378484.81918515667
Diesel_S4_2025,2025,S4,D1,15615,Diesel_S4_2025,Diesel,2025,160485,118000,D4,B20,0.219827,0.67016019566,8024.25,1604.8500000000001,0.27990791737,170114.37990791738
Diesel_S4_2025,2025,S4,D1,15615,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.219827,0.107192921048,8024.25,1604.8500000000001,0.39028525234,170114.49028525234
LNG_S4_2025,2025,S4,D1,15615,LNG_S4_2025,LNG,2025,205235,118000,D4,LNG,0.167274,0.41587494606000003,10261.75,2052.35,0.16724589796800002,217549.26724589797
LNG_S4_2025,2025,S4,D1,15615,LNG_S4_2025,LNG,2025,205235,118000,D4,BioLNG,0.166088,0.062854176632,10261.75,2052.35,0.17856785232000003,217549.2785678523
Diesel_S4_2025,2025,S4,D2,791079,Diesel_S4_2025,Diesel,2025,160485,118000,D4,B20,0.219827,0.67016019566,8024.25,1604.8500000000001,0.27990791737,170114.37990791738
Diesel_S4_2025,2025,S4,D2,791079,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.219827,0.107192921048,8024.25,1604.8500000000001,0.39028525234,170114.49028525234
LNG_S4_2025,2025,S4,D2,791079,LNG_S4_2025,LNG,2025,205235,118000,D4,LNG,0.167274,0.41587494606000003,10261.75,2052.35,0.16724589796800002,217549.26724589797
LNG_S4_2025,2025,S4,D2,791079,LNG_S4_2025,LNG,2025,205235,118000,D4,BioLNG,0.166088,0.062854176632,10261.75,2052.35,0.17856785232000003,217549.2785678523
Diesel_S4_2025,2025,S4,D3,123252,Diesel_S4_2025,Diesel,2025,160485,118000,D4,B20,0.219827,0.67016019566,8024.25,1604.8500000000001,0.27990791737,170114.37990791738
Diesel_S4_2025,2025,S4,D3,123252,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.219827,0.107192921048,8024.25,1604.8500000000001,0.39028525234,170114.49028525234
LNG_S4_2025,2025,S4,D3,123252,LNG_S4_2025,LNG,2025,205235,118000,D4,LNG,0.167274,0.41587494606000003,10261.75,2052.35,0.16724589796800002,217549.26724589797
LNG_S4_2025,2025,S4,D3,123252,LNG_S4_2025,LNG,2025,205235,118000,D4,BioLNG,0.166088,0.062854176632,10261.75,2052.35,0.17856785232000003,217549.2785678523
Diesel_S4_2025,2025,S4,D4,1927,Diesel_S4_2025,Diesel,2025,160485,118000,D4,B20,0.219827,0.67016019566,8024.25,1604.8500000000001,0.27990791737,170114.37990791738
Diesel_S4_2025,2025,S4,D4,1927,Diesel_S4_2025,Diesel,2025,160485,118000,D4,HVO,0.219827,0.107192921048,8024.25,1604.8500000000001,0.39028525234,170114.49028525234
LNG_S4_2025,2025,S4,D4,1927,LNG_S4_2025,LNG,2025,205235,118000,D4,LNG,0.167274,0.41587494606000003,10261.75,2052.35,0.16724589796800002,217549.26724589797
LNG_S4_2025,2025,S4,D4,1927,LNG_S4_2025,LNG,2025,205235,118000,D4,BioLNG,0.166088,0.062854176632,10261.75,2052.35,0.17856785232000003,217549.2785678523
BEV_S3_2025,2025,S3,D1,2255136,BEV_S3_2025,BEV,2025,278954,73000,D1,Electricity,0.898003,0.0,13947.7,2789.54,0.15871484622600002,295691.39871484623
Diesel_S3_2025,2025,S3,D1,2255136,Diesel_S3_2025,Diesel,2025,125379,73000,D4,B20,0.224082,0.68313190356,6268.950000000001,1253.79,0.28532585142,132902.02532585143
Diesel_S3_2025,2025,S3,D1,2255136,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.224082,0.10926776116800001,6268.950000000001,1253.79,0.39783966444,132902.13783966444
LNG_S3_2025,2025,S3,D1,2255136,LNG_S3_2025,LNG,2025,160340,73000,D4,LNG,0.164823,0.40978129437,8017.0,1603.4,0.164795309736,169960.56479530974
LNG_S3_2025,2025,S3,D1,2255136,LNG_S3_2025,LNG,2025,160340,73000,D4,BioLNG,0.164684,0.062322848276,8017.0,1603.4,0.17705835576,169960.57705835576
Diesel_S3_2025,2025,S3,D2,2501227,Diesel_S3_2025,Diesel,2025,125379,73000,D4,B20,0.224082,0.68313190356,6268.950000000001,1253.79,0.28532585142,132902.02532585143
Diesel_S3_2025,2025,S3,D2,2501227,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.224082,0.10926776116800001,6268.950000000001,1253.79,0.39783966444,132902.13783966444
LNG_S3_2025,2025,S3,D2,2501227,LNG_S3_2025,LNG,2025,160340,73000,D4,LNG,0.164823,0.40978129437,8017.0,1603.4,0.164795309736,169960.56479530974
LNG_S3_2025,2025,S3,D2,2501227,LNG_S3_2025,LNG,2025,160340,73000,D4,BioLNG,0.164684,0.062322848276,8017.0,1603.4,0.17705835576,169960.57705835576
Diesel_S3_2025,2025,S3,D3,1053662,Diesel_S3_2025,Diesel,2025,125379,73000,D4,B20,0.224082,0.68313190356,6268.950000000001,1253.79,0.28532585142,132902.02532585143
Diesel_S3_2025,2025,S3,D3,1053662,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.224082,0.10926776116800001,6268.950000000001,1253.79,0.39783966444,132902.13783966444
LNG_S3_2025,2025,S3,D3,1053662,LNG_S3_2025,LNG,2025,160340,73000,D4,LNG,0.164823,0.40978129437,8017.0,1603.4,0.164795309736,169960.56479530974
LNG_S3_2025,2025,S3,D3,1053662,LNG_S3_2025,LNG,2025,160340,73000,D4,BioLNG,0.164684,0.062322848276,8017.0,1603.4,0.17705835576,169960.57705835576
Diesel_S3_2025,2025,S3,D4,218537,Diesel_S3_2025,Diesel,2025,125379,73000,D4,B20,0.224082,0.68313190356,6268.950000000001,1253.79,0.28532585142,132902.02532585143
Diesel_S3_2025,2025,S3,D4,218537,Diesel_S3_2025,Diesel,2025,125379,73000,D4,HVO,0.224082,0.10926776116800001,6268.950000000001,1253.79,0.39783966444,132902.13783966444
LNG_S3_2025,2025,S3,D4,218537,LNG_S3_2025,LNG,2025,160340,73000,D4,LNG,0.164823,0.40978129437,8017.0,1603.4,0.164795309736,169960.56479530974
