Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2030,S1,D1,BEV,Electricity,10,10,1009798,1009798,102000,99.0,100.0,0.0,0.0
BEV_S1_2030,S1,D2,BEV,Electricity,33,33,3285854,3285854,102000,97.62,100.0,0.0,0.0
BEV_S1_2030,S1,D3,BEV,Electricity,39,39,3959514,3959514,102000,99.54,100.0,0.0,0.0
LNG_S1_2030,S1,D4,LNG,BioLNG,5,5,496273,496273,102000,97.31,100.0,28994.15,0.0584
BEV_S2_2030,S2,D1,BEV,Electricity,12,12,1231293,1231293,106000,96.8,100.0,0.0,0.0
BEV_S2_2030,S2,D2,BEV,Electricity,16,16,1624238,1624238,106000,95.77,100.0,0.0,0.0
BEV_S2_2030,S2,D3,BEV,Electricity,9,9,931478,931478,106000,97.64,100.0,0.0,0.0
LNG_S2_2030,S2,D4,LNG,BioLNG,2,2,155565,155565,106000,73.38,100.0,9127.43,0.0587
BEV_S3_2030,S3,D1,BEV,Electricity,35,35,2518188,2518188,73000,98.56,100.0,0.0,0.0
BEV_S3_2030,S3,D2,BEV,Electricity,39,39,2800498,2800498,73000,98.37,100.0,0.0,0.0
BEV_S3_2030,S3,D3,BEV,Electricity,17,17,1216569,1216569,73000,98.03,100.0,0.0,0.0
LNG_S3_2030,S3,D4,LNG,BioLNG,4,4,240767,240767,73000,82.45,100.0,14140.42,0.0587
BEV_S4_2030,S4,D1,BEV,Electricity,1,1,18168,18168,118000,15.4,100.0,0.0,0.0
BEV_S4_2030,S4,D2,BEV,Electricity,8,8,919290,919290,118000,97.38,100.0,0.0,0.0
BEV_S4_2030,S4,D3,BEV,Electricity,2,2,136344,136344,118000,57.77,100.0,0.0,0.0
LNG_S4_2030,S4,D4,LNG,BioLNG,1,1,2114,2114,118000,1.79,100.0,123.66,0.0585
