Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2032,S1,D1,BEV,Electricity,11,11,1069740,1069740,102000,95.34,100.0,0.0,0.0
BEV_S1_2032,S1,D2,BEV,Electricity,34,34,3430934,3430934,102000,98.93,100.0,0.0,0.0
BEV_S1_2032,S1,D3,BEV,Electricity,42,42,4237026,4237026,102000,98.9,100.0,0.0,0.0
BEV_S1_2032,S1,D4,BEV,Electricity,6,6,542921,542921,102000,88.71,100.0,0.0,0.0
BEV_S2_2032,S2,D1,BEV,Electricity,12,12,1257890,1257890,106000,98.89,100.0,0.0,0.0
BEV_S2_2032,S2,D2,BEV,Electricity,17,17,1759215,1759215,106000,97.63,100.0,0.0,0.0
BEV_S2_2032,S2,D3,BEV,Electricity,10,10,980430,980430,106000,92.49,100.0,0.0,0.0
BEV_S2_2032,S2,D4,BEV,Electricity,2,2,163126,163126,106000,76.95,100.0,0.0,0.0
BEV_S3_2032,S3,D1,BEV,Electricity,38,38,2708133,2708133,73000,97.63,100.0,0.0,0.0
BEV_S3_2032,S3,D2,BEV,Electricity,40,40,2863674,2863674,73000,98.07,100.0,0.0,0.0
BEV_S3_2032,S3,D3,BEV,Electricity,18,18,1254261,1254261,73000,95.45,100.0,0.0,0.0
BEV_S3_2032,S3,D4,BEV,Electricity,4,4,250479,250479,73000,85.78,100.0,0.0,0.0
BEV_S4_2032,S4,D1,BEV,Electricity,1,1,19298,19298,118000,16.35,100.0,0.0,0.0
BEV_S4_2032,S4,D2,BEV,Electricity,9,9,967461,967461,118000,91.1,100.0,0.0,0.0
BEV_S4_2032,S4,D3,BEV,Electricity,2,2,141391,141391,118000,59.91,100.0,0.0,0.0
BEV_S4_2032,S4,D4,BEV,Electricity,1,1,2230,2230,118000,1.89,100.0,0.0,0.0
