Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2037,S1,D1,BEV,Electricity,12,12,1196265,1196265,102000,97.73,100.0,0.0,0.0
BEV_S1_2037,S1,D2,BEV,Electricity,39,39,3953052,3953052,102000,99.37,100.0,0.0,0.0
BEV_S1_2037,S1,D3,BEV,Electricity,46,46,4663966,4663966,102000,99.4,100.0,0.0,0.0
BEV_S1_2037,S1,D4,BEV,Electricity,7,7,630092,630092,102000,88.25,100.0,0.0,0.0
BEV_S2_2037,S2,D1,BEV,Electricity,14,14,1402031,1402031,106000,94.48,100.0,0.0,0.0
BEV_S2_2037,S2,D2,BEV,Electricity,20,20,2079105,2079105,106000,98.07,100.0,0.0,0.0
BEV_S2_2037,S2,D3,BEV,Electricity,11,11,1131832,1131832,106000,97.07,100.0,0.0,0.0
BEV_S2_2037,S2,D4,BEV,Electricity,2,2,186733,186733,106000,88.08,100.0,0.0,0.0
BEV_S3_2037,S3,D1,BEV,Electricity,43,43,3128820,3128820,73000,99.68,100.0,0.0,0.0
BEV_S3_2037,S3,D2,BEV,Electricity,45,45,3274991,3274991,73000,99.7,100.0,0.0,0.0
BEV_S3_2037,S3,D3,BEV,Electricity,19,19,1384988,1384988,73000,99.85,100.0,0.0,0.0
BEV_S3_2037,S3,D4,BEV,Electricity,5,5,292856,292856,73000,80.23,100.0,0.0,0.0
BEV_S4_2037,S4,D1,BEV,Electricity,1,1,23254,23254,118000,19.71,100.0,0.0,0.0
BEV_S4_2037,S4,D2,BEV,Electricity,10,10,1146520,1146520,118000,97.16,100.0,0.0,0.0
BEV_S4_2037,S4,D3,BEV,Electricity,2,2,156518,156518,118000,66.32,100.0,0.0,0.0
BEV_S4_2037,S4,D4,BEV,Electricity,1,1,2414,2414,118000,2.05,100.0,0.0,0.0
