Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2031,S1,D1,BEV,Electricity,11,11,1042251,1042251,102000,92.89,100.0,0.0,0.0
BEV_S1_2031,S1,D2,BEV,Electricity,33,33,3310718,3310718,102000,98.36,100.0,0.0,0.0
BEV_S1_2031,S1,D3,BEV,Electricity,40,40,4061449,4061449,102000,99.55,100.0,0.0,0.0
LNG_S1_2031,S1,D4,LNG,BioLNG,6,6,518651,518651,102000,84.75,100.0,30301.56,0.0584
BEV_S2_2031,S2,D1,BEV,Electricity,12,12,1240402,1240402,106000,97.52,100.0,0.0,0.0
BEV_S2_2031,S2,D2,BEV,Electricity,16,16,1689196,1689196,106000,99.6,100.0,0.0,0.0
BEV_S2_2031,S2,D3,BEV,Electricity,9,9,943472,943472,106000,98.9,100.0,0.0,0.0
LNG_S2_2031,S2,D4,LNG,BioLNG,2,2,161977,161977,106000,76.4,100.0,9503.64,0.0587
BEV_S3_2031,S3,D1,BEV,Electricity,36,36,2619164,2619164,73000,99.66,100.0,0.0,0.0
BEV_S3_2031,S3,D2,BEV,Electricity,39,39,2814164,2814164,73000,98.85,100.0,0.0,0.0
BEV_S3_2031,S3,D3,BEV,Electricity,17,17,1234148,1234148,73000,99.45,100.0,0.0,0.0
LNG_S3_2031,S3,D4,LNG,BioLNG,4,4,242813,242813,73000,83.16,100.0,14260.58,0.0587
BEV_S4_2031,S4,D1,BEV,Electricity,1,1,18747,18747,118000,15.89,100.0,0.0,0.0
BEV_S4_2031,S4,D2,BEV,Electricity,8,8,941960,941960,118000,99.78,100.0,0.0,0.0
BEV_S4_2031,S4,D3,BEV,Electricity,2,2,139696,139696,118000,59.19,100.0,0.0,0.0
LNG_S4_2031,S4,D4,LNG,BioLNG,1,1,2198,2198,118000,1.86,100.0,128.57,0.0585
