Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2033,S1,D1,BEV,Electricity,11,11,1070915,1070915,102000,95.45,100.0,0.0,0.0
BEV_S1_2033,S1,D2,BEV,Electricity,35,35,3491886,3491886,102000,97.81,100.0,0.0,0.0
BEV_S1_2033,S1,D3,BEV,Electricity,43,43,4290083,4290083,102000,97.81,100.0,0.0,0.0
BEV_S1_2033,S1,D4,BEV,Electricity,6,6,563313,563313,102000,92.04,100.0,0.0,0.0
BEV_S2_2033,S2,D1,BEV,Electricity,13,13,1283026,1283026,106000,93.11,100.0,0.0,0.0
BEV_S2_2033,S2,D2,BEV,Electricity,17,17,1790314,1790314,106000,99.35,100.0,0.0,0.0
BEV_S2_2033,S2,D3,BEV,Electricity,10,10,1007259,1007259,106000,95.02,100.0,0.0,0.0
BEV_S2_2033,S2,D4,BEV,Electricity,2,2,168141,168141,106000,79.31,100.0,0.0,0.0
BEV_S3_2033,S3,D1,BEV,Electricity,39,39,2820991,2820991,73000,99.09,100.0,0.0,0.0
BEV_S3_2033,S3,D2,BEV,Electricity,41,41,2974170,2974170,73000,99.37,100.0,0.0,0.0
BEV_S3_2033,S3,D3,BEV,Electricity,18,18,1270139,1270139,73000,96.66,100.0,0.0,0.0
BEV_S3_2033,S3,D4,BEV,Electricity,4,4,262313,262313,73000,89.83,100.0,0.0,0.0
BEV_S4_2033,S4,D1,BEV,Electricity,1,1,19951,19951,118000,16.91,100.0,0.0,0.0
BEV_S4_2033,S4,D2,BEV,Electricity,9,9,1013174,1013174,118000,95.4,100.0,0.0,0.0
BEV_S4_2033,S4,D3,BEV,Electricity,2,2,146270,146270,118000,61.98,100.0,0.0,0.0
BEV_S4_2033,S4,D4,BEV,Electricity,1,1,2236,2236,118000,1.89,100.0,0.0,0.0
