Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2024,S1,D1,BEV,Electricity,9,9,877242,877242,102000,95.56,100.0,0.0,0.0
LNG_S1_2024,S1,D2,LNG,BioLNG,27,27,2716195,2716195,102000,98.63,100.0,169769.27,0.0625
LNG_S1_2024,S1,D3,LNG,BioLNG,33,33,3336604,3336604,102000,99.13,100.0,208546.45,0.0625
LNG_S1_2024,S1,D4,LNG,BioLNG,5,5,419981,419981,102000,82.35,100.0,26249.91,0.0625
BEV_S2_2024,S2,D1,BEV,Electricity,10,10,1043209,1043209,106000,98.42,100.0,0.0,0.0
LNG_S2_2024,S2,D2,LNG,BioLNG,14,14,1391987,1391987,106000,93.8,100.0,88070.08,0.0633
LNG_S2_2024,S2,D3,LNG,BioLNG,8,8,807076,807076,106000,95.17,100.0,51063.15,0.0633
LNG_S2_2024,S2,D4,LNG,BioLNG,2,2,133712,133712,106000,63.07,100.0,8459.87,0.0633
BEV_S3_2024,S3,D1,BEV,Electricity,31,31,2239440,2239440,73000,98.96,100.0,0.0,0.0
LNG_S3_2024,S3,D2,LNG,BioLNG,34,34,2453497,2453497,73000,98.85,100.0,152908.92,0.0623
LNG_S3_2024,S3,D3,LNG,BioLNG,15,15,1029375,1029375,73000,94.01,100.0,64153.58,0.0623
LNG_S3_2024,S3,D4,LNG,BioLNG,3,3,208440,208440,73000,95.18,100.0,12990.57,0.0623
BEV_S4_2024,S4,D1,BEV,Electricity,1,1,15200,15200,118000,12.88,100.0,0.0,0.0
LNG_S4_2024,S4,D2,LNG,BioLNG,7,7,780979,780979,118000,94.55,100.0,49087.79,0.0629
LNG_S4_2024,S4,D3,LNG,BioLNG,2,2,122186,122186,118000,51.77,100.0,7679.9,0.0629
LNG_S4_2024,S4,D4,LNG,BioLNG,1,1,1893,1893,118000,1.6,100.0,118.98,0.0629
