Allocation,Size,Distance,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
BEV_S1_2035,S1,D1,BEV,Electricity,11,11,1106719,1106719,102000,98.64,100.0,0.0,0.0
BEV_S1_2035,S1,D2,BEV,Electricity,37,37,3746146,3746146,102000,99.26,100.0,0.0,0.0
BEV_S1_2035,S1,D3,BEV,Electricity,44,44,4476447,4476447,102000,99.74,100.0,0.0,0.0
BEV_S1_2035,S1,D4,BEV,Electricity,6,6,588196,588196,102000,96.11,100.0,0.0,0.0
BEV_S2_2035,S2,D1,BEV,Electricity,13,13,1350533,1350533,106000,98.01,100.0,0.0,0.0
BEV_S2_2035,S2,D2,BEV,Electricity,19,19,1934621,1934621,106000,96.06,100.0,0.0,0.0
BEV_S2_2035,S2,D3,BEV,Electricity,10,10,1053870,1053870,106000,99.42,100.0,0.0,0.0
BEV_S2_2035,S2,D4,BEV,Electricity,2,2,176929,176929,106000,83.46,100.0,0.0,0.0
BEV_S3_2035,S3,D1,BEV,Electricity,40,40,2908543,2908543,73000,99.61,100.0,0.0,0.0
BEV_S3_2035,S3,D2,BEV,Electricity,45,45,3247401,3247401,73000,98.86,100.0,0.0,0.0
BEV_S3_2035,S3,D3,BEV,Electricity,19,19,1360337,1360337,73000,98.08,100.0,0.0,0.0
BEV_S3_2035,S3,D4,BEV,Electricity,4,4,274741,274741,73000,94.09,100.0,0.0,0.0
BEV_S4_2035,S4,D1,BEV,Electricity,1,1,21666,21666,118000,18.36,100.0,0.0,0.0
BEV_S4_2035,S4,D2,BEV,Electricity,10,10,1107787,1107787,118000,93.88,100.0,0.0,0.0
BEV_S4_2035,S4,D3,BEV,Electricity,2,2,147590,147590,118000,62.54,100.0,0.0,0.0
BEV_S4_2035,S4,D4,BEV,Electricity,1,1,2369,2369,118000,2.01,100.0,0.0,0.0
