Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2036,2036,S1,D1,1143702,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877,7835.437891229878,0.978354719828859,1.0,D1
Diesel_S1_2036,2036,S1,D1,1143702,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792,7489.85791168792,0.0781417974636571,5.0,D1
Diesel_S1_2036,2036,S1,D1,1143702,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.3514620651999999,7489.8514620652,0.8407282412115358,3.0,D1
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435,8811.325051838436,0.43144162275308423,4.0,D1
LNG_S1_2036,2036,S1,D1,1143702,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943,8811.33562067943,0.8833514936738365,2.0,D1
BEV_S1_2036,2036,S1,D2,3821393,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877,7835.437891229878,0.978354719828859,1.0,D2
Diesel_S1_2036,2036,S1,D2,3821393,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792,7489.85791168792,0.0781417974636571,5.0,D2
Diesel_S1_2036,2036,S1,D2,3821393,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.3514620651999999,7489.8514620652,0.8407282412115358,3.0,D2
LNG_S1_2036,2036,S1,D2,3821393,LNG_S1_2036,LNG,2036,146853,102000,D4,LNG,0.38470060965,7342.650000000001,1468.53,0.145051838435,8811.325051838436,0.43144162275308423,4.0,D2
LNG_S1_2036,2036,S1,D2,3821393,LNG_S1_2036,LNG,2036,146853,102000,D4,BioLNG,0.058423791259,7342.650000000001,1468.53,0.15562067943,8811.33562067943,0.8833514936738365,2.0,D2
BEV_S1_2036,2036,S1,D3,4599217,BEV_S1_2036,BEV,2036,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.097891229877,7835.437891229878,0.978354719828859,1.0,D3
Diesel_S1_2036,2036,S1,D3,4599217,Diesel_S1_2036,Diesel,2036,124825,102000,D4,B20,0.6798821172799999,6241.25,1248.25,0.35791168792,7489.85791168792,0.0781417974636571,5.0,D3
Diesel_S1_2036,2036,S1,D3,4599217,Diesel_S1_2036,Diesel,2036,124825,102000,D4,HVO,0.108747953984,6241.25,1248.25,0.3514620651999999,7489.8514620652,0.8407282412115358,3.0,D3
