Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2026,2026,S1,D1,884095,BEV_S1_2026,BEV,2026,160329,102000,D2,Electricity,0.0,8016.450000000001,1603.29,0.151519033638,9619.89151903364,0.7643640370504999,3.0,D1
Diesel_S1_2026,2026,S1,D1,884095,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.6798821172799999,4644.05,928.81,0.29000554608,5573.15000554608,0.23563596294950007,5.0,D1
Diesel_S1_2026,2026,S1,D1,884095,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,5573.251680770641,0.8483553465713963,2.0,D1
LNG_S1_2026,2026,S1,D1,884095,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.4318143576211929,4.0,D1
LNG_S1_2026,2026,S1,D1,884095,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.0617612448,5463.6,1092.72,0.174437952,6556.494437952,0.8885396472625549,1.0,D1
BEV_S1_2026,2026,S1,D2,2909150,BEV_S1_2026,BEV,2026,160329,102000,D2,Electricity,0.0,8016.450000000001,1603.29,0.151519033638,9619.89151903364,0.7643640370504999,3.0,D2
Diesel_S1_2026,2026,S1,D2,2909150,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.6798821172799999,4644.05,928.81,0.29000554608,5573.15000554608,0.23563596294950007,5.0,D2
Diesel_S1_2026,2026,S1,D2,2909150,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,5573.251680770641,0.8483553465713963,2.0,D2
LNG_S1_2026,2026,S1,D2,2909150,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.4318143576211929,4.0,D2
LNG_S1_2026,2026,S1,D2,2909150,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.0617612448,5463.6,1092.72,0.174437952,6556.494437952,0.8885396472625549,1.0,D2
Diesel_S1_2026,2026,S1,D3,3537030,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.6798821172799999,4644.05,928.81,0.29000554608,5573.15000554608,0.09504698765336468,4.0,D3
Diesel_S1_2026,2026,S1,D3,3537030,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,5573.251680770641,0.9244341347604236,1.0,D3
LNG_S1_2026,2026,S1,D3,3537030,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.4333291830017699,3.0,D3
LNG_S1_2026,2026,S1,D3,3537030,LNG_S1_2026,LNG,2026,109272,102000,D4,BioLNG,0.0617612448,5463.6,1092.72,0.174437952,6556.494437952,0.9049530123466353,2.0,D3
Diesel_S1_2026,2026,S1,D4,446478,Diesel_S1_2026,Diesel,2026,92881,102000,D4,B20,0.6798821172799999,4644.05,928.81,0.29000554608,5573.15000554608,0.09504698765336468,4.0,D4
Diesel_S1_2026,2026,S1,D4,446478,Diesel_S1_2026,Diesel,2026,92881,102000,D4,HVO,0.108747953984,4644.05,928.81,0.3916807706399999,5573.251680770641,0.9244341347604236,1.0,D4
LNG_S1_2026,2026,S1,D4,446478,LNG_S1_2026,LNG,2026,109272,102000,D4,LNG,0.40942825539,5463.6,1092.72,0.163691431871,6556.483691431871,0.4333291830017699,3.0,D4
