Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,615059.55,596737.29,B20,6,9,877707,102000,143.42,66.67
"Size S1, Distance D1",LNG,385780.28,361160.5,LNG,3,9,877707,102000,286.83,33.33
"Size S1, Distance D2",Diesel,1304578.97,1928297.3,B20,13,28,2836223,102000,213.89,46.43
"Size S1, Distance D2",LNG,1718120.06,1167054.28,LNG,15,28,2836223,102000,185.37,53.57
"Size S1, Distance D3",Diesel,1590546.68,2342950.6,B20,16,34,3446113,102000,211.16,47.06
"Size S1, Distance D3",LNG,2055878.31,1418012.95,LNG,18,34,3446113,102000,187.7,52.94
"Size S1, Distance D4",Diesel,328386.34,298989.72,B20,3,5,439767,102000,143.71,60.0
"Size S1, Distance D4",LNG,261296.94,180956.14,LNG,2,5,439767,102000,215.57,40.0
"Size S2, Distance D1",Diesel,862731.46,738434.41,B20,7,11,1082065,106000,145.83,63.64
"Size S2, Distance D1",LNG,642952.09,444529.13,LNG,4,11,1082065,106000,255.2,36.36
"Size S2, Distance D2",Diesel,876108.43,962625.87,B20,7,14,1410584,106000,190.11,50.0
"Size S2, Distance D2",LNG,1080246.63,579489.84,LNG,7,14,1410584,106000,190.11,50.0
"Size S2, Distance D3",Diesel,526363.25,560738.32,B20,4,8,821678,106000,193.79,50.0
"Size S2, Distance D3",LNG,632197.37,337558.1,LNG,4,8,821678,106000,193.79,50.0
"Size S2, Distance D4",LNG,310465.93,56376.63,LNG,2,2,137231,106000,64.73,100.0
"Size S3, Distance D1",Diesel,2427978.46,1540555.35,B20,18,31,2255136,73000,171.62,58.06
"Size S3, Distance D1",LNG,2238072.57,924112.55,LNG,13,31,2255136,73000,237.63,41.94
"Size S3, Distance D2",Diesel,2824920.57,1708667.96,B20,21,35,2501227,73000,163.16,60.0
"Size S3, Distance D2",LNG,2408887.78,1024956.04,LNG,14,35,2501227,73000,244.74,40.0
"Size S3, Distance D3",Diesel,1229519.77,719790.13,B20,9,15,1053662,73000,160.37,60.0
"Size S3, Distance D3",LNG,1048702.16,431770.98,LNG,6,15,1053662,73000,240.56,40.0
"Size S3, Distance D4",Diesel,296980.61,149289.6,B20,2,3,218537,73000,149.68,66.67
"Size S3, Distance D4",LNG,205974.27,89552.37,LNG,1,3,218537,73000,299.37,33.33
"Size S4, Distance D1",Diesel,174484.86,10464.55,B20,1,1,15615,118000,13.23,100.0
"Size S4, Distance D2",Diesel,894856.36,530149.66,B20,5,7,791079,118000,134.08,71.43
"Size S4, Distance D2",LNG,501250.56,328989.94,LNG,2,7,791079,118000,335.2,28.57
"Size S4, Distance D3",LNG,445404.9,51257.42,LNG,2,2,123252,118000,52.23,100.0
"Size S4, Distance D4",Diesel,170653.48,1291.4,B20,1,1,1927,118000,1.63,100.0
