Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,633455.24,601080.38,B20,6,9,884095,102000,144.46,66.67
"Size S1, Distance D1",LNG,395724.55,361973.47,LNG,3,9,884095,102000,288.92,33.33
"Size S1, Distance D2",Diesel,1344797.84,1977879.06,B20,13,29,2909150,102000,219.39,44.83
"Size S1, Distance D2",LNG,1883015.8,1191088.21,LNG,16,29,2909150,102000,178.26,55.17
"Size S1, Distance D3",Diesel,1734054.34,2404763.45,B20,17,35,3537030,102000,203.98,48.57
"Size S1, Distance D3",LNG,2117075.4,1448160.02,LNG,18,35,3537030,102000,192.65,51.43
"Size S1, Distance D4",Diesel,338521.95,303552.41,B20,3,5,446478,102000,145.91,60.0
"Size S1, Distance D4",LNG,268198.95,182800.71,LNG,2,5,446478,102000,218.86,40.0
"Size S2, Distance D1",Diesel,775685.42,744329.24,B20,6,11,1090703,106000,171.49,54.55
"Size S2, Distance D1",LNG,805658.58,442703.17,LNG,5,11,1090703,106000,205.79,45.45
"Size S2, Distance D2",Diesel,1131139.26,991355.52,B20,9,14,1452683,106000,152.27,64.29
"Size S2, Distance D2",LNG,817406.71,589626.48,LNG,5,14,1452683,106000,274.09,35.71
"Size S2, Distance D3",Diesel,650392.86,563646.15,B20,5,8,825939,106000,155.84,62.5
"Size S2, Distance D3",LNG,506832.45,335238.66,LNG,3,8,825939,106000,259.73,37.5
"Size S2, Distance D4",LNG,319554.68,57282.15,LNG,2,2,141128,106000,66.57,100.0
"Size S3, Distance D1",Diesel,2232644.19,1591542.26,B20,16,32,2329773,73000,199.47,50.0
"Size S3, Distance D1",LNG,2824687.48,950202.6,LNG,16,32,2329773,73000,199.47,50.0
"Size S3, Distance D2",BEV,754159.8,0.0,Electricity,2,35,2524893,73000,1729.38,5.71
"Size S3, Distance D2",Diesel,1968989.96,1724834.96,B20,14,35,2524893,73000,247.05,40.0
"Size S3, Distance D2",LNG,3347790.06,1029782.69,LNG,19,35,2524893,73000,182.04,54.29
"Size S3, Distance D3",Diesel,1135316.6,754127.75,B20,8,16,1103927,73000,189.03,50.0
"Size S3, Distance D3",LNG,1422972.96,450238.85,LNG,8,16,1103927,73000,189.03,50.0
"Size S3, Distance D4",Diesel,431954.38,149729.53,B20,3,4,219181,73000,100.08,75.0
"Size S3, Distance D4",LNG,210798.93,89393.41,LNG,1,4,219181,73000,300.25,25.0
"Size S4, Distance D1",Diesel,179766.67,10666.27,B20,1,1,15916,118000,13.49,100.0
"Size S4, Distance D2",Diesel,757641.43,532395.36,B20,4,7,794430,118000,168.31,57.14
"Size S4, Distance D2",LNG,715532.65,324930.27,LNG,3,7,794430,118000,224.42,42.86
"Size S4, Distance D3",LNG,458513.66,51827.78,LNG,2,2,126715,118000,53.69,100.0
"Size S4, Distance D4",Diesel,175785.51,1332.95,B20,1,1,1989,118000,1.69,100.0
