Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,675506.71,658219.03,B20,6,10,968137,102000,158.19,60.0
"Size S1, Distance D1",LNG,528970.15,378994.67,LNG,4,10,968137,102000,237.29,40.0
"Size S1, Distance D2",BEV,601040.25,0.0,Electricity,3,31,3114155,102000,1017.7,9.68
"Size S1, Distance D2",Diesel,1730075.18,2117258.29,B20,16,31,3114155,102000,190.82,51.61
"Size S1, Distance D2",LNG,1514734.84,1219092.09,LNG,12,31,3114155,102000,254.42,38.71
"Size S1, Distance D3",Diesel,1942804.39,2536823.07,B20,18,37,3731269,102000,203.23,48.65
"Size S1, Distance D3",LNG,2365147.71,1460672.48,LNG,19,37,3731269,102000,192.53,51.35
"Size S1, Distance D4",Diesel,360653.56,318978.93,B20,3,5,469168,102000,153.32,60.0
"Size S1, Distance D4",LNG,282052.45,183664.27,LNG,2,5,469168,102000,229.98,40.0
"Size S2, Distance D1",Diesel,824581.53,779457.37,B20,6,11,1142178,106000,179.59,54.55
"Size S2, Distance D1",LNG,852140.68,442503.17,LNG,5,11,1142178,106000,215.51,45.45
"Size S2, Distance D2",Diesel,961667.93,1055517.66,B20,7,15,1546703,106000,208.45,46.67
"Size S2, Distance D2",LNG,1337069.57,599224.45,LNG,8,15,1546703,106000,182.39,53.33
"Size S2, Distance D3",Diesel,933724.1,615835.73,B20,7,9,902415,106000,121.62,77.78
"Size S2, Distance D3",LNG,395942.47,349614.07,LNG,2,9,902415,106000,425.67,22.22
"Size S2, Distance D4",LNG,338199.24,57352.18,LNG,2,2,148036,106000,69.83,100.0
"Size S3, Distance D1",Diesel,2655395.6,1672629.34,B20,18,34,2448472,73000,186.34,52.94
"Size S3, Distance D1",LNG,2995038.72,951991.09,LNG,16,34,2448472,73000,209.63,47.06
"Size S3, Distance D2",BEV,686303.37,0.0,Electricity,2,37,2667924,73000,1827.35,5.41
"Size S3, Distance D2",Diesel,2801955.33,1822544.0,B20,19,37,2667924,73000,192.35,51.35
"Size S3, Distance D2",LNG,2997145.97,1037316.28,LNG,16,37,2667924,73000,228.42,43.24
"Size S3, Distance D3",Diesel,1346041.04,789242.1,B20,9,16,1155329,73000,175.85,56.25
"Size S3, Distance D3",LNG,1325400.73,449203.79,LNG,7,16,1155329,73000,226.09,43.75
"Size S3, Distance D4",Diesel,459326.65,159485.34,B20,3,4,233462,73000,106.6,75.0
"Size S3, Distance D4",LNG,221588.95,90772.43,LNG,1,4,233462,73000,319.81,25.0
"Size S4, Distance D1",Diesel,190915.54,11300.91,B20,1,1,16863,118000,14.29,100.0
"Size S4, Distance D2",Diesel,980240.49,570944.99,B20,5,8,851953,118000,144.4,62.5
"Size S4, Distance D2",LNG,757181.75,334173.21,LNG,3,8,851953,118000,240.66,37.5
"Size S4, Distance D3",LNG,485823.02,52532.81,LNG,2,2,133929,118000,56.75,100.0
"Size S4, Distance D4",Diesel,186503.92,1384.55,B20,1,1,2066,118000,1.75,100.0
