Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",BEV,714693.05,0.0,Electricity,5,11,1106719,102000,217.0,45.45
"Size S1, Distance D1",LNG,933695.87,425755.47,LNG,6,11,1106719,102000,180.84,54.55
"Size S1, Distance D2",BEV,768523.74,0.0,Electricity,5,37,3746146,102000,734.54,13.51
"Size S1, Distance D2",Diesel,2261053.84,2546937.67,B20,17,37,3746146,102000,216.04,45.95
"Size S1, Distance D2",LNG,2303396.98,1441144.65,LNG,15,37,3746146,102000,244.85,40.54
"Size S1, Distance D3",BEV,906626.38,0.0,Electricity,6,44,4476447,102000,731.45,13.64
"Size S1, Distance D3",Diesel,2772372.8,3043456.26,B20,21,44,4476447,102000,208.98,47.73
"Size S1, Distance D3",LNG,2607639.09,1722091.89,LNG,17,44,4476447,102000,258.16,38.64
"Size S1, Distance D4",Diesel,565376.26,399903.94,B20,4,6,588196,102000,144.17,66.67
"Size S1, Distance D4",LNG,345171.28,226279.36,LNG,2,6,588196,102000,288.33,33.33
"Size S2, Distance D1",Diesel,1022234.94,921645.22,B20,6,13,1350533,106000,212.35,46.15
"Size S2, Distance D1",LNG,1435362.46,523016.0,LNG,7,13,1350533,106000,182.01,53.85
"Size S2, Distance D2",Diesel,1942821.4,1320244.82,B20,12,19,1934621,106000,152.09,63.16
"Size S2, Distance D2",LNG,1447618.07,749213.63,LNG,7,19,1934621,106000,260.73,36.84
"Size S2, Distance D3",Diesel,860023.61,719193.27,B20,5,10,1053870,106000,198.84,50.0
"Size S2, Distance D3",LNG,1035975.73,408128.4,LNG,5,10,1053870,106000,198.84,50.0
"Size S2, Distance D4",LNG,415000.55,68518.65,LNG,2,2,176929,106000,83.46,100.0
"Size S3, Distance D1",BEV,604421.31,0.0,Electricity,2,40,2908543,73000,1992.15,5.0
"Size S3, Distance D1",Diesel,4152536.16,1986918.52,B20,23,40,2908543,73000,173.23,57.5
"Size S3, Distance D1",LNG,3454342.42,1113205.62,LNG,15,40,2908543,73000,265.62,37.5
"Size S3, Distance D2",BEV,1871381.21,0.0,Electricity,8,45,3247401,73000,556.06,17.78
"Size S3, Distance D2",Diesel,3629355.12,2218403.23,B20,20,45,3247401,73000,222.42,44.44
"Size S3, Distance D2",LNG,3910750.54,1242898.96,LNG,17,45,3247401,73000,261.68,37.78
"Size S3, Distance D3",BEV,526268.84,0.0,Electricity,2,19,1360337,73000,931.74,10.53
"Size S3, Distance D3",Diesel,2008245.93,929289.6,B20,11,19,1360337,73000,169.41,57.89
"Size S3, Distance D3",LNG,1403389.18,520650.65,LNG,6,19,1360337,73000,310.58,31.58
"Size S3, Distance D4",Diesel,568075.54,187684.34,B20,3,4,274741,73000,125.45,75.0
"Size S3, Distance D4",LNG,268294.27,105153.41,LNG,1,4,274741,73000,376.36,25.0
"Size S4, Distance D1",Diesel,236103.19,14519.69,B20,1,1,21666,118000,18.36,100.0
"Size S4, Distance D2",Diesel,1219630.26,742394.75,B20,5,10,1107787,118000,187.76,50.0
"Size S4, Distance D2",LNG,1494071.4,424907.68,LNG,5,10,1107787,118000,187.76,50.0
"Size S4, Distance D3",Diesel,482729.79,98908.94,B20,2,2,147590,118000,62.54,100.0
"Size S4, Distance D4",Diesel,229437.05,1587.61,B20,1,1,2369,118000,2.01,100.0
